codigo_localidad,nombre_localidad,IPT_MULTIDIMENSIONAL,IPT_GEOMETRICO,RANKING_PRIORIDAD,NIVEL_PRIORIDAD
18,RAFAEL URIBE URIBE,78.2441886580471,76.25367178652826,1,Alta
19,CIUDAD BOLIVAR,69.29964852324684,42.26630130110509,2,Alta
5,USME,68.87517248077539,49.84705351414963,3,Alta
7,BOSA,68.55794840012983,58.22649769861346,4,Alta
4,SAN CRISTOBAL,67.43342898660255,46.304935253852,5,Alta
11,SUBA,66.4891311073334,39.57931151363682,6,Media-alta
6,TUNJUELITO,65.71718967303617,61.90911792804364,7,Media-alta
8,KENNEDY,65.57176363257794,54.23826159821847,8,Media-alta
10,ENGATIVA,63.49279641082549,47.57799074574163,9,Media-alta
9,FONTIBON,63.43351354721817,40.48015708256864,10,Media-alta
20,SUMAPAZ,62.450915421858845,23.578132659755504,11,Media
1,USAQUEN,61.20660493713444,43.6183731196324,12,Media
15,ANTONIO NARINO,60.76043375982126,56.31634849436612,13,Media
3,SANTA FE,55.16055525962084,46.92628263344887,14,Media
16,PUENTE ARANDA,54.27073173080685,35.75421874234913,15,Media
13,TEUSAQUILLO,50.26236328621011,34.519976912262926,16,Baja
2,CHAPINERO,47.24792726213959,23.930140675200605,17,Baja
14,LOS MARTIRES,47.16583228376198,24.423711655848106,18,Baja
12,BARRIOS UNIDOS,43.63392555105566,35.275718971382666,19,Baja
17,LA CANDELARIA,39.78291533289909,15.851572815489217,20,Baja
