codigo_localidad,localidad,area_km2,area_geometria_km2,diferencia_area_pct,nombre_poblacion,poblacion_2025,poblacion_5_17_2025,registros_oferta,establecimientos_dane,oferta_total_cupos,registros_salud,sedes_ips_registradas,prestadores_unicos_localidad,cupos_por_1000_pob_5_17,sedes_ips_por_10000_hab,oferta_regular_cupos,oferta_modalidades_complementarias,oferta_regular_por_1000_pob_5_17,oferta_total_por_1000_pob_5_17,participacion_complementaria_pct,estaciones_troncales,paraderos_zonales,estaciones_por_km2,paraderos_por_km2,conflictos_ambientales_registrados,tipos_conflicto_ambiental,parques_registrados,conflictos_ambientales_por_km2,parques_por_10000_hab_proxy,periodos_rivi,vendedores_informales_promedio,rivi_por_10000_hab_2017_2019,rivi_tasa_minima,rivi_tasa_maxima,rivi_tasa_desviacion,poblacion_2026,cuadrantes_policiales,cuadrantes_por_10000_hab_2026
01,USAQUEN,65.20141376559201,65.14907457353456,0.08027309384059059,Usaquén,586286,80440,27,12,25413,560,560,434,315.92491297861756,9.551652265276674,23611,1802,293.5231228244655,315.92491297861756,7.090859009168536,10,698,0.15337090750748697,10.70528934402259,71,17,5,1.0889334433031574,0.08528260951139888,6,602.6666666666666,11.171942605828491,10.71447190776925,11.438316279843608,0.33105447050954023,584326,41,0.7016631127144779
02,CHAPINERO,38.0089149941681,37.978420292375525,0.08023039278352438,Chapinero,161162,19753,7,3,3808,511,511,389,192.78084341618995,31.70722626921979,3412,396,172.73325570799372,192.78084341618995,10.399159663865547,9,333,0.23678655392770132,8.761102495324948,99,20,3,2.6046520932047144,0.18614809942790483,6,2861.0,182.96138826511367,161.7412916003262,193.85596564897546,12.383831931556568,160175,34,2.122678320586858
03,SANTA FE,45.1706458673913,45.13440463767167,0.08023181653417795,Santa Fe,113315,18196,16,9,10144,78,78,51,557.4851615739723,6.88346644310109,9059,1085,497.85667179599915,557.4851615739723,10.695977917981073,14,194,0.30993579416819017,4.294824576330635,99,15,8,2.191688830189345,0.7059965582667784,6,10102.666666666666,969.4306153194726,951.9453821926334,984.2724816673099,14.04938176705927,113327,29,2.5589665304825857
04,SAN CRISTOBAL,49.098548527195106,49.059217459024794,0.08010637656330659,San Cristóbal,394686,71189,63,35,53625,31,31,22,753.276489345264,0.7854344972965851,48313,5312,678.658219668769,753.276489345264,9.905827505827505,3,408,0.06110160259296332,8.309817952643012,16,6,6,0.3258752138291377,0.1520195801219197,6,3554.1666666666665,92.32721622328779,91.4564040387148,92.87394118504027,0.5969670272483861,393880,31,0.787041738600589
05,USME,215.066686644418,214.89509952726937,0.07978321506963172,Usme,399153,79885,73,51,74680,24,24,14,934.8438380171497,0.6012731959925142,71747,2933,898.1285598047193,934.8438380171497,3.927423674343867,2,327,0.009299441169643877,1.520458631236774,116,24,7,0.5393675878393449,0.17537134883114996,6,1975.5,54.344107473166304,53.551037196187835,55.038021501814825,0.6643734020646401,401629,22,0.5477692098927119
06,TUNJUELITO,9.91093974356609,9.903029657484176,0.07981166555925147,Tunjuelito,175399,28636,23,12,31433,33,33,25,1097.6742561810308,1.8814246375406931,30210,1223,1054.9657773432043,1097.6742561810308,3.890815385104826,4,192,0.40359442227430453,19.37253226916662,71,19,2,7.163800995368906,0.11402573560852684,6,1063.8333333333333,62.006551884709246,61.39114766216965,62.525565359668086,0.44326652138117634,174699,13,0.7441370585979313
07,BOSA,23.9331960886734,23.914153282176187,0.0795665001308653,Bosa,768002,150775,63,43,115600,46,46,22,766.7053556624109,0.5989567735500689,111490,4110,739.4461946609185,766.7053556624109,3.5553633217993075,5,485,0.2089148470381812,20.264740162703575,50,12,11,2.089148470381812,0.14322879367501648,6,1933.8333333333333,27.916847784610425,27.417885358164842,28.265918751917262,0.3347071864424989,773327,51,0.659488159601307
08,KENNEDY,38.5897338114073,38.55896184033796,0.0797413405848516,Kennedy,1103801,189208,75,47,110581,193,193,126,584.4414612489958,1.7485035799025368,105784,4797,559.088410638028,584.4414612489958,4.3379965816912485,10,926,0.2591362782876713,23.99601936943836,79,3,13,2.0471765984726034,0.11777485253229523,6,4535.166666666667,44.38386796477251,42.835990155150476,46.231734973456824,1.51664154897236,1104934,75,0.6787735738062183
09,FONTIBON,33.2810024934817,33.25444672778032,0.07979256546308254,Fontibón,385455,55834,21,12,28990,137,137,104,519.2176809829136,3.554241091696826,26022,2968,466.0601067449941,519.2176809829136,10.238013107968264,2,388,0.060094343624165554,11.658302663088119,14,1,5,0.4206604053691589,0.12971682816411773,6,1207.1666666666667,32.99533360500584,32.63617930510789,33.308066416948385,0.2781053883930113,384256,23,0.5985592938041305
10,ENGATIVA,35.8809673470532,35.85229503035833,0.07990954206319083,Engativá,831165,122474,69,37,67938,172,172,124,554.7136535101328,2.0693845385693574,63964,3974,522.2659503241505,554.7136535101328,5.84945097000206,12,784,0.3344391438483758,21.85002406476055,38,9,13,1.05905728885319,0.15640697093838168,6,2684.0,33.8245850837291,32.38613018817283,35.64352492557672,1.2304926393884705,828873,35,0.4222601049859267
11,SUBA,100.560477710216,100.47996819111496,0.08006079618381058,Suba,1251652,195146,69,32,79270,312,312,220,406.2086847796009,2.4927056402258776,75909,3361,388.98568251463007,406.2086847796009,4.239939447458055,13,845,0.12927543997416116,8.402903598320474,15,5,10,0.14916396920095518,0.0798944115457012,6,2747.6666666666665,23.7911540171762,22.42790903690059,25.364087785941386,1.433632511615664,1252218,79,0.6308805655245333
