codigo_localidad,localidad,ipt_base,ranking_ipt_base,ranking_promedio_escenarios,ranking_consenso,apariciones_top5,nivel_prioridad_consenso,confianza_priorizacion,dimension_prioritaria_1,dimension_prioritaria_2,score_dimension_prioritaria_1,score_dimension_prioritaria_2
05,USME,65.59389772849148,3,2.2,1,5,Alta,Alta,Salud,Movilidad,0.9999255367630537,0.9669809054976936
18,RAFAEL URIBE URIBE,70.35663734970315,1,3.2,2,4,Alta,Alta,Ambiente,Salud,1.0,0.9669694455295603
11,SUBA,64.72474074340494,4,4.0,3,4,Alta,Alta,Salud,Infraestructura,0.9391239404384285,0.9337915011520774
04,SAN CRISTOBAL,64.56504600337144,5,5.0,4,5,Alta,Alta,Salud,Seguridad,0.9940055256441547,0.9004150033981455
19,CIUDAD BOLIVAR,64.46402533442931,6,6.0,5,3,Alta,Media,Salud,Seguridad,0.9957911937774181,0.9120860032876221
09,FONTIBON,63.149949903490146,7,6.2,6,1,Media-alta,Baja,Seguridad,Educación,0.9242638321247374,0.9073978455427016
06,TUNJUELITO,62.86310043519442,8,7.8,7,0,Media-alta,Baja,Salud,Seguridad,0.9587740531767881,0.9058437655624818
03,SANTA FE,66.68574308574154,2,9.0,8,2,Media-alta,Media,Vulnerabilidad económica,Educación,0.9635712857769532,0.8973597927096411
07,BOSA,61.0471778121596,10,9.2,9,0,Media-alta,Baja,Salud,Seguridad,1.0,0.9165544558670623
08,KENNEDY,60.50418846573875,12,9.8,10,1,Media-alta,Baja,Salud,Seguridad,0.9630469060160198,0.9141142575727809
01,USAQUEN,61.497413563562866,9,10.0,11,0,Media,Baja,Educación,Infraestructura,0.9618671052716373,0.9293263014979037
15,ANTONIO NARIÑO,60.78271355281759,11,11.2,12,0,Media,Baja,Ambiente,Educación,0.8786058816863394,0.788761873679132
10,ENGATIVA,59.82609724170832,13,12.0,13,0,Media,Baja,Salud,Seguridad,0.9527319330564508,0.9465711041006654
16,PUENTE ARANDA,55.14092097954363,14,14.4,14,0,Media,Baja,Seguridad,Salud,0.9084429909328003,0.8955761383922693
20,SUMAPAZ,54.00529637591003,15,14.6,15,0,Media,Baja,Movilidad,Infraestructura,1.0,1.0
13,TEUSAQUILLO,52.74717618888653,16,15.8,16,0,Baja,Baja,Educación,Seguridad,0.9993229312834184,0.8363787470425774
02,CHAPINERO,51.84909018367119,17,15.8,17,0,Baja,Baja,Educación,Infraestructura,1.0,0.8457390700040952
17,CANDELARIA,51.58957036926108,18,16.0,18,0,Baja,Baja,Vulnerabilidad económica,Salud,1.0,0.8253008015810688
14,LOS MARTIRES,50.046204891365754,19,18.6,19,0,Baja,Baja,Salud,Educación,0.8744358023955938,0.8202727080206121
12,BARRIOS UNIDOS,43.709683720172606,20,19.0,20,0,Baja,Baja,Seguridad,Educación,0.8495617763078547,0.8417261219018475
