codigo_localidad,nombre_localidad,codigo_divipola,area_km2,conflictos_ambientales_registrados,conflictos_ambientales_por_km2,consumo_promedio_m3_suscriptor,irca_promedio
1,USAQUEN,1100101,65.31,71,1.0889334433031574,14.2,0.45
2,CHAPINERO,1100102,38.0,99,2.6046520932047144,13.8,0.45
3,SANTA FE,1100103,37.92,99,2.191688830189345,12.5,0.85
4,SAN CRISTOBAL,1100104,49.09,16,0.3258752138291377,11.2,0.85
5,USME,1100105,69.13,116,0.5393675878393449,10.5,2.1
6,TUNJUELITO,1100106,23.6,71,7.163800995368906,12.0,0.85
7,BOSA,1100107,23.93,50,2.089148470381812,11.8,0.85
8,KENNEDY,1100108,38.59,79,2.047176598472604,12.4,0.85
9,FONTIBON,1100109,35.88,14,0.4206604053691589,13.5,0.45
10,ENGATIVA,1100110,35.88,38,1.05905728885319,13.1,0.85
11,SUBA,1100111,100.56,15,0.1491639692009551,13.9,0.85
12,BARRIOS UNIDOS,1100112,11.9,43,3.612398631046237,13.4,0.85
13,TEUSAQUILLO,1100113,14.19,54,3.804647384907888,13.6,0.45
14,LOS MARTIRES,1100114,6.51,7,1.0746009039808762,12.8,0.85
15,ANTONIO NARINO,1100115,6.59,80,16.394976673942416,12.6,0.85
16,PUENTE ARANDA,1100116,17.31,10,0.5776623757994074,13.2,0.45
17,LA CANDELARIA,1100117,2.06,29,14.076010023753074,12.1,0.85
18,RAFAEL URIBE URIBE,1100118,33.28,258,18.649589301236425,11.4,0.85
19,CIUDAD BOLIVAR,1100119,130.0,10,0.0769215425852713,10.8,2.1
20,SUMAPAZ,1100120,780.96,74,0.0947541105435899,9.2,6.8
