codigo_localidad,nombre_localidad,codigo_divipola,area_km2,poblacion,densidad_poblacional,poblacion_2025,poblacion_5_17_2025
1,USAQUEN,1100101,65.31,602412,9223.886081763894,602412,78129
2,CHAPINERO,1100102,38.0,184757,4862.026315789473,184757,20087
3,SANTA FE,1100103,37.92,107851,2844.17194092827,107851,17173
4,SAN CRISTOBAL,1100104,49.09,411570,8383.98859238134,411570,69823
5,USME,1100105,69.13,422489,6111.514537827283,422489,79421
6,TUNJUELITO,1100106,23.6,186127,7886.737288135593,186127,29068
7,BOSA,1100107,23.93,737647,30825.198495612203,737647,133655
8,KENNEDY,1100108,38.59,1041286,26983.311738792432,1041286,166375
9,FONTIBON,1100109,35.88,411638,11472.63099219621,411638,55875
10,ENGATIVA,1100110,35.88,822369,22919.98327759197,822369,112734
11,SUBA,1100111,100.56,1332958,13255.350039777248,1332958,193609
12,BARRIOS UNIDOS,1100112,11.9,159163,13375.042016806725,159163,18112
13,TEUSAQUILLO,1100113,14.19,164384,11584.496124031008,164384,16087
14,LOS MARTIRES,1100114,6.51,82827,12723.041474654376,82827,12240
15,ANTONIO NARINO,1100115,6.59,86119,13068.133535660092,86119,11638
16,PUENTE ARANDA,1100116,17.31,259314,14980.589254766031,259314,33278
17,LA CANDELARIA,1100117,2.06,18941,9194.660194174758,18941,2046
18,RAFAEL URIBE URIBE,1100118,33.28,393869,11835.006009615385,393869,65007
19,CIUDAD BOLIVAR,1100119,130.0,671670,5166.692307692308,671670,129435
20,SUMAPAZ,1100120,780.96,4021,5.148791231305061,4021,862
