codigo_localidad,nombre_localidad,codigo_divipola,poblacion,oferta_regular_cupos,oferta_modalidades_complementarias,cupos_por_1000_pob_5_17,puntaje_promedio_saber_11,tasa_desercion_escolar_pct,relacion_estudiantes_por_docente,colegios_jornada_unica_pct,inversion_educacion_ejecutada_millones,inversion_educacion_per_capita_cop
1,USAQUEN,1100101,602412,23611,1802,302.21,298.5,1.8,18.2,65.0,156192.29,259278.0
2,CHAPINERO,1100102,184757,3412,396,169.86,308.2,1.4,18.2,65.0,25674.17,138962.0
3,SANTA FE,1100103,107851,9059,1085,527.51,262.4,3.8,18.2,65.0,62962.89,583795.0
4,SAN CRISTOBAL,1100104,411570,48313,5312,691.94,248.5,4.2,24.5,42.5,292819.51,711470.0
5,USME,1100105,422489,71747,2933,903.38,242.1,4.9,24.5,42.5,411372.87,973689.0
6,TUNJUELITO,1100106,186127,30210,1223,1039.29,256.4,3.4,24.5,65.0,177153.01,951786.0
7,BOSA,1100107,737647,111490,4110,834.16,251.2,3.9,24.5,65.0,636534.23,862925.0
8,KENNEDY,1100108,1041286,105784,4797,635.82,258.4,3.5,24.5,65.0,395817.31,380124.0
9,FONTIBON,1100109,411638,26022,2968,465.72,282.5,2.4,18.2,65.0,140720.28,341854.0
10,ENGATIVA,1100110,822369,63964,3974,567.39,274.1,2.6,18.2,65.0,368681.77,448317.0
11,SUBA,1100111,1332958,75909,3361,392.07,289.4,2.2,18.2,65.0,453423.49,340163.0
12,BARRIOS UNIDOS,1100112,159163,11272,227,622.35,284.2,2.3,18.2,65.0,79086.19,496888.0
13,TEUSAQUILLO,1100113,164384,2758,219,171.44,304.5,1.5,18.2,65.0,20586.75,125236.0
14,LOS MARTIRES,1100114,82827,8644,2408,706.21,255.4,3.6,24.5,65.0,67206.91,811413.0
15,ANTONIO NARINO,1100115,86119,9438,449,810.96,268.2,2.9,18.2,65.0,56608.96,657334.0
16,PUENTE ARANDA,1100116,259314,20781,350,624.47,272.5,2.7,18.2,65.0,131778.46,508181.0
17,LA CANDELARIA,1100117,18941,2813,595,1374.88,269.4,2.8,18.2,65.0,16795.74,886740.0
18,RAFAEL URIBE URIBE,1100118,393869,49401,3514,759.93,246.8,4.5,24.5,42.5,327172.56,830663.0
19,CIUDAD BOLIVAR,1100119,671670,95919,6507,741.06,239.5,5.2,24.5,42.5,561512.18,835994.0
20,SUMAPAZ,1100120,4021,1590,175,1844.55,244.2,4.1,24.5,65.0,17719.63,4406771.0
