codigo_localidad,nombre_localidad,codigo_divipola,poblacion,ocupados_trabajan_en_su_localidad_pct,ocupados_conmutan_a_otras_localidades_pct,conmutacion_hacia_centro_ampliado_pct,tiempo_promedio_desplazamiento_laboral_min,ingreso_laboral_promedio_ocupados_cop,tasa_informalidad_laboral_pct,tasa_desempleo_pct,poblacion_en_edad_trabajar_estimada
1,USAQUEN,1100101,550679,38.5,61.5,25.4,42.0,3650000,24.5,7.8,657000
2,CHAPINERO,1100102,148068,52.1,47.9,12.0,32.0,4200000,18.2,6.9,756000
3,SANTA FE,1100103,111539,48.0,52.0,15.0,34.0,1950000,48.2,11.4,351000
4,SAN CRISTOBAL,1100104,383234,18.5,81.5,56.2,68.0,1520000,54.8,13.2,273600
5,USME,1100105,414363,14.2,85.8,62.4,82.0,1380000,59.2,14.5,248400
6,TUNJUELITO,1100106,167024,22.1,77.9,48.5,58.0,1680000,49.5,11.8,302400
7,BOSA,1100107,801054,16.8,83.2,58.4,76.0,1540000,52.4,12.8,277200
8,KENNEDY,1100108,1091115,24.5,75.5,49.2,64.0,1720000,47.8,11.9,309600
9,FONTIBON,1100109,366152,44.2,55.8,28.5,40.0,2450000,32.4,8.8,441000
10,ENGATIVA,1100110,795153,31.2,68.8,42.1,54.0,2150000,36.8,9.4,387000
11,SUBA,1100111,1232535,36.4,63.6,38.5,58.0,2850000,31.2,8.9,513000
12,BARRIOS UNIDOS,1100112,125963,46.2,53.8,24.1,36.0,2650000,28.5,8.2,477000
13,TEUSAQUILLO,1100113,145356,54.8,45.2,14.2,30.0,3850000,20.4,7.1,693000
14,LOS MARTIRES,1100114,73251,42.1,57.9,22.0,38.0,1780000,51.2,12.1,320400
15,ANTONIO NARINO,1100115,69825,28.4,71.6,41.2,45.0,2050000,41.5,9.8,369000
16,PUENTE ARANDA,1100116,238779,45.6,54.4,26.8,38.0,2350000,33.8,8.9,423000
17,LA CANDELARIA,1100117,15048,49.1,50.9,16.0,32.0,2100000,44.2,10.5,378000
18,RAFAEL URIBE URIBE,1100118,357395,19.4,80.6,54.8,65.0,1490000,56.4,13.8,268200
19,CIUDAD BOLIVAR,1100119,724113,15.1,84.9,64.2,85.0,1340000,62.1,15.2,241200
20,SUMAPAZ,1100120,3678,68.5,31.5,18.2,110.0,1280000,65.4,9.2,230400
