codigo_localidad,nombre_localidad,codigo_divipola,poblacion,presupuesto_aprobado_millones,presupuesto_ejecutado_millones,porcentaje_ejecucion_fdl,inversion_fdl_per_capita_millones,inversion_fdl_per_capita_cop,presupuesto_social_sdis_millones,inversion_social_sdis_per_capita_cop,inversion_educacion_ejecutada_millones,inversion_educacion_per_capita_cop,inversion_presupuesto_participativo_millones,inversion_pp_per_capita_cop,inversion_total_consolidada_per_capita_cop,proyectos_inversion_activos
1,USAQUEN,1100101,602412,85400,81200,95.08,0.1347914716174312,134791.0,12025.0,19961.0,156192.29,259278.0,7989.5,13263.0,427293.0,26
2,CHAPINERO,1100102,184757,62300,59800,95.99,0.3236683860422067,323668.0,12025.0,65085.0,25674.17,138962.0,3364.0,18208.0,545923.0,19
3,SANTA FE,1100103,107851,54200,51600,95.2,0.4784378448044061,478438.0,12025.0,111496.0,62962.89,583795.0,3364.0,31191.0,1204920.0,16
4,SAN CRISTOBAL,1100104,411570,98400,92100,93.6,0.2237772432393031,223777.0,27750.0,67425.0,292819.51,711470.0,7989.5,19412.0,1022084.0,30
5,USME,1100105,422489,112500,104200,92.62,0.2466336401657794,246634.0,27750.0,65682.0,411372.87,973689.0,7989.5,18911.0,1304916.0,35
6,TUNJUELITO,1100106,186127,71300,68500,96.07,0.3680282817646016,368028.0,12025.0,64606.0,177153.01,951786.0,3364.0,18074.0,1402494.0,22
7,BOSA,1100107,737647,138900,131200,94.46,0.1778628530991111,177863.0,46250.0,62699.0,636534.23,862925.0,13456.0,18242.0,1121729.0,43
8,KENNEDY,1100108,1041286,175400,166800,95.1,0.1601865385686545,160187.0,46250.0,44416.0,395817.31,380124.0,13456.0,12922.0,597649.0,54
9,FONTIBON,1100109,411638,88200,84600,95.92,0.2055203844154329,205520.0,12025.0,29213.0,140720.28,341854.0,3364.0,8172.0,584759.0,27
10,ENGATIVA,1100110,822369,124500,119800,96.22,0.145676697443605,145677.0,27750.0,33744.0,368681.77,448317.0,7989.5,9715.0,637453.0,38
11,SUBA,1100111,1332958,168700,161400,95.67,0.1210840851699753,121084.0,46250.0,34697.0,453423.49,340163.0,13456.0,10095.0,506039.0,52
12,BARRIOS UNIDOS,1100112,159163,64500,62100,96.28,0.3901660561813989,390166.0,12025.0,75551.0,79086.19,496888.0,3364.0,21136.0,983741.0,20
13,TEUSAQUILLO,1100113,164384,61200,59100,96.57,0.3595240412692232,359524.0,12025.0,73152.0,20586.75,125236.0,3364.0,20464.0,578376.0,19
14,LOS MARTIRES,1100114,82827,56800,53900,94.89,0.6507539811897086,650754.0,12025.0,145182.0,67206.91,811413.0,3364.0,40615.0,1647964.0,17
15,ANTONIO NARINO,1100115,86119,58900,56400,95.76,0.6549077439357168,654908.0,12025.0,139632.0,56608.96,657334.0,3364.0,39062.0,1490936.0,18
16,PUENTE ARANDA,1100116,259314,82400,79200,96.12,0.3054212267752609,305421.0,12025.0,46372.0,131778.46,508181.0,3364.0,12973.0,872947.0,25
17,LA CANDELARIA,1100117,18941,38500,36800,95.58,1.9428752441792936,1942875.0,12025.0,634866.0,16795.74,886740.0,3364.0,177604.0,3642085.0,12
18,RAFAEL URIBE URIBE,1100118,393869,108600,102400,94.29,0.2599849188435749,259985.0,27750.0,70455.0,327172.56,830663.0,7989.5,20285.0,1181388.0,33
19,CIUDAD BOLIVAR,1100119,671670,164200,154800,94.28,0.2304703202465496,230470.0,46250.0,68858.0,561512.18,835994.0,13456.0,20034.0,1155356.0,51
20,SUMAPAZ,1100120,4021,68500,63200,92.26,15.717483213131064,15717483.0,12025.0,2990550.0,17719.63,4406771.0,3364.0,836608.0,23951412.0,21
