codigo_localidad,nombre_localidad,codigo_divipola,poblacion,area_km2,total_parques_idrd,area_total_parques_m2,area_parques_ha,m2_parque_por_habitante,parques_por_10k_hab,total_luminarias,luminarias_por_km2,luminarias_por_10k_hab,fallas_reportadas_mes,tecnologia_led_pct,tiempo_medio_reparacion_horas
1,USAQUEN,1100101,602412,65.31,5,2840000.0,284.0,4.71,0.0829996746412754,32450,496.86,538.67,389,98.8,36.5
2,CHAPINERO,1100102,184757,38.0,3,3120000.0,312.0,16.89,0.1623754445027793,21200,557.89,1147.45,254,99.1,36.5
3,SANTA FE,1100103,107851,37.92,8,3850000.0,385.0,35.7,0.7417641004719474,14500,382.38,1344.45,174,97.9,36.5
4,SAN CRISTOBAL,1100104,411570,49.09,7,2410000.0,241.0,5.86,0.1700804237432271,26800,545.94,651.17,321,96.5,36.5
5,USME,1100105,422489,69.13,7,1820000.0,182.0,4.31,0.1656847870595447,22100,319.69,523.09,265,94.2,58.0
6,TUNJUELITO,1100106,186127,23.6,3,1910000.0,191.0,10.26,0.1611802693859569,18900,800.85,1015.44,226,98.4,36.5
7,BOSA,1100107,737647,23.93,11,1650000.0,165.0,2.24,0.1491228189093157,34100,1424.99,462.28,409,96.8,36.5
8,KENNEDY,1100108,1041286,38.59,13,3250000.0,325.0,3.12,0.1248456235846827,45600,1181.65,437.92,547,97.5,36.5
9,FONTIBON,1100109,411638,35.88,5,2150000.0,215.0,5.22,0.1214659482360715,28900,805.46,702.07,346,98.9,36.5
10,ENGATIVA,1100110,822369,35.88,13,3620000.0,362.0,4.4,0.1580798887117583,43200,1204.01,525.31,518,98.7,36.5
11,SUBA,1100111,1332958,100.56,12,4250000.0,425.0,3.19,0.0900253421338106,48900,486.28,366.85,586,98.6,36.5
12,BARRIOS UNIDOS,1100112,159163,11.9,10,1850000.0,185.0,11.62,0.628286724929789,19800,1663.87,1244.01,237,99.2,36.5
13,TEUSAQUILLO,1100113,164384,14.19,4,4520000.0,452.0,27.5,0.2433326844461748,23400,1649.05,1423.5,280,99.3,36.5
14,LOS MARTIRES,1100114,82827,6.51,4,410000.0,41.0,4.95,0.4829343088606372,15200,2334.87,1835.15,182,97.8,36.5
15,ANTONIO NARINO,1100115,86119,6.59,3,820000.0,82.0,9.52,0.3483551829445303,16100,2443.1,1869.51,193,98.5,36.5
16,PUENTE ARANDA,1100116,259314,17.31,6,1520000.0,152.0,5.86,0.2313797172539855,27800,1606.01,1072.06,333,98.9,36.5
17,LA CANDELARIA,1100117,18941,2.06,2,210000.0,21.0,11.09,1.0559104587930943,6200,3009.71,3273.32,74,99.0,36.5
18,RAFAEL URIBE URIBE,1100118,393869,33.28,9,1620000.0,162.0,4.11,0.2285023700773607,25400,763.22,644.88,304,96.9,36.5
19,CIUDAD BOLIVAR,1100119,671670,130.0,14,2650000.0,265.0,3.95,0.2084356901454583,31200,240.0,464.51,374,94.8,58.0
20,SUMAPAZ,1100120,4021,780.96,0,50000000.0,5000.0,12434.72,0.0,2800,3.59,6963.44,33,88.5,58.0
