codigo_localidad,nombre_localidad,codigo_divipola,poblacion,poblacion_2025,sedes_ips_registradas,sedes_ips_por_10000_hab,total_camas_hospitalarias,camas_por_10000_habitantes,camas_uci_adultos,medicos_generales_por_1000_hab
1,USAQUEN,1100101,602412,602412,560,9.3,1850,42.5,333,6.38
2,CHAPINERO,1100102,184757,184757,511,27.66,2120,68.4,381,10.26
3,SANTA FE,1100103,107851,107851,78,7.23,1420,58.2,255,8.73
4,SAN CRISTOBAL,1100104,411570,411570,31,0.75,420,12.1,75,1.81
5,USME,1100105,422489,422489,24,0.57,280,8.4,50,1.26
6,TUNJUELITO,1100106,186127,186127,33,1.77,380,14.5,68,2.17
7,BOSA,1100107,737647,737647,46,0.62,310,6.8,55,1.02
8,KENNEDY,1100108,1041286,1041286,193,1.85,1450,19.8,261,2.97
9,FONTIBON,1100109,411638,411638,137,3.33,890,24.5,160,3.67
10,ENGATIVA,1100110,822369,822369,172,2.09,1120,18.2,201,2.73
11,SUBA,1100111,1332958,1332958,312,2.34,1340,15.4,241,2.31
12,BARRIOS UNIDOS,1100112,159163,159163,210,13.19,1240,48.5,223,7.27
13,TEUSAQUILLO,1100113,164384,164384,270,16.42,1650,62.4,297,9.36
14,LOS MARTIRES,1100114,82827,82827,34,4.1,980,52.1,176,7.81
15,ANTONIO NARINO,1100115,86119,86119,69,8.01,640,28.5,115,4.27
16,PUENTE ARANDA,1100116,259314,259314,96,3.7,520,18.4,93,2.76
17,LA CANDELARIA,1100117,18941,18941,10,5.28,120,25.0,21,3.75
18,RAFAEL URIBE URIBE,1100118,393869,393869,61,1.55,340,9.8,61,1.47
19,CIUDAD BOLIVAR,1100119,671670,671670,50,0.74,410,7.2,73,1.08
20,SUMAPAZ,1100120,4021,4021,3,7.46,12,3.5,2,0.53
