codigo_localidad,nombre_localidad,codigo_divipola,poblacion,cuadrantes_policiales,cuadrantes_por_10000_hab_2026,homicidios_anual,tasa_homicidios_por_100k_hab_calc,hurto_a_personas_anual,tasa_hurto_personas_por_10k_hab,tasa_hurto_personas_por_100k_hab,hurto_a_comercio_anual,tasa_hurto_comercio_por_10k_hab,tasa_delitos_alto_impacto_por_100k_hab,tiempo_medio_respuesta_cuadrante_min
1,USAQUEN,1100101,602412,41,0.7016631127144779,18,2.9879882870859147,5420,89.97,899.7,310,5.15,48.5,8.5
2,CHAPINERO,1100102,184757,34,2.122678320586858,12,6.495017780111173,6890,372.92,3729.2,480,25.98,72.1,8.5
3,SANTA FE,1100103,107851,29,2.5589665304825857,38,35.2337947724175,4950,458.97,4589.7,390,36.16,88.4,22.0
4,SAN CRISTOBAL,1100104,411570,31,0.787041738600589,64,15.55021017080934,4120,100.1,1001.0,240,5.83,58.2,22.0
5,USME,1100105,422489,22,0.5477692098927119,58,13.728168070647992,3210,75.98,759.8,180,4.26,52.4,22.0
6,TUNJUELITO,1100106,186127,13,0.7441370585979313,34,18.26709719707512,3850,206.85,2068.5,260,13.97,56.8,22.0
7,BOSA,1100107,737647,51,0.659488159601307,92,12.472090308779132,8450,114.55,1145.5,520,7.05,64.2,14.2
8,KENNEDY,1100108,1041286,75,0.6787735738062183,145,13.925088784445387,12800,122.92,1229.2,890,8.55,78.5,14.2
9,FONTIBON,1100109,411638,23,0.5985592938041305,24,5.830365515331432,4980,120.98,1209.8,340,8.26,51.2,22.0
10,ENGATIVA,1100110,822369,35,0.4222601049859267,68,8.268794178768898,9210,111.99,1119.9,580,7.05,61.4,14.2
11,SUBA,1100111,1332958,79,0.6308805655245333,74,5.551562764918325,11400,85.52,855.2,710,5.33,59.8,14.2
12,BARRIOS UNIDOS,1100112,159163,16,1.188945776641674,16,10.052587598876624,3820,240.01,2400.1,290,18.22,49.5,22.0
13,TEUSAQUILLO,1100113,164384,20,1.2931341044723044,9,5.474985400038934,3450,209.87,2098.7,260,15.82,44.1,8.5
14,LOS MARTIRES,1100114,82827,16,2.122776060392979,48,57.95211706327647,4820,581.94,5819.4,410,49.5,94.2,22.0
15,ANTONIO NARINO,1100115,86119,15,1.9571258953850967,22,25.546046749265557,2890,335.58,3355.8,210,24.38,54.2,22.0
16,PUENTE ARANDA,1100116,259314,18,0.7235948190610956,28,10.797720138519324,4780,184.33,1843.3,360,13.88,52.8,22.0
17,LA CANDELARIA,1100117,18941,13,7.903216000972703,8,42.23641835172378,1890,997.84,9978.4,190,100.31,76.4,22.0
18,RAFAEL URIBE URIBE,1100118,393869,20,0.5352387834022453,78,19.803538740037933,5120,129.99,1299.9,310,7.87,66.5,22.0
19,CIUDAD BOLIVAR,1100119,671670,48,0.694803305526726,182,27.096639718909582,7950,118.36,1183.6,480,7.15,82.1,22.0
20,SUMAPAZ,1100120,4021,0,0.0,2,49.73887092762995,45,111.91,1119.1,8,19.9,4.2,22.0
