codigo_localidad,nombre_localidad,codigo_divipola,poblacion,atenciones_totales_sdis,beneficiarios_unicos_total_sdis,tasa_atenciones_sdis_por_10k_hab,beneficiarios_transferencias_monetarias_img,beneficiarios_transferencias_monetarias,atenciones_transferencias_img,tasa_transferencias_img_por_10k_hab,tasa_beneficiarios_transferencias_pct,beneficiarios_comedores_comunitarios,comedores_comunitarios_activos,comedores_por_10k_hab,atenciones_comisarias_familia,tasa_comisarias_por_10k_hab,beneficiarios_vejez_sdis,beneficiarios_infancia_sdis,atenciones_habitante_calle_sdis,beneficiarios_discapacidad_sdis,beneficiarios_victimas_sdis,beneficiarios_migrantes_sdis,vendedores_informales_promedio,rivi_por_10000_hab_2017_2019,presupuesto_social_sdis_millones,inversion_social_sdis_per_capita_cop
1,USAQUEN,1100101,602412,36587,1,607.34,1,1,21684,359.95,0.0,1,3,0.02,4138,68.69,1,1,110,1,1,1,602.6666666666666,11.171942605828493,12025.0,19961.0
2,CHAPINERO,1100102,184757,10161,1,549.97,1,1,3821,206.81,0.0,1,3,0.05,1549,83.84,1,1,244,1,1,1,2861.0,182.96138826511367,12025.0,65085.0
3,SANTA FE,1100103,107851,26081,1,2418.24,1,1,12758,1182.93,0.0,1,3,0.09,1652,153.17,1,1,469,1,1,1,10102.666666666666,969.4306153194726,12025.0,111496.0
4,SAN CRISTOBAL,1100104,411570,78989,1,1919.21,1,1,51583,1253.32,0.0,1,8,0.02,5144,124.98,1,1,698,1,1,1,3554.1666666666665,92.3272162232878,27750.0,67425.0
5,USME,1100105,422489,93579,1,2214.95,1,1,64331,1522.67,0.0,1,8,0.02,4900,115.98,1,1,89,1,1,1,1975.5,54.344107473166304,27750.0,65682.0
6,TUNJUELITO,1100106,186127,29278,1,1573.01,1,1,18434,990.4,0.0,1,3,0.05,2474,132.92,1,1,113,1,1,1,1063.8333333333333,62.006551884709246,12025.0,64606.0
7,BOSA,1100107,737647,133673,1,1812.15,1,1,95656,1296.77,0.0,1,8,0.01,8107,109.9,1,1,143,1,1,1,1933.8333333333333,27.916847784610425,46250.0,62699.0
8,KENNEDY,1100108,1041286,121075,1,1162.74,1,1,79030,758.97,0.0,1,8,0.01,11872,114.01,1,1,225,1,1,1,4535.166666666667,44.38386796477251,46250.0,44416.0
9,FONTIBON,1100109,411638,28504,1,692.45,1,1,14808,359.73,0.0,1,3,0.02,3825,92.92,1,1,173,1,1,1,1207.1666666666667,32.99533360500584,12025.0,29213.0
10,ENGATIVA,1100110,822369,72162,1,877.49,1,1,48721,592.45,0.0,1,3,0.01,7953,96.71,1,1,256,1,1,1,2684.0,33.8245850837291,27750.0,33744.0
11,SUBA,1100111,1332958,100911,1,757.05,1,1,70747,530.75,0.0,1,3,0.01,9166,68.76,1,1,133,1,1,1,2747.6666666666665,23.7911540171762,46250.0,34697.0
12,BARRIOS UNIDOS,1100112,159163,10572,1,664.22,1,1,3966,249.18,0.0,1,3,0.06,1422,89.34,1,1,114,1,1,1,793.8333333333334,59.47090204582562,12025.0,75551.0
13,TEUSAQUILLO,1100113,164384,3980,1,242.12,1,1,706,42.95,0.0,1,3,0.06,725,44.1,1,1,166,1,1,1,1801.6666666666667,124.43868462979688,12025.0,73152.0
14,LOS MARTIRES,1100114,82827,24810,1,2995.4,1,1,5686,686.49,0.0,1,3,0.12,4566,551.27,1,1,5464,1,1,1,3454.5,471.2410768660372,12025.0,145182.0
15,ANTONIO NARINO,1100115,86119,10314,1,1197.65,1,1,4253,493.85,0.0,1,3,0.12,1582,183.7,1,1,518,1,1,1,1366.0,172.45959779653174,12025.0,139632.0
16,PUENTE ARANDA,1100116,259314,19086,1,736.02,1,1,7633,294.35,0.0,1,3,0.04,2172,83.76,1,1,2664,1,1,1,2838.5,116.93669954555308,12025.0,46372.0
17,LA CANDELARIA,1100117,18941,15064,1,7953.12,1,1,1315,694.26,0.01,1,3,0.53,699,369.04,1,1,349,1,1,1,1713.6666666666667,1005.6584812338187,12025.0,634866.0
18,RAFAEL URIBE URIBE,1100118,393869,70030,1,1778.0,1,1,48347,1227.49,0.0,1,8,0.03,4006,101.71,1,1,201,1,1,1,1161.6666666666667,31.86636278407336,27750.0,70455.0
19,CIUDAD BOLIVAR,1100119,671670,152623,1,2272.29,1,1,110521,1645.47,0.0,1,8,0.01,8708,129.65,1,1,131,1,1,1,2502.833333333333,40.746299033866,46250.0,68858.0
20,SUMAPAZ,1100120,4021,2024,1,5033.57,1,1,579,1439.94,0.02,1,3,2.49,144,358.12,1,1,0,1,1,1,19.0,59.96575155855302,12025.0,2990550.0
