codigo_localidad,nombre_localidad,area,ano,poblacion_total,poblacion_hombres,poblacion_mujeres,poblacion_0_5,poblacion_6_11,poblacion_12_17,poblacion_5_17,poblacion_18_59,poblacion_60_mas
01,Usaquén,Total,2025,602412,276385,326027,36624,36580,35582,78129,366470,127156
02,Chapinero,Total,2025,184757,88782,95975,13094,9935,8152,20087,119895,33681
03,Santa Fe,Total,2025,107851,52530,55321,11507,8045,7098,17173,66839,14362
04,San Cristóbal,Total,2025,411570,197892,213678,39700,31760,32111,69823,245961,62038
05,Usme,Total,2025,422489,209923,212566,46190,36134,36601,79421,249709,53855
06,Tunjuelito,Total,2025,186127,92882,93245,19578,13330,12998,29068,111348,28873
07,Bosa,Total,2025,737647,355056,382591,56160,61274,62559,133655,467015,90639
08,Kennedy,Total,2025,1041286,506349,534937,48145,76413,79664,166375,671129,165935
09,Fontibón,Total,2025,411638,191220,220418,25327,25300,26682,55875,262247,72082
10,Engativá,Total,2025,822369,390495,431874,35593,51372,54431,112734,525703,155270
11,Suba,Total,2025,1332958,629285,703673,76965,90195,91605,193609,837814,236379
12,Barrios Unidos,Total,2025,159163,79870,79293,12050,8183,8261,18112,99839,30830
13,Teusaquillo,Total,2025,164384,66645,97739,9264,7322,7027,16087,105772,34999
14,Los Mártires,Total,2025,82827,33146,49681,6581,5659,5056,12240,54118,11413
15,Antonio Nariño,Total,2025,86119,39523,46596,10307,4955,5505,11638,50600,14752
16,Puente Aranda,Total,2025,259314,129016,130298,15980,14707,16112,33278,161107,51408
17,La Candelaria,Total,2025,18941,9499,9442,743,805,1129,2046,12772,3492
18,Rafael Uribe Uribe,Total,2025,393869,193062,200807,34464,29747,29720,65007,238062,61876
19,Ciudad Bolivar,Total,2025,671670,336103,335567,65501,60184,58208,129435,404133,83644
20,Sumapaz,Total,2025,4021,2018,2003,392,395,400,862,2228,606
