codigo_localidad,nombre_localidad,area,ano,poblacion_total,poblacion_hombres,poblacion_mujeres,poblacion_0_5,poblacion_6_11,poblacion_12_17,poblacion_5_17,poblacion_18_59,poblacion_60_mas
01,Usaquén,Cabecera Municipal,2018,535205,246729,288476,34438,32488,35779,73706,339539,92961
01,Usaquén,Centros Poblados y Rural Disperso,2018,488,208,280,40,75,100,181,206,67
01,Usaquén,Total,2018,535693,246937,288756,34478,32563,35879,73887,339745,93028
02,Chapinero,Cabecera Municipal,2018,155619,73954,81665,9207,7354,7838,16539,105977,25243
02,Chapinero,Centros Poblados y Rural Disperso,2018,860,448,412,100,67,70,153,529,94
02,Chapinero,Total,2018,156479,74402,82077,9307,7421,7908,16692,106506,25337
03,Santa Fe,Cabecera Municipal,2018,103100,51178,51922,7622,7472,8396,17184,65756,13854
03,Santa Fe,Centros Poblados y Rural Disperso,2018,885,453,432,134,117,113,250,449,72
03,Santa Fe,Total,2018,103985,51631,52354,7756,7589,8509,17434,66205,13926
04,San Cristóbal,Cabecera Municipal,2018,385458,186876,198582,32077,33648,37082,76074,237227,45424
04,San Cristóbal,Centros Poblados y Rural Disperso,2018,56,22,34,6,4,2,6,34,10
04,San Cristóbal,Total,2018,385514,186898,198616,32083,33652,37084,76080,237261,45434
05,Usme,Cabecera Municipal,2018,355461,172886,182575,33928,34752,37011,77533,215521,34249
05,Usme,Centros Poblados y Rural Disperso,2018,7933,4085,3848,991,847,857,1846,4466,772
05,Usme,Total,2018,363394,176971,186423,34919,35599,37868,79379,219987,35021
06,Tunjuelito,Cabecera Municipal,2018,171632,83369,88263,13158,13393,14587,30193,107845,22649
06,Tunjuelito,Centros Poblados y Rural Disperso,2018,0,0,0,0,0,0,0,0,0
06,Tunjuelito,Total,2018,171632,83369,88263,13158,13393,14587,30193,107845,22649
07,Bosa,Cabecera Municipal,2018,694397,334223,360174,63364,64437,69909,144908,436372,60315
07,Bosa,Centros Poblados y Rural Disperso,2018,0,0,0,0,0,0,0,0,0
07,Bosa,Total,2018,694397,334223,360174,63364,64437,69909,144908,436372,60315
08,Kennedy,Cabecera Municipal,2018,1019748,488032,531716,81639,82227,88410,184241,649637,117835
08,Kennedy,Centros Poblados y Rural Disperso,2018,0,0,0,0,0,0,0,0,0
08,Kennedy,Total,2018,1019748,488032,531716,81639,82227,88410,184241,649637,117835
09,Fontibón,Cabecera Municipal,2018,365884,173463,192421,25173,25651,29206,59007,237570,48284
09,Fontibón,Centros Poblados y Rural Disperso,2018,0,0,0,0,0,0,0,0,0
09,Fontibón,Total,2018,365884,173463,192421,25173,25651,29206,59007,237570,48284
10,Engativá,Cabecera Municipal,2018,792518,374253,418265,52924,54109,61385,124106,510589,113511
10,Engativá,Centros Poblados y Rural Disperso,2018,0,0,0,0,0,0,0,0,0
10,Engativá,Total,2018,792518,374253,418265,52924,54109,61385,124106,510589,113511
11,Suba,Cabecera Municipal,2018,1149040,540726,608314,84656,83012,93343,190171,738973,149056
11,Suba,Centros Poblados y Rural Disperso,2018,3347,1711,1636,352,326,330,704,1986,353
11,Suba,Total,2018,1152387,542437,609950,85008,83338,93673,190875,740959,149409
12,Barrios Unidos,Cabecera Municipal,2018,133126,62070,71056,7374,7547,8813,17561,85467,23925
12,Barrios Unidos,Centros Poblados y Rural Disperso,2018,0,0,0,0,0,0,0,0,0
12,Barrios Unidos,Total,2018,133126,62070,71056,7374,7547,8813,17561,85467,23925
13,Teusaquillo,Cabecera Municipal,2018,144526,67745,76781,6866,6469,7651,15146,95305,28235
13,Teusaquillo,Centros Poblados y Rural Disperso,2018,0,0,0,0,0,0,0,0,0
13,Teusaquillo,Total,2018,144526,67745,76781,6866,6469,7651,15146,95305,28235
14,Los Mártires,Cabecera Municipal,2018,73277,35873,37404,5157,4728,5794,11346,46412,11186
14,Los Mártires,Centros Poblados y Rural Disperso,2018,0,0,0,0,0,0,0,0,0
14,Los Mártires,Total,2018,73277,35873,37404,5157,4728,5794,11346,46412,11186
15,Antonio Nariño,Cabecera Municipal,2018,79229,37925,41304,4953,5398,6272,12560,49294,13312
15,Antonio Nariño,Centros Poblados y Rural Disperso,2018,0,0,0,0,0,0,0,0,0
15,Antonio Nariño,Total,2018,79229,37925,41304,4953,5398,6272,12560,49294,13312
16,Puente Aranda,Cabecera Municipal,2018,242905,117754,125151,14784,15762,18176,36482,155935,38248
16,Puente Aranda,Centros Poblados y Rural Disperso,2018,0,0,0,0,0,0,0,0,0
16,Puente Aranda,Total,2018,242905,117754,125151,14784,15762,18176,36482,155935,38248
17,La Candelaria,Cabecera Municipal,2018,17075,9012,8063,827,861,1017,2004,11596,2774
17,La Candelaria,Centros Poblados y Rural Disperso,2018,0,0,0,0,0,0,0,0,0
17,La Candelaria,Total,2018,17075,9012,8063,827,861,1017,2004,11596,2774
18,Rafael Uribe Uribe,Cabecera Municipal,2018,364532,180338,184194,29253,30011,32840,67834,226727,45701
18,Rafael Uribe Uribe,Centros Poblados y Rural Disperso,2018,0,0,0,0,0,0,0,0,0
18,Rafael Uribe Uribe,Total,2018,364532,180338,184194,29253,30011,32840,67834,226727,45701
19,Ciudad Bolivar,Cabecera Municipal,2018,604668,294968,309700,59150,58093,61625,129522,368469,57331
19,Ciudad Bolivar,Centros Poblados y Rural Disperso,2018,8459,4176,4283,1111,1091,918,2223,4542,797
19,Ciudad Bolivar,Total,2018,613127,299144,313983,60261,59184,62543,131745,373011,58128
20,Sumapaz,Cabecera Municipal,2018,0,0,0,0,0,0,0,0,0
20,Sumapaz,Centros Poblados y Rural Disperso,2018,3138,1601,1537,355,343,345,741,1786,309
20,Sumapaz,Total,2018,3138,1601,1537,355,343,345,741,1786,309
01,Usaquén,Cabecera Municipal,2019,550190,253550,296640,35577,33470,35590,74804,347513,98040
01,Usaquén,Centros Poblados y Rural Disperso,2019,516,220,296,42,78,103,188,220,73
01,Usaquén,Total,2019,550706,253770,296936,35619,33548,35693,74992,347733,98113
02,Chapinero,Cabecera Municipal,2019,162232,77517,84715,9813,7741,7747,16897,110413,26518
02,Chapinero,Centros Poblados y Rural Disperso,2019,916,474,442,105,71,72,160,563,105
02,Chapinero,Total,2019,163148,77991,85157,9918,7812,7819,17057,110976,26623
