codigo_upz,nombre_upz,codigo_localidad,ano,poblacion_total,poblacion_hombres,poblacion_mujeres,poblacion_0_14,poblacion_15_59,poblacion_60_mas
001,PASEO DE LOS LIBERTADORES,01,2018,2567.0,1279.0,1288.0,645.0,1650.0,272.0
009,VERBENAL,01,2018,119080.0,56578.0,62502.0,32870.0,74738.0,11472.0
010,LA URIBE,01,2018,31194.0,14327.0,16867.0,8146.0,19017.0,4031.0
011,SAN CRISTOBAL NORTE,01,2018,68168.0,32450.0,35718.0,18182.0,41941.0,8045.0
012,TOBERIN,01,2018,58835.0,27123.0,31712.0,13364.0,35848.0,9623.0
013,LOS CEDROS,01,2018,123293.0,54733.0,68560.0,23142.0,72996.0,27155.0
014,USAQUEN,01,2018,39868.0,18825.0,21043.0,8804.0,23995.0,7069.0
015,COUNTRY CLUB,01,2018,24440.0,10977.0,13463.0,5059.0,13303.0,6078.0
016,SANTA BARBARA,01,2018,67760.0,30437.0,37323.0,13228.0,38961.0,15571.0
088,EL REFUGIO,02,2018,36695.0,16397.0,20298.0,7979.0,20774.0,7942.0
089,SAN ISIDRO - PATIOS,02,2018,15231.0,7533.0,7698.0,4298.0,9457.0,1476.0
090,PARDO RUBIO,02,2018,46307.0,22621.0,23686.0,9643.0,31527.0,5137.0
097,CHICO LAGO,02,2018,33942.0,15780.0,18162.0,6862.0,20624.0,6456.0
099,CHAPINERO,02,2018,23444.0,11623.0,11821.0,3321.0,17178.0,2945.0
091,SAGRADO CORAZON,03,2018,10027.0,4998.0,5029.0,1923.0,6711.0,1393.0
092,LA MACARENA,03,2018,12041.0,5866.0,6175.0,2334.0,7749.0,1958.0
093,LAS NIEVES,03,2018,16323.0,8457.0,7866.0,3157.0,10889.0,2277.0
095,LAS CRUCES,03,2018,20406.0,10293.0,10113.0,5423.0,12359.0,2624.0
096,LOURDES,03,2018,44303.0,21564.0,22739.0,12800.0,26303.0,5200.0
032,SAN BLAS,04,2018,97856.0,47245.0,50611.0,28107.0,59285.0,10464.0
033,SOSIEGO,04,2018,42167.0,20418.0,21749.0,10574.0,25865.0,5728.0
034,20 DE JULIO,04,2018,78361.0,37998.0,40363.0,20099.0,48040.0,10222.0
050,LA GLORIA,04,2018,93229.0,45285.0,47944.0,26862.0,55952.0,10415.0
051,LOS LIBERTADORES,04,2018,73845.0,35930.0,37915.0,22154.0,44218.0,7473.0
052,LA FLORA,05,2018,18178.0,8980.0,9198.0,5949.0,10580.0,1649.0
056,DANUBIO,05,2018,50027.0,24123.0,25904.0,16106.0,30490.0,3431.0
057,GRAN YOMASA,05,2018,123476.0,59837.0,63639.0,36199.0,73714.0,13563.0
058,COMUNEROS,05,2018,91633.0,44615.0,47018.0,27392.0,55153.0,9088.0
059,ALFONSO LOPEZ,05,2018,48496.0,23875.0,24621.0,15046.0,29287.0,4163.0
060,PARQUE ENTRENUBES,05,2018,1014.0,517.0,497.0,383.0,574.0,57.0
061,CIUDAD USME,05,2018,22637.0,10939.0,11698.0,7295.0,13573.0,1769.0
