ANO;CODIGO_UPL;NOMBRE_UPL;SEXO;EDAD;ORDEN_MCV;CURSODEVIDA;ORDEN_GRUPO_EDAD;GRUPOEDAD;POBLACION
2005;1;Sumapáz;Hombres;0;1;Primera Infancia;1;0 a 4;79
2005;1;Sumapáz;Hombres;1;1;Primera Infancia;1;0 a 4;100
2005;1;Sumapáz;Hombres;2;1;Primera Infancia;1;0 a 4;93
2005;1;Sumapáz;Hombres;3;1;Primera Infancia;1;0 a 4;80
2005;1;Sumapáz;Hombres;4;1;Primera Infancia;1;0 a 4;75
2005;1;Sumapáz;Hombres;5;1;Primera Infancia;2;5 a 9;83
2005;1;Sumapáz;Hombres;6;2;Infancia;2;5 a 9;95
2005;1;Sumapáz;Hombres;7;2;Infancia;2;5 a 9;69
2005;1;Sumapáz;Hombres;8;2;Infancia;2;5 a 9;86
2005;1;Sumapáz;Hombres;9;2;Infancia;2;5 a 9;107
2005;1;Sumapáz;Hombres;10;2;Infancia;3;10 a 14;92
2005;1;Sumapáz;Hombres;11;2;Infancia;3;10 a 14;78
2005;1;Sumapáz;Hombres;12;3;Adolescencia;3;10 a 14;86
2005;1;Sumapáz;Hombres;13;3;Adolescencia;3;10 a 14;80
2005;1;Sumapáz;Hombres;14;3;Adolescencia;3;10 a 14;76
2005;1;Sumapáz;Hombres;15;3;Adolescencia;4;15 a 19;69
2005;1;Sumapáz;Hombres;16;3;Adolescencia;4;15 a 19;63
2005;1;Sumapáz;Hombres;17;3;Adolescencia;4;15 a 19;69
2005;1;Sumapáz;Hombres;18;4;Juventud;4;15 a 19;45
2005;1;Sumapáz;Hombres;19;4;Juventud;4;15 a 19;57
2005;1;Sumapáz;Hombres;20;4;Juventud;5;20 a 24;53
2005;1;Sumapáz;Hombres;21;4;Juventud;5;20 a 24;42
2005;1;Sumapáz;Hombres;22;4;Juventud;5;20 a 24;37
2005;1;Sumapáz;Hombres;23;4;Juventud;5;20 a 24;36
2005;1;Sumapáz;Hombres;24;4;Juventud;5;20 a 24;39
2005;1;Sumapáz;Hombres;25;4;Juventud;6;25 a 29;45
2005;1;Sumapáz;Hombres;26;4;Juventud;6;25 a 29;52
2005;1;Sumapáz;Hombres;27;4;Juventud;6;25 a 29;37
2005;1;Sumapáz;Hombres;28;4;Juventud;6;25 a 29;41
2005;1;Sumapáz;Hombres;29;5;Adultez;6;25 a 29;42
2005;1;Sumapáz;Hombres;30;5;Adultez;7;30 a 34;27
2005;1;Sumapáz;Hombres;31;5;Adultez;7;30 a 34;31
2005;1;Sumapáz;Hombres;32;5;Adultez;7;30 a 34;39
