codigo_localidad,nombre_localidad,codigo_divipola,presupuesto_aprobado_millones,presupuesto_ejecutado_millones,porcentaje_ejecucion_fdl,proyectos_inversion_activos,vigencia,fuente
1,Usaquén,1100101,85400,81200,95.08,26,2024-2025,Secretaría Distrital de Gobierno / Confis Distrital / Mapa de Inversiones
2,Chapinero,1100102,62300,59800,95.99,19,2024-2025,Secretaría Distrital de Gobierno / Confis Distrital / Mapa de Inversiones
3,Santa Fe,1100103,54200,51600,95.2,16,2024-2025,Secretaría Distrital de Gobierno / Confis Distrital / Mapa de Inversiones
4,San Cristóbal,1100104,98400,92100,93.6,30,2024-2025,Secretaría Distrital de Gobierno / Confis Distrital / Mapa de Inversiones
5,Usme,1100105,112500,104200,92.62,35,2024-2025,Secretaría Distrital de Gobierno / Confis Distrital / Mapa de Inversiones
6,Tunjuelito,1100106,71300,68500,96.07,22,2024-2025,Secretaría Distrital de Gobierno / Confis Distrital / Mapa de Inversiones
7,Bosa,1100107,138900,131200,94.46,43,2024-2025,Secretaría Distrital de Gobierno / Confis Distrital / Mapa de Inversiones
8,Kennedy,1100108,175400,166800,95.1,54,2024-2025,Secretaría Distrital de Gobierno / Confis Distrital / Mapa de Inversiones
9,Fontibón,1100109,88200,84600,95.92,27,2024-2025,Secretaría Distrital de Gobierno / Confis Distrital / Mapa de Inversiones
10,Engativá,1100110,124500,119800,96.22,38,2024-2025,Secretaría Distrital de Gobierno / Confis Distrital / Mapa de Inversiones
11,Suba,1100111,168700,161400,95.67,52,2024-2025,Secretaría Distrital de Gobierno / Confis Distrital / Mapa de Inversiones
12,Barrios Unidos,1100112,64500,62100,96.28,20,2024-2025,Secretaría Distrital de Gobierno / Confis Distrital / Mapa de Inversiones
13,Teusaquillo,1100113,61200,59100,96.57,19,2024-2025,Secretaría Distrital de Gobierno / Confis Distrital / Mapa de Inversiones
14,Los Mártires,1100114,56800,53900,94.89,17,2024-2025,Secretaría Distrital de Gobierno / Confis Distrital / Mapa de Inversiones
15,Antonio Nariño,1100115,58900,56400,95.76,18,2024-2025,Secretaría Distrital de Gobierno / Confis Distrital / Mapa de Inversiones
16,Puente Aranda,1100116,82400,79200,96.12,25,2024-2025,Secretaría Distrital de Gobierno / Confis Distrital / Mapa de Inversiones
17,La Candelaria,1100117,38500,36800,95.58,12,2024-2025,Secretaría Distrital de Gobierno / Confis Distrital / Mapa de Inversiones
18,Rafael Uribe Uribe,1100118,108600,102400,94.29,33,2024-2025,Secretaría Distrital de Gobierno / Confis Distrital / Mapa de Inversiones
19,Ciudad Bolívar,1100119,164200,154800,94.28,51,2024-2025,Secretaría Distrital de Gobierno / Confis Distrital / Mapa de Inversiones
20,Sumapaz,1100120,68500,63200,92.26,21,2024-2025,Secretaría Distrital de Gobierno / Confis Distrital / Mapa de Inversiones
