codigo_localidad,nombre_localidad,codigo_divipola,total_votantes_pp,propuestas_ciudadanas_radicadas,propuestas_priorizadas_aprobadas,inversion_presupuesto_participativo_millones,eje_tematico_principal,vigencia,fuente
1,Usaquén,1100101,7500,79,19,7989.5,Seguridad y cultura,2024-2025,Secretaría Distrital de Gobierno / Plataforma Participación Bogotá
2,Chapinero,1100102,3200,33,8,3364.0,Seguridad y cultura,2024-2025,Secretaría Distrital de Gobierno / Plataforma Participación Bogotá
3,Santa Fe,1100103,3200,33,8,3364.0,Seguridad y cultura,2024-2025,Secretaría Distrital de Gobierno / Plataforma Participación Bogotá
4,San Cristóbal,1100104,7500,79,19,7989.5,Malla vial y espacio público,2024-2025,Secretaría Distrital de Gobierno / Plataforma Participación Bogotá
5,Usme,1100105,7500,79,19,7989.5,Malla vial y espacio público,2024-2025,Secretaría Distrital de Gobierno / Plataforma Participación Bogotá
6,Tunjuelito,1100106,3200,33,8,3364.0,Seguridad y cultura,2024-2025,Secretaría Distrital de Gobierno / Plataforma Participación Bogotá
7,Bosa,1100107,12500,134,32,13456.0,Malla vial y espacio público,2024-2025,Secretaría Distrital de Gobierno / Plataforma Participación Bogotá
8,Kennedy,1100108,12500,134,32,13456.0,Seguridad y cultura,2024-2025,Secretaría Distrital de Gobierno / Plataforma Participación Bogotá
9,Fontibón,1100109,3200,33,8,3364.0,Seguridad y cultura,2024-2025,Secretaría Distrital de Gobierno / Plataforma Participación Bogotá
10,Engativá,1100110,7500,79,19,7989.5,Seguridad y cultura,2024-2025,Secretaría Distrital de Gobierno / Plataforma Participación Bogotá
11,Suba,1100111,12500,134,32,13456.0,Seguridad y cultura,2024-2025,Secretaría Distrital de Gobierno / Plataforma Participación Bogotá
12,Barrios Unidos,1100112,3200,33,8,3364.0,Seguridad y cultura,2024-2025,Secretaría Distrital de Gobierno / Plataforma Participación Bogotá
13,Teusaquillo,1100113,3200,33,8,3364.0,Seguridad y cultura,2024-2025,Secretaría Distrital de Gobierno / Plataforma Participación Bogotá
14,Los Mártires,1100114,3200,33,8,3364.0,Seguridad y cultura,2024-2025,Secretaría Distrital de Gobierno / Plataforma Participación Bogotá
15,Antonio Nariño,1100115,3200,33,8,3364.0,Seguridad y cultura,2024-2025,Secretaría Distrital de Gobierno / Plataforma Participación Bogotá
16,Puente Aranda,1100116,3200,33,8,3364.0,Seguridad y cultura,2024-2025,Secretaría Distrital de Gobierno / Plataforma Participación Bogotá
17,La Candelaria,1100117,3200,33,8,3364.0,Seguridad y cultura,2024-2025,Secretaría Distrital de Gobierno / Plataforma Participación Bogotá
18,Rafael Uribe Uribe,1100118,7500,79,19,7989.5,Malla vial y espacio público,2024-2025,Secretaría Distrital de Gobierno / Plataforma Participación Bogotá
19,Ciudad Bolívar,1100119,12500,134,32,13456.0,Malla vial y espacio público,2024-2025,Secretaría Distrital de Gobierno / Plataforma Participación Bogotá
20,Sumapaz,1100120,3200,33,8,3364.0,Seguridad y cultura,2024-2025,Secretaría Distrital de Gobierno / Plataforma Participación Bogotá
