Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
,Reporte de Validaciones Zonales por Día,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Periodo Validaciones:,01 al 31 Enero 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fuente:,FCS Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operador,Linea_FCS,Ruta_Consolidada,2024-01-01 00:00:00,2024-01-02 00:00:00,2024-01-03 00:00:00,2024-01-04 00:00:00,2024-01-05 00:00:00,2024-01-06 00:00:00,2024-01-07 00:00:00,2024-01-08 00:00:00,2024-01-09 00:00:00,2024-01-10 00:00:00,2024-01-11 00:00:00,2024-01-12 00:00:00,2024-01-13 00:00:00,2024-01-14 00:00:00,2024-01-15 00:00:00,2024-01-16 00:00:00,2024-01-17 00:00:00,2024-01-18 00:00:00,2024-01-19 00:00:00,2024-01-20 00:00:00,2024-01-21 00:00:00,2024-01-22 00:00:00,2024-01-23 00:00:00,2024-01-24 00:00:00,2024-01-25 00:00:00,2024-01-26 00:00:00,2024-01-27 00:00:00,2024-01-28 00:00:00,2024-01-29 00:00:00,2024-01-30 00:00:00,2024-01-31 00:00:00,Total general
,(001) CONSORCIO EXPRESS,(1064) T13,(1064) T13,2187,10866,12731,12925,13174,9481,4212,4310,14881,15091,15745,15978,11101,5358,17441,16904,17526,17316,17747,11739,5150,18111,18590,18999,17396,17739,12254,5417,18875,19873,18606,417723
,(001) CONSORCIO EXPRESS,(1077) N16,(1077) N16,54,164,232,210,169,251,88,111,328,513,432,309,359,132,482,406,436,479,426,445,132,461,526,455,444,443,404,162,736,570,612,10971
,(001) CONSORCIO EXPRESS,(1109) BK904,(1109) BK904,436,1285,1544,1594,1536,1152,875,836,2134,2306,2279,2263,1558,803,2294,2694,2491,2727,2458,1677,807,2496,2417,2313,2750,2553,1824,965,2567,2666,2536,58836
,(001) CONSORCIO EXPRESS,(1141) BK903,(1141) BK903,1003,2939,3231,3399,3455,2418,1301,1677,3774,4011,4375,4370,2891,1746,4214,4105,4372,4703,4741,2991,1808,4740,4926,4846,4762,4832,3156,1925,4829,4876,4718,111134
,(001) CONSORCIO EXPRESS,(1147) LK801,(1147) LK801,411,737,895,887,955,990,682,790,940,916,914,1008,1161,897,1090,1074,1043,1196,1123,1341,672,1143,1196,1080,1160,1006,1210,700,860,1016,1214,30307
,(001) CONSORCIO EXPRESS,(1148) LK803,(1148) LK803,677,1413,1965,1522,1753,1761,1345,1209,2038,1973,2190,2157,2065,1421,2161,2603,2152,2179,2139,2149,1372,2337,1926,1996,1892,1832,2146,1363,2079,1800,1787,57402
,(001) CONSORCIO EXPRESS,(1149) LD800,(1149) LD800,1098,3116,3959,4141,3998,3207,2238,2012,4770,4379,4610,4781,3725,2414,5663,5009,5057,5425,5597,4187,2695,5061,4919,4966,4116,5521,4176,2648,5577,4896,4924,128885
,(001) CONSORCIO EXPRESS,(1154) T25,(1154) T25,2647,9291,11064,11936,12114,8034,6064,4880,14723,14631,14410,14951,9446,6523,15142,15836,15846,15708,15488,9695,5825,17124,16319,16009,15663,14715,9848,6012,16264,16062,16665,378935
,(001) CONSORCIO EXPRESS,(1187) BK905,(1187) BK905,1091,2711,3445,3557,3934,2637,2115,2006,4118,4491,4201,4338,2828,2003,4426,4425,4121,4647,4745,2822,1761,4351,4866,4076,4401,4572,2925,1956,4572,4337,4555,111033
,(001) CONSORCIO EXPRESS,(1189) 786,(1189) 786,1370,3940,4663,5092,5077,3253,2458,2056,5548,5783,5586,5939,4229,2725,5939,6183,6138,6368,6607,4412,2956,6740,6284,6129,6255,5831,4264,3075,6330,6532,6486,154248
