Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
,Reporte de Validaciones Zonales por Día,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Periodo Validaciones:,01 al 29 Febrero 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fuente:,FCS Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operador,Linea_FCS,Ruta_Consolidada,2024-02-01 00:00:00,2024-02-02 00:00:00,2024-02-03 00:00:00,2024-02-04 00:00:00,2024-02-05 00:00:00,2024-02-06 00:00:00,2024-02-07 00:00:00,2024-02-08 00:00:00,2024-02-09 00:00:00,2024-02-10 00:00:00,2024-02-11 00:00:00,2024-02-12 00:00:00,2024-02-13 00:00:00,2024-02-14 00:00:00,2024-02-15 00:00:00,2024-02-16 00:00:00,2024-02-17 00:00:00,2024-02-18 00:00:00,2024-02-19 00:00:00,2024-02-20 00:00:00,2024-02-21 00:00:00,2024-02-22 00:00:00,2024-02-23 00:00:00,2024-02-24 00:00:00,2024-02-25 00:00:00,2024-02-26 00:00:00,2024-02-27 00:00:00,2024-02-28 00:00:00,2024-02-29 00:00:00,2024-03-01 00:00:00,2024-03-02 00:00:00,Total general
,(001) CONSORCIO EXPRESS,(1064) T13,(1064) T13,22580,20870,13205,5216,19620,19526,19651,19498,19945,12596,5293,20656,19556,20646,19671,20016,12869,5589,20033,20787,19981,18719,20157,12785,5518,19970,20574,19712,20082,,,495321
,(001) CONSORCIO EXPRESS,(1077) N16,(1077) N16,769,849,417,149,709,941,825,867,820,412,148,858,829,759,747,717,466,117,716,713,713,911,820,490,171,802,902,809,812,,,19258
,(001) CONSORCIO EXPRESS,(1109) BK904,(1109) BK904,3220,2876,1664,842,2748,2455,2483,2939,2830,2040,813,2730,2982,2433,2676,2256,1782,834,2442,2622,2906,2970,2555,1615,727,2666,2269,2806,2596,,,66777
,(001) CONSORCIO EXPRESS,(1141) BK903,(1141) BK903,5820,5057,3487,1922,4579,4979,4586,4480,4917,3314,1895,3730,4543,3814,4065,4442,2872,1802,4547,4373,4267,4777,5039,3195,1798,4350,4544,4683,4557,,,116434
,(001) CONSORCIO EXPRESS,(1147) LK801,(1147) LK801,1027,1103,1178,880,1109,1050,1129,1148,988,1611,839,864,1025,867,788,1014,1122,749,1092,1043,1041,1075,1062,1397,822,1070,980,906,819,,,29798
,(001) CONSORCIO EXPRESS,(1148) LK803,(1148) LK803,2064,2131,2115,1651,2329,2157,2298,2262,2315,2604,1581,2106,2079,2182,1945,2441,1937,1573,1928,2012,1923,2116,1866,2423,1373,2157,2147,1858,1891,,,59464
,(001) CONSORCIO EXPRESS,(1149) LD800,(1149) LD800,6565,6075,4537,2997,5000,4918,5004,5895,5538,4582,2979,5845,5806,5231,4498,5208,4614,3007,5210,5756,5616,5880,5201,5373,2792,5841,5615,5186,4642,,,145411
,(001) CONSORCIO EXPRESS,(1154) T25,(1154) T25,20135,17945,10501,6218,17121,17983,17433,16647,15942,10685,6355,18184,16315,16839,17918,16324,10252,6874,15686,15229,15598,15722,15090,9583,6272,14048,15084,15434,16204,,,413621
,(001) CONSORCIO EXPRESS,(1187) BK905,(1187) BK905,5922,5112,3205,2319,4813,5002,4192,5063,4416,2922,2460,4557,4934,4986,4683,4573,3076,1734,4527,4611,4853,4835,4337,3037,2156,4301,4817,4499,4442,,,120384
,(001) CONSORCIO EXPRESS,(1189) 786,(1189) 786,7483,6893,4625,3328,6734,6562,6719,6100,6714,4749,3328,6625,6703,6613,6356,6744,4484,3294,6628,6124,6695,6804,6422,4521,3284,6289,6669,6809,6410,,,170709
