Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
,Reporte de Validaciones Zonales por Día,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Periodo Validaciones:,01 al 31 Marzo 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fuente:,FCS Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operador,Linea_FCS,Ruta_Consolidada,2024-03-01 00:00:00,2024-03-02 00:00:00,2024-03-03 00:00:00,2024-03-04 00:00:00,2024-03-05 00:00:00,2024-03-06 00:00:00,2024-03-07 00:00:00,2024-03-08 00:00:00,2024-03-09 00:00:00,2024-03-10 00:00:00,2024-03-11 00:00:00,2024-03-12 00:00:00,2024-03-13 00:00:00,2024-03-14 00:00:00,2024-03-15 00:00:00,2024-03-16 00:00:00,2024-03-17 00:00:00,2024-03-18 00:00:00,2024-03-19 00:00:00,2024-03-20 00:00:00,2024-03-21 00:00:00,2024-03-22 00:00:00,2024-03-23 00:00:00,2024-03-24 00:00:00,2024-03-25 00:00:00,2024-03-26 00:00:00,2024-03-27 00:00:00,2024-03-28 00:00:00,2024-03-29 00:00:00,2024-03-30 00:00:00,2024-03-31 00:00:00,Total general
,(001) CONSORCIO EXPRESS,(1064) T13,(1064) T13,20084,8597,5290,19651,19722,18409,19481,18138,13018,5329,19283,19612,20140,19801,19893,12928,5622,20046,19925,19770,20098,20151,16195,5253,5112,16189,14599,4184,3440,8325,4303,442588
,(001) CONSORCIO EXPRESS,(1077) N16,(1077) N16,670,386,180,783,756,484,796,652,484,168,782,884,789,795,864,570,183,805,741,865,934,812,620,211,203,480,483,91,85,154,96,16806
,(001) CONSORCIO EXPRESS,(1109) BK904,(1109) BK904,2710,1166,826,2626,2582,2791,2817,2614,1563,1194,3034,2765,2931,2956,2966,1730,851,2822,2819,2733,2934,3077,2314,1009,856,2302,1994,798,588,1047,880,64295
,(001) CONSORCIO EXPRESS,(1141) BK903,(1141) BK903,4927,2177,1699,4690,4724,4617,4397,4510,3117,1710,5102,4998,4971,5270,5061,3203,1835,4151,4459,4483,4466,4477,3978,1815,2021,4143,3916,1585,1286,2163,1538,111489
,(001) CONSORCIO EXPRESS,(1147) LK801,(1147) LK801,1001,793,831,1031,1044,1122,1040,886,1338,828,1060,1084,1179,1016,984,1172,804,742,1002,1007,1014,943,1581,765,705,917,1024,713,439,870,727,29662
,(001) CONSORCIO EXPRESS,(1148) LK803,(1148) LK803,2194,1326,1508,1988,1706,2258,1859,1649,1918,1434,1763,1654,1720,1831,1931,1994,1628,1969,2310,1924,1790,1884,3003,1502,1336,2105,2081,1234,963,1607,1578,55647
,(001) CONSORCIO EXPRESS,(1149) LD800,(1149) LD800,5641,3118,3215,5262,5311,4831,5480,5220,5144,2945,4923,4954,5817,4983,5520,5019,3198,5903,5105,5067,5975,5542,5850,2722,2257,4528,4697,2026,1533,2689,2591,137066
,(001) CONSORCIO EXPRESS,(1154) T25,(1154) T25,15582,7076,6235,16295,16950,15349,16731,16014,10701,6047,17091,17734,17172,16348,16356,11363,6422,16982,17970,16643,16345,16589,12738,6206,5533,13715,14068,5100,4324,6691,5460,387830
,(001) CONSORCIO EXPRESS,(1187) BK905,(1187) BK905,4412,2263,2144,3947,4818,4301,4416,4164,3411,2109,4649,5378,4796,4728,4868,3134,2174,4744,4381,5020,4318,4181,4233,2183,2298,3989,4314,2030,1525,2189,2073,113190
,(001) CONSORCIO EXPRESS,(1189) 786,(1189) 786,6659,3048,3325,6933,6509,6292,6756,6177,4515,3260,6099,6322,5946,6262,6269,4470,2982,6242,6347,6661,6350,6714,5531,3162,2459,5549,5862,2204,1742,2700,2592,155939
