Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
,Reporte de Validaciones Zonales por Día,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Periodo Validaciones:,01 al 30 Abril 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fuente:,FCS Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operador,Linea_FCS,Ruta_Consolidada,2024-04-01 00:00:00,2024-04-02 00:00:00,2024-04-03 00:00:00,2024-04-04 00:00:00,2024-04-05 00:00:00,2024-04-06 00:00:00,2024-04-07 00:00:00,2024-04-08 00:00:00,2024-04-09 00:00:00,2024-04-10 00:00:00,2024-04-11 00:00:00,2024-04-12 00:00:00,2024-04-13 00:00:00,2024-04-14 00:00:00,2024-04-15 00:00:00,2024-04-16 00:00:00,2024-04-17 00:00:00,2024-04-18 00:00:00,2024-04-19 00:00:00,2024-04-20 00:00:00,2024-04-21 00:00:00,2024-04-22 00:00:00,2024-04-23 00:00:00,2024-04-24 00:00:00,2024-04-25 00:00:00,2024-04-26 00:00:00,2024-04-27 00:00:00,2024-04-28 00:00:00,2024-04-29 00:00:00,2024-04-30 00:00:00,2024-05-01 00:00:00,Total general
,(001) CONSORCIO EXPRESS,(1064) T13,(1064) T13,18860,19022,19185,20019,19890,12905,5425,19545,19193,19436,19325,18128,12444,5689,19234,19542,19963,18381,18003,12344,5720,19417,19502,19395,20535,19669,11756,4748,18581,20203,,496059
,(001) CONSORCIO EXPRESS,(1077) N16,(1077) N16,734,813,696,771,867,520,213,689,656,878,712,737,523,169,701,799,736,747,561,437,193,883,801,909,882,877,545,161,701,880,,19791
,(001) CONSORCIO EXPRESS,(1109) BK904,(1109) BK904,2765,2725,2864,2855,3025,1742,892,2894,3008,3221,2790,3046,1670,868,2764,2672,2733,2766,2927,1803,855,2740,2682,2893,3154,2537,1765,898,2511,2921,,72986
,(001) CONSORCIO EXPRESS,(1141) BK903,(1141) BK903,4300,4344,4600,4849,4880,3266,1844,4847,4888,5070,5178,4917,3285,1905,4523,4102,4072,4954,4032,3161,2080,4797,4686,4618,3832,4690,3329,1913,5044,4424,,122430
,(001) CONSORCIO EXPRESS,(1147) LK801,(1147) LK801,816,1089,1107,1138,1056,1297,868,924,939,1011,1076,1079,1546,860,1097,961,1124,1054,917,1276,841,1003,972,1013,1015,879,1230,891,1071,999,,31149
,(001) CONSORCIO EXPRESS,(1148) LK803,(1148) LK803,2191,1949,2129,2252,2090,2131,1438,2310,2345,2053,2235,2285,2438,1494,2319,1873,2118,2375,1837,2191,1483,2092,2059,2070,1876,1774,1941,1456,2034,1937,,60775
,(001) CONSORCIO EXPRESS,(1149) LD800,(1149) LD800,5295,5567,6185,5901,5354,4929,3078,5390,6280,6263,5208,4914,4140,3153,4748,4771,5120,5060,5550,4389,2852,5693,5262,4914,5940,5338,4177,3091,4820,4675,,148057
,(001) CONSORCIO EXPRESS,(1154) T25,(1154) T25,15449,16000,16695,16973,16383,10384,6293,16262,15826,15930,16233,16610,10675,6219,16203,16352,16110,15186,15622,10649,6930,15771,16718,17037,16668,15873,10474,5543,15998,17435,,424501
,(001) CONSORCIO EXPRESS,(1187) BK905,(1187) BK905,4469,4705,4999,4719,4788,3478,2330,4705,5143,4855,5002,4639,3353,2306,5156,4683,4839,4871,4395,3348,2314,4388,5100,5523,4095,4700,3378,2244,5133,4388,,128046
,(001) CONSORCIO EXPRESS,(1189) 786,(1189) 786,6265,6423,6188,6667,6825,4698,3270,6352,6614,6443,6294,6678,4479,3195,6477,6756,5941,6366,5791,4167,3033,6423,6201,6298,6308,6506,4359,2974,6331,6350,,170672
