Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
,Reporte de Validaciones Zonales por Día,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Periodo Validaciones:,01 al 31 Mayo 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fuente:,FCS Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operador,Linea_FCS,Ruta_Consolidada,2024-05-01 00:00:00,2024-05-02 00:00:00,2024-05-03 00:00:00,2024-05-04 00:00:00,2024-05-05 00:00:00,2024-05-06 00:00:00,2024-05-07 00:00:00,2024-05-08 00:00:00,2024-05-09 00:00:00,2024-05-10 00:00:00,2024-05-11 00:00:00,2024-05-12 00:00:00,2024-05-13 00:00:00,2024-05-14 00:00:00,2024-05-15 00:00:00,2024-05-16 00:00:00,2024-05-17 00:00:00,2024-05-18 00:00:00,2024-05-19 00:00:00,2024-05-20 00:00:00,2024-05-21 00:00:00,2024-05-22 00:00:00,2024-05-23 00:00:00,2024-05-24 00:00:00,2024-05-25 00:00:00,2024-05-26 00:00:00,2024-05-27 00:00:00,2024-05-28 00:00:00,2024-05-29 00:00:00,2024-05-30 00:00:00,2024-05-31 00:00:00,Total general
,(001) CONSORCIO EXPRESS,(1064) T13,(1064) T13,5291,20165,18707,12980,5439,19396,18560,18611,18526,19227,12302,4685,4813,19464,18531,19001,18530,12558,5644,19577,20547,18742,19512,18960,12571,5393,19396,19137,19498,19115,18159,483037
,(001) CONSORCIO EXPRESS,(1077) N16,(1077) N16,332,878,807,451,213,863,881,759,794,862,575,162,175,821,697,687,714,551,183,736,589,916,832,756,443,175,877,839,925,814,677,19984
,(001) CONSORCIO EXPRESS,(1109) BK904,(1109) BK904,788,2763,2885,1790,876,2534,2922,2295,2756,2661,1768,841,954,2714,3018,2841,2532,1876,943,2799,3108,2663,2491,3005,1836,863,2488,2179,2442,2822,2691,69144
,(001) CONSORCIO EXPRESS,(1141) BK903,(1141) BK903,1936,4449,5063,3293,1789,4901,4748,4500,4401,4873,3105,1655,2009,4945,4806,4849,4100,3021,1807,4758,4842,4748,4501,4798,2934,1801,4444,4722,4547,4630,4410,121385
,(001) CONSORCIO EXPRESS,(1147) LK801,(1147) LK801,982,1056,1084,1407,911,1207,1002,1103,1057,1152,1534,806,848,1119,998,874,1048,1476,880,1101,1287,953,845,953,1317,912,1012,1064,1063,952,1032,33035
,(001) CONSORCIO EXPRESS,(1148) LK803,(1148) LK803,1702,2085,2144,2593,1514,2231,2152,1919,2001,2479,2634,1300,1376,2155,1790,2373,2105,2486,1512,1990,2084,1655,1969,2360,2369,1412,1981,2155,2040,1879,2223,62668
,(001) CONSORCIO EXPRESS,(1149) LD800,(1149) LD800,2756,5966,5272,4924,3126,5855,5720,5451,5833,5943,4791,2907,2491,5479,5690,5006,4740,4738,3186,5634,5604,5213,5548,5006,4819,3058,4795,5662,5298,5257,5071,150839
,(001) CONSORCIO EXPRESS,(1154) T25,(1154) T25,6109,17772,16520,11231,6416,16847,17976,17414,16379,16495,10231,5783,5373,17341,16534,16605,16310,10610,6528,15793,16686,16959,16592,15601,9930,6142,16561,16553,16510,16805,16240,428846
,(001) CONSORCIO EXPRESS,(1187) BK905,(1187) BK905,2700,4680,5381,3310,2364,4753,4718,4800,5221,5036,2817,2392,2353,4239,4906,5179,4648,3124,2213,5382,4423,5437,5143,5338,2576,2414,5000,5107,5435,4714,4904,130707
,(001) CONSORCIO EXPRESS,(1189) 786,(1189) 786,2997,6254,6365,4342,3233,6517,6747,6644,6558,6493,4342,2941,2659,6120,6203,6328,6419,4205,3237,6302,6625,6079,6174,6344,4135,2971,6369,6407,6073,6199,6218,168500
