Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
,Reporte de Validaciones Zonales por Día,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Periodo Validaciones:,01 al 30 Jun 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fuente:,FCS Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operador,Linea_FCS,Ruta_Consolidada,2024-06-01 00:00:00,2024-06-02 00:00:00,2024-06-03 00:00:00,2024-06-04 00:00:00,2024-06-05 00:00:00,2024-06-06 00:00:00,2024-06-07 00:00:00,2024-06-08 00:00:00,2024-06-09 00:00:00,2024-06-10 00:00:00,2024-06-11 00:00:00,2024-06-12 00:00:00,2024-06-13 00:00:00,2024-06-14 00:00:00,2024-06-15 00:00:00,2024-06-16 00:00:00,2024-06-17 00:00:00,2024-06-18 00:00:00,2024-06-19 00:00:00,2024-06-20 00:00:00,2024-06-21 00:00:00,2024-06-22 00:00:00,2024-06-23 00:00:00,2024-06-24 00:00:00,2024-06-25 00:00:00,2024-06-26 00:00:00,2024-06-27 00:00:00,2024-06-28 00:00:00,2024-06-29 00:00:00,2024-06-30 00:00:00,2024-07-01 00:00:00,Total general
,(001) CONSORCIO EXPRESS,(1064) T13,(1064) T13,12399,5249,5128,18755,18631,18750,18247,12125,5125,5120,18513,17642,18961,18305,12028,5232,18296,18561,18936,19201,18375,12194,5564,18553,18118,18818,17955,18247,12036,5807,,430871
,(001) CONSORCIO EXPRESS,(1077) N16,(1077) N16,499,162,193,821,849,856,879,564,187,197,728,737,875,760,524,185,809,960,857,880,871,481,194,838,886,803,804,717,438,141,,18695
,(001) CONSORCIO EXPRESS,(1109) BK904,(1109) BK904,1503,894,769,2749,2854,2703,2818,1636,827,909,2470,2549,2540,2887,1698,858,2489,2478,2606,2617,2526,1680,840,2457,2691,2564,2497,2615,1264,990,,60978
,(001) CONSORCIO EXPRESS,(1141) BK903,(1141) BK903,3140,1622,2033,4892,4736,4812,4707,2925,1750,1943,4325,4456,4136,4663,3115,2116,4207,4077,4482,4338,4232,3175,1912,4194,4386,4465,4350,4134,2996,1766,,108085
,(001) CONSORCIO EXPRESS,(1147) LK801,(1147) LK801,1387,843,841,1002,1009,1015,990,1154,773,906,922,1005,887,761,1366,873,869,976,1048,990,929,1326,748,832,939,817,1037,970,1226,817,,29258
,(001) CONSORCIO EXPRESS,(1148) LK803,(1148) LK803,1928,1498,1292,2055,2051,1846,2239,2279,1466,1348,2136,1994,1731,1847,1994,1508,2251,2081,2445,1952,2292,2030,1411,1962,2458,2236,2067,2408,2366,1394,,58565
,(001) CONSORCIO EXPRESS,(1149) LD800,(1149) LD800,4966,3164,2597,5545,5307,5523,5246,4786,2516,2514,4948,5491,4635,4336,4698,2983,5618,6067,5320,5474,5272,4349,2715,5650,5754,5877,5802,5594,3900,2452,,139099
,(001) CONSORCIO EXPRESS,(1154) T25,(1154) T25,10730,6886,5885,16002,17315,16459,16346,10214,6225,5730,16018,16282,14825,15434,9828,6104,14360,16019,14779,15232,14092,10074,6157,14672,14885,14937,14768,13771,9574,5900,,369503
,(001) CONSORCIO EXPRESS,(1187) BK905,(1187) BK905,3158,2203,2306,5422,5149,4799,5205,3155,2225,2445,5302,5741,4833,5057,2993,2120,4665,4991,4978,4832,4654,3209,2449,4467,4688,4963,4152,4716,3054,2645,,120576
,(001) CONSORCIO EXPRESS,(1189) 786,(1189) 786,4476,3271,2549,5891,6399,6395,5832,4135,2980,2541,6027,6116,5773,6175,4323,3189,6490,6088,5977,6269,6510,4273,3196,6039,6183,6144,6237,6337,4383,3258,,153456
