Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
,Reporte de Validaciones Zonales por Día,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Periodo Validaciones:,01 al 31 Jul 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fuente:,FCS Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operador,Linea_FCS,Ruta_Consolidada,2024-07-01 00:00:00,2024-07-02 00:00:00,2024-07-03 00:00:00,2024-07-04 00:00:00,2024-07-05 00:00:00,2024-07-06 00:00:00,2024-07-07 00:00:00,2024-07-08 00:00:00,2024-07-09 00:00:00,2024-07-10 00:00:00,2024-07-11 00:00:00,2024-07-12 00:00:00,2024-07-13 00:00:00,2024-07-14 00:00:00,2024-07-15 00:00:00,2024-07-16 00:00:00,2024-07-17 00:00:00,2024-07-18 00:00:00,2024-07-19 00:00:00,2024-07-20 00:00:00,2024-07-21 00:00:00,2024-07-22 00:00:00,2024-07-23 00:00:00,2024-07-24 00:00:00,2024-07-25 00:00:00,2024-07-26 00:00:00,2024-07-27 00:00:00,2024-07-28 00:00:00,2024-07-29 00:00:00,2024-07-30 00:00:00,2024-07-31 00:00:00,Total general
,(001) CONSORCIO EXPRESS,(1064) T13,(1064) T13,5581,19475,19617,19275,18757,12694,5691,19494,20592,19936,18781,19676,12450,5321,17188,19086,19811,19390,19132,6308,5195,20313,17997,19876,19510,19886,13038,5212,19246,19424,18809,496761
,(001) CONSORCIO EXPRESS,(1077) N16,(1077) N16,167,791,816,832,793,525,199,905,872,932,845,880,516,176,492,767,835,948,705,304,193,917,889,895,623,845,530,156,980,655,865,20848
,(001) CONSORCIO EXPRESS,(1109) BK904,(1109) BK904,987,2487,2492,2816,2501,1766,919,2749,2786,2751,2849,2802,1858,814,2581,3273,3000,2891,2967,1067,913,2650,2946,3113,3023,3034,1885,907,2533,2867,3130,73357
,(001) CONSORCIO EXPRESS,(1141) BK903,(1141) BK903,1911,4547,4567,4703,4179,3130,1875,4645,4749,5058,4828,4471,3255,1760,4128,5121,5080,5159,4768,1821,1837,5047,5191,5313,5073,5218,3508,2087,4560,4586,5221,127396
,(001) CONSORCIO EXPRESS,(1147) LK801,(1147) LK801,788,1038,1087,835,818,1205,911,1016,1111,1035,1105,935,1208,708,944,977,1131,1057,1177,772,702,879,1013,930,904,1157,1313,786,1642,1036,988,31208
,(001) CONSORCIO EXPRESS,(1148) LK803,(1148) LK803,1219,2115,1926,2224,1899,1988,1507,2036,2302,1957,2254,2345,2133,1323,1789,1808,2135,1850,1993,1549,1468,1774,2030,1971,1932,2228,2312,1497,1947,1999,1998,59508
,(001) CONSORCIO EXPRESS,(1149) LD800,(1149) LD800,2360,5487,5124,5376,5429,4553,2980,5832,6186,4938,6065,5838,4739,2534,4955,5342,5465,5510,5318,3158,3052,5459,5711,6244,6201,6129,5056,3418,5409,5850,5571,155289
,(001) CONSORCIO EXPRESS,(1154) T25,(1154) T25,5879,15603,15235,15417,14694,10201,7133,15429,15597,15538,14659,15935,9973,6024,11857,16103,15745,16486,15514,7340,6369,16374,16032,16929,17339,17498,10425,5803,16482,17943,17478,419034
,(001) CONSORCIO EXPRESS,(1187) BK905,(1187) BK905,2430,4820,4597,4878,4582,3156,2510,4773,5151,5594,4917,4604,3338,2341,3819,5194,5049,4335,5019,2762,2395,4865,4632,4893,5216,5405,3411,2374,5061,4634,4734,131489
,(001) CONSORCIO EXPRESS,(1189) 786,(1189) 786,2525,6512,6640,6242,5748,4555,3137,6538,6697,6430,6033,6861,4524,3041,5167,6157,6753,6123,6350,3580,3038,6164,6497,6168,6168,6278,4149,3009,6096,6421,5968,169569
