Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
,Reporte de Validaciones Zonales por Día,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Periodo Validaciones:,01 al 31 Ago 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fuente:,FCS Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operador,Linea_FCS,Ruta_Consolidada,2024-08-01 00:00:00,2024-08-02 00:00:00,2024-08-03 00:00:00,2024-08-04 00:00:00,2024-08-05 00:00:00,2024-08-06 00:00:00,2024-08-07 00:00:00,2024-08-08 00:00:00,2024-08-09 00:00:00,2024-08-10 00:00:00,2024-08-11 00:00:00,2024-08-12 00:00:00,2024-08-13 00:00:00,2024-08-14 00:00:00,2024-08-15 00:00:00,2024-08-16 00:00:00,2024-08-17 00:00:00,2024-08-18 00:00:00,2024-08-19 00:00:00,2024-08-20 00:00:00,2024-08-21 00:00:00,2024-08-22 00:00:00,2024-08-23 00:00:00,2024-08-24 00:00:00,2024-08-25 00:00:00,2024-08-26 00:00:00,2024-08-27 00:00:00,2024-08-28 00:00:00,2024-08-29 00:00:00,2024-08-30 00:00:00,2024-08-31 00:00:00,Total general
,(001) CONSORCIO EXPRESS,(1064) T13,(1064) T13,20161,20122,12930,5817,20486,20453,6266,20481,20859,13113,5628,20510,21885,21089,20715,20934,13431,5838,5363,20437,20620,20195,18871,12377,5185,20495,20514,19610,21062,20972,12695,509114
,(001) CONSORCIO EXPRESS,(1077) N16,(1077) N16,883,838,470,195,968,905,310,931,926,524,200,938,1061,758,920,811,459,258,234,877,810,810,910,1024,227,899,887,879,770,806,497,21985
,(001) CONSORCIO EXPRESS,(1109) BK904,(1109) BK904,2960,2859,1916,984,2752,3029,981,3199,3054,1830,1079,2795,3048,3124,3053,2855,1894,1180,1035,3157,3036,3019,2388,1679,956,2949,2960,2911,3220,2907,1917,74726
,(001) CONSORCIO EXPRESS,(1141) BK903,(1141) BK903,4702,5300,3103,2108,5160,5118,2130,5106,5467,3596,1883,4758,5218,4648,4968,5208,3247,1532,1917,5048,4783,4877,4965,3189,1960,4426,4647,4509,5057,4978,3563,127171
,(001) CONSORCIO EXPRESS,(1147) LK801,(1147) LK801,1021,1047,1513,851,925,956,1042,1104,1092,1581,1130,0,0,0,12,0,0,0,0,9,0,0,549,0,0,0,22,0,0,0,0,12854
,(001) CONSORCIO EXPRESS,(1148) LK803,(1148) LK803,2087,1964,2199,1531,2395,2068,1523,2265,2188,2138,253,2123,2277,2105,2159,2430,2474,1639,1490,2564,2390,2360,2102,2274,1418,2123,2366,2107,1935,2151,2377,63475
,(001) CONSORCIO EXPRESS,(1149) LD800,(1149) LD800,6383,6689,5254,3459,6139,6367,3367,6386,6602,5294,3661,6924,7090,6961,6503,6739,5349,3751,2646,6655,7273,6751,5992,4689,3258,6718,6988,6782,6127,7002,5272,179071
,(001) CONSORCIO EXPRESS,(1154) T25,(1154) T25,17474,16906,10556,7207,18279,17968,6720,16510,18079,10803,6623,17456,15813,17826,17401,16191,10347,6611,5379,17302,17036,17069,15582,9103,5699,16283,14839,14539,16171,15310,10842,423924
,(001) CONSORCIO EXPRESS,(1187) BK905,(1187) BK905,5195,4966,3324,2592,4884,5080,2911,5599,5547,3556,2611,4748,5201,5041,4950,4869,2994,2088,2267,5114,4957,4765,4878,3255,2204,5064,4676,5498,5174,5242,3519,132769
,(001) CONSORCIO EXPRESS,(1189) 786,(1189) 786,6019,6387,4513,3185,5791,6010,2996,6219,5709,4273,2974,6069,5986,5872,5993,6226,4022,3089,2346,5980,6107,5701,5617,4035,3070,6432,6002,5769,6307,5898,4322,158919
