Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
,Reporte de Validaciones Zonales por Día,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Periodo Validaciones:,01 al 30 de Sep 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fuente:,FCS Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operador,Linea_FCS,Ruta_Consolidada,2024-09-01 00:00:00,2024-09-02 00:00:00,2024-09-03 00:00:00,2024-09-04 00:00:00,2024-09-05 00:00:00,2024-09-06 00:00:00,2024-09-07 00:00:00,2024-09-08 00:00:00,2024-09-09 00:00:00,2024-09-10 00:00:00,2024-09-11 00:00:00,2024-09-12 00:00:00,2024-09-13 00:00:00,2024-09-14 00:00:00,2024-09-15 00:00:00,2024-09-16 00:00:00,2024-09-17 00:00:00,2024-09-18 00:00:00,2024-09-19 00:00:00,2024-09-20 00:00:00,2024-09-21 00:00:00,2024-09-22 00:00:00,2024-09-23 00:00:00,2024-09-24 00:00:00,2024-09-25 00:00:00,2024-09-26 00:00:00,2024-09-27 00:00:00,2024-09-28 00:00:00,2024-09-29 00:00:00,2024-09-30 00:00:00,2024-10-01 00:00:00,Total general
,(017) E-SOMOS FONTIBON,(10020) KA302,(10020) KA302,4273,9967,9263,6241,6109,9318,6974,4249,10044,10175,10378,9508,10779,7034,4292,9330,9865,9879,9959,10327,7369,4197,9446,9814,9938,9943,10301,7125,3881,10040,,250018
,(017) E-SOMOS FONTIBON,(10028) KL304,(10028) KL304,2611,9218,8912,5804,6506,7780,5318,2379,9198,8942,8933,8917,8702,5694,2362,7616,8708,9600,9372,8892,5580,2207,8734,8646,8990,8179,8419,5251,2105,8476,,212051
,(017) E-SOMOS FONTIBON,(10029) KB303,(10029) KB303,3905,12156,11087,6261,6246,10025,7226,3569,12813,12470,12396,11546,12079,7598,4019,11229,12742,12177,12426,11999,7109,4111,11920,12150,12153,12772,11699,7232,3593,12508,,289216
,(017) E-SOMOS FONTIBON,(10030) KA305,(10030) KA305,3865,7395,6626,3801,4503,6272,5151,3464,7258,7662,7912,7151,7369,5331,3616,6307,7144,7344,7125,7387,5054,3624,6374,7368,7238,7416,7065,4883,3131,6940,,181776
,(017) E-SOMOS FONTIBON,(10032) KA334,(10032) KA334,1867,5682,5475,4222,4610,4781,3560,1881,6026,6043,5958,6312,5792,3602,1917,5700,6337,6088,5828,5845,3470,1943,5782,6118,5861,6363,5759,3644,1845,6109,,144420
,(017) E-SOMOS FONTIBON,(10599) Cordillera Unicentro,(10599) Cordillera Unicentro,0,0,0,0,0,0,0,0,0,0,0,0,0,1272,1068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2340
,(017) E-SOMOS FONTIBON,(10600) Cordillera Septimazo,(10600) Cordillera Septimazo,0,0,0,0,0,0,0,0,0,0,0,0,0,203,461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,664
,(017) E-SOMOS FONTIBON,(10601) Cordillera 1 de Mayo,(10601) Cordillera 1 de Mayo,0,0,0,0,0,0,0,0,0,0,0,0,0,655,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1107
,(132) MUEVE FONTIBON SAS,(10084) KC315,(10084) KC315,6350,9826,9647,7440,7435,8462,7462,6357,9641,9508,9178,9273,8801,7753,6250,8178,9374,9315,9168,9326,7257,6094,8343,9276,9373,9000,9374,7162,6321,9093,,250037
,(132) MUEVE FONTIBON SAS,(10085) KH322,(10085) KH322,3094,6430,6150,0,5,5691,4816,3035,6433,6194,6454,6466,6632,4692,3114,5439,6710,6658,6282,6504,4776,2757,6022,6791,6309,6533,6733,4887,2750,6435,,154792
