Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
,Reporte de Validaciones Zonales por Día,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Periodo Validaciones:,01 al 31 de Octubre 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fuente:,FCS Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operador,Linea_FCS,Ruta_Consolidada,2024-10-01 00:00:00,2024-10-02 00:00:00,2024-10-03 00:00:00,2024-10-04 00:00:00,2024-10-05 00:00:00,2024-10-06 00:00:00,2024-10-07 00:00:00,2024-10-08 00:00:00,2024-10-09 00:00:00,2024-10-10 00:00:00,2024-10-11 00:00:00,2024-10-12 00:00:00,2024-10-13 00:00:00,2024-10-14 00:00:00,2024-10-15 00:00:00,2024-10-16 00:00:00,2024-10-17 00:00:00,2024-10-18 00:00:00,2024-10-19 00:00:00,2024-10-20 00:00:00,2024-10-21 00:00:00,2024-10-22 00:00:00,2024-10-23 00:00:00,2024-10-24 00:00:00,2024-10-25 00:00:00,2024-10-26 00:00:00,2024-10-27 00:00:00,2024-10-28 00:00:00,2024-10-29 00:00:00,2024-10-30 00:00:00,2024-10-31 00:00:00,Total general
,(017) E-SOMOS FONTIBON,(10020) KA302,(10020) KA302,10171,9848,9765,9844,6927,4372,8727,8598,8824,8423,8827,6290,3973,3619,9871,10167,9656,10580,7150,4310,10168,10799,10516,10505,10796,7457,3926,9993,10818,10252,10105,265277
,(017) E-SOMOS FONTIBON,(10028) KL304,(10028) KL304,8801,8973,9566,8369,5729,2467,7756,8097,8278,8396,8307,5047,2297,1987,8698,9547,7799,8973,5608,2356,8960,8941,8899,9333,9149,5889,2247,8737,9874,9262,8557,226899
,(017) E-SOMOS FONTIBON,(10029) KB303,(10029) KB303,13007,12295,12339,11724,7322,3888,10751,10954,11572,10910,10652,6288,3184,3533,12929,12815,12107,12985,7150,3756,12649,11985,12659,11452,12309,7148,3906,11874,12708,13152,11815,311818
,(017) E-SOMOS FONTIBON,(10030) KA305,(10030) KA305,7549,7729,7355,7227,5194,4431,5905,6472,6844,6227,6289,4407,3362,2973,7675,7552,7595,7566,5004,3562,6346,7668,7545,7151,6976,5102,3523,7081,7641,7911,7275,195137
,(017) E-SOMOS FONTIBON,(10032) KA334,(10032) KA334,6157,6136,5384,5640,3551,1739,5147,4685,4879,4796,4749,2813,1519,1502,5632,5505,5963,5777,3540,1758,5683,5953,5947,6006,5515,3451,1759,5788,5689,6395,5731,144789
,(132) MUEVE FONTIBON SAS,(10036) KL312,(10036) KL312,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
,(132) MUEVE FONTIBON SAS,(10084) KC315,(10084) KC315,9365,9545,9584,9324,7741,6422,8584,8643,8284,8459,8229,7266,5770,6254,9244,9489,9648,9827,7478,6406,9402,9574,9593,9509,9534,7447,6633,9124,9559,9459,9086,264482
,(132) MUEVE FONTIBON SAS,(10085) KH322,(10085) KH322,6672,6792,6880,6265,4991,3223,5814,5792,5968,5802,5512,4626,2858,2642,6334,7311,6577,6641,5032,3055,6476,6708,6714,6832,6605,5005,3102,6318,6703,7002,6779,177031
,(132) MUEVE FONTIBON SAS,(10086) KC321,(10086) KC321,9246,9127,9539,7894,6579,4394,8873,8851,8873,8520,8719,6129,4133,4257,9028,9472,9659,9178,6408,4632,9404,9610,9441,9951,9168,6820,4395,9413,9579,10164,9182,250638
,(132) MUEVE FONTIBON SAS,(10087) KC323,(10087) KC323,10196,10901,10497,11240,8586,5914,9254,9460,9527,9024,9158,7173,5435,5240,10459,10460,10359,10546,8125,5371,10580,11069,11040,10347,10924,8008,5279,10290,10601,10373,10352,285788
