Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
,Reporte de Validaciones Zonales por Día,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Periodo Validaciones:,01 al 30 de Noviembre 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fuente:,FCS Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operador,Linea_FCS,Ruta_Consolidada,2024-11-01 00:00:00,2024-11-02 00:00:00,2024-11-03 00:00:00,2024-11-04 00:00:00,2024-11-05 00:00:00,2024-11-06 00:00:00,2024-11-07 00:00:00,2024-11-08 00:00:00,2024-11-09 00:00:00,2024-11-10 00:00:00,2024-11-11 00:00:00,2024-11-12 00:00:00,2024-11-13 00:00:00,2024-11-14 00:00:00,2024-11-15 00:00:00,2024-11-16 00:00:00,2024-11-17 00:00:00,2024-11-18 00:00:00,2024-11-19 00:00:00,2024-11-20 00:00:00,2024-11-21 00:00:00,2024-11-22 00:00:00,2024-11-23 00:00:00,2024-11-24 00:00:00,2024-11-25 00:00:00,2024-11-26 00:00:00,2024-11-27 00:00:00,2024-11-28 00:00:00,2024-11-29 00:00:00,2024-11-30 00:00:00,2024-12-01 00:00:00,Total general
,(017) E-SOMOS FONTIBON,(10020) KA302,(10020) KA302,10584,7080,4246,3638,10214,10202,10362,11562,7206,3558,3918,9746,10108,9602,10157,7382,4075,10449,9811,10717,10147,9899,7334,4385,10030,10459,9924,10348,10380,7440,,254963
,(017) E-SOMOS FONTIBON,(10028) KL304,(10028) KL304,8574,5436,2487,2057,8677,9136,9262,14382,5202,2151,2071,9533,9279,9274,9336,5394,2639,8924,8337,9256,9073,8073,5983,2502,8445,8662,8900,8460,8791,5824,,216120
,(017) E-SOMOS FONTIBON,(10029) KB303,(10029) KB303,12135,6760,3725,3156,12689,11663,12680,14243,7156,3303,3503,12045,12636,11399,12559,7235,3432,12080,13042,12035,11890,10047,7042,3571,11644,12773,12773,12610,12378,7472,,289676
,(017) E-SOMOS FONTIBON,(10030) KA305,(10030) KA305,7289,5108,3398,2558,7077,7745,8004,9177,5097,3305,3475,7286,6857,7252,6833,4915,3458,7051,6983,7200,7313,6900,5329,3746,6573,6731,7330,6884,6980,5399,,183253
,(017) E-SOMOS FONTIBON,(10032) KA334,(10032) KA334,5994,3551,1805,1647,6509,6265,6413,8986,3448,1565,1725,6112,5795,6219,6139,3645,1886,5940,6262,6222,5815,5381,3812,1979,5339,5222,5230,5306,5360,3728,,143300
,(017) E-SOMOS FONTIBON,(10638) Megaland Unicentro,(10638) Megaland Unicentro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,,142
,(017) E-SOMOS FONTIBON,(10639) Megaland Septimazo,(10639) Megaland Septimazo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,,51
,(017) E-SOMOS FONTIBON,(10640) Megaland 1 de Mayo,(10640) Megaland 1 de Mayo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,,130
,(132) MUEVE FONTIBON SAS,(10084) KC315,(10084) KC315,9192,7627,6785,6054,10127,9693,10116,9383,6879,5708,5611,10255,9781,9548,9656,7834,6629,9013,8940,9622,9229,9693,7674,6414,9406,9539,9895,10005,10091,7762,,258161
,(132) MUEVE FONTIBON SAS,(10085) KH322,(10085) KH322,6794,5074,3095,2782,6613,6909,7108,6060,4746,2804,2559,6465,6928,6893,6248,5206,3145,6717,6628,6894,6667,5752,5223,3366,6477,6315,6367,6020,6689,5135,,167679
