Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
,Reporte de Validaciones Zonales por Día,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Periodo Validaciones:,01 al 31 de Diciembre 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fuente:,FCS Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operador,Linea_FCS,Ruta_Consolidada,2024-12-01 00:00:00,2024-12-02 00:00:00,2024-12-03 00:00:00,2024-12-04 00:00:00,2024-12-05 00:00:00,2024-12-06 00:00:00,2024-12-07 00:00:00,2024-12-08 00:00:00,2024-12-09 00:00:00,2024-12-10 00:00:00,2024-12-11 00:00:00,2024-12-12 00:00:00,2024-12-13 00:00:00,2024-12-14 00:00:00,2024-12-15 00:00:00,2024-12-16 00:00:00,2024-12-17 00:00:00,2024-12-18 00:00:00,2024-12-19 00:00:00,2024-12-20 00:00:00,2024-12-21 00:00:00,2024-12-22 00:00:00,2024-12-23 00:00:00,2024-12-24 00:00:00,2024-12-25 00:00:00,2024-12-26 00:00:00,2024-12-27 00:00:00,2024-12-28 00:00:00,2024-12-29 00:00:00,2024-12-30 00:00:00,2024-12-31 00:00:00,Total general
,(017) E-SOMOS FONTIBON,(10020) KA302,(10020) KA302,4666,9296,8849,9575,9330,8953,7427,4419,8659,9251,9393,9584,9202,7661,5154,8992,8977,8481,9415,8868,7299,4735,8586,6404,2108,7639,7369,6532,4095,6371,4643,231933
,(017) E-SOMOS FONTIBON,(10028) KL304,(10028) KL304,2709,8740,8541,8918,9154,8122,6136,2432,8800,8285,8615,8258,8689,5742,3201,8409,8662,7284,8335,8768,5680,3398,7061,5647,821,6602,6483,4930,2342,6007,3773,200544
,(017) E-SOMOS FONTIBON,(10029) KB303,(10029) KB303,3649,11322,11122,11660,11903,12138,7241,3531,10904,10994,10945,10885,11932,7474,4371,10650,11081,9753,10612,11028,6692,3929,10682,6464,1701,8585,8961,5833,3202,7333,4069,260646
,(017) E-SOMOS FONTIBON,(10030) KA305,(10030) KA305,3558,6490,6312,6515,7042,6635,4748,3137,6155,6989,6886,7463,6631,5098,3497,6352,5911,5387,6487,5903,4693,3716,6116,4222,1763,5168,5512,4229,3050,4580,2752,162997
,(017) E-SOMOS FONTIBON,(10032) KA334,(10032) KA334,2116,5196,5285,5360,5512,5196,3163,1641,4731,5307,4923,5270,4791,3743,2062,4925,4803,4694,4764,4767,3606,2251,4383,3171,882,3879,4326,2944,1696,3239,2247,120873
,(132) MUEVE FONTIBON SAS,(10084) KC315,(10084) KC315,6745,9452,9070,9719,9549,9459,8090,7045,9008,9667,9530,9730,10012,8327,7774,9214,9460,9634,9755,9527,8090,7224,9020,8609,4803,7513,7165,6583,6154,6830,6191,258949
,(132) MUEVE FONTIBON SAS,(10085) KH322,(10085) KH322,3129,6303,6354,6589,6355,6408,5239,2529,6020,6287,6465,6454,6266,4955,3405,6405,6292,6180,6174,6551,5069,3364,6085,5071,1591,4891,5478,4161,2626,4408,3559,160663
,(132) MUEVE FONTIBON SAS,(10086) KC321,(10086) KC321,4596,9203,8704,9564,9758,8849,6546,4112,8488,8616,8966,9279,8591,6829,4759,9365,8878,8937,8784,8729,6204,4487,8117,6944,2578,7182,7120,5157,3563,6466,5219,224590
,(132) MUEVE FONTIBON SAS,(10087) KC323,(10087) KC323,6072,9426,9523,9824,9283,9789,8031,4931,9453,9749,9866,9715,9828,7991,5996,9857,10003,9911,9510,10261,8364,6600,9996,8208,3729,8010,8447,6548,4862,7569,6362,257714
,(132) MUEVE FONTIBON SAS,(10088) KA319,(10088) KA319,2601,8247,8741,8688,8526,8385,4480,2280,8310,8015,8665,8774,8449,5230,2590,8143,8418,8458,7961,8053,4781,2574,6829,4435,953,5926,5789,3442,1966,4833,2979,187521
