Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
,Reporte Validaciones por Intervalo Estaciones Troncales y Rutas Duales - Tarjeta Tullave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Periodo Validaciones:,,01 al 31 de Marzo 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fuente:,,FCS Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fase,Línea,Estación,Acceso de Estación,Intervalo,2025-03-01 00:00:00,2025-03-02 00:00:00,2025-03-03 00:00:00,2025-03-04 00:00:00,2025-03-05 00:00:00,2025-03-06 00:00:00,2025-03-07 00:00:00,2025-03-08 00:00:00,2025-03-09 00:00:00,2025-03-10 00:00:00,2025-03-11 00:00:00,2025-03-12 00:00:00,2025-03-13 00:00:00,2025-03-14 00:00:00,2025-03-15 00:00:00,2025-03-16 00:00:00,2025-03-17 00:00:00,2025-03-18 00:00:00,2025-03-19 00:00:00,2025-03-20 00:00:00,2025-03-21 00:00:00,2025-03-22 00:00:00,2025-03-23 00:00:00,2025-03-24 00:00:00,2025-03-25 00:00:00,2025-03-26 00:00:00,2025-03-27 00:00:00,2025-03-28 00:00:00,2025-03-29 00:00:00,2025-03-30 00:00:00,2025-03-31 00:00:00,Total general
,Dual,(10006) M84-C84,(11474) MC84_V3,(0) (Unknown),09:00:00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,Dual,(10006) M84-C84,(11474) MC84_V3,(0) (Unknown),09:15:00,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
,Dual,(10006) M84-C84,(11474) MC84_V3,(0) (Unknown),09:30:00,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,Dual,(10006) M84-C84,(11474) MC84_V3,(0) (Unknown),10:15:00,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,Dual,(10006) M84-C84,(11474) MC84_V3,(0) (Unknown),18:15:00,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,Dual,(10006) M84-C84,(11474) MC84_V3,(61410) C001|21 Ángeles A - 3,12:15:00,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,Dual,(10006) M84-C84,(11474) MC84_V3,(61410) C001|21 Ángeles A - 3,14:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
,Dual,(10006) M84-C84,(11474) MC84_V3,(61410) C001|21 Ángeles A - 3,15:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
,Dual,(10006) M84-C84,(11474) MC84_V3,(61410) C001|21 Ángeles A - 3,15:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,Dual,(10006) M84-C84,(11474) MC84_V3,(61410) C001|21 Ángeles A - 3,15:30:00,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
,Dual,(10006) M84-C84,(11474) MC84_V3,(61410) C001|21 Ángeles A - 3,15:45:00,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3
,Dual,(10006) M84-C84,(11474) MC84_V3,(61410) C001|21 Ángeles A - 3,16:00:00,0,0,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,2,0,0,0,11
,Dual,(10006) M84-C84,(11474) MC84_V3,(61410) C001|21 Ángeles A - 3,16:15:00,0,0,2,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,9
,Dual,(10006) M84-C84,(11474) MC84_V3,(61410) C001|21 Ángeles A - 3,16:30:00,0,0,1,1,0,0,0,0,0,2,2,2,0,1,0,0,4,2,2,3,1,0,0,0,6,1,2,2,0,0,0,32
,Dual,(10006) M84-C84,(11474) MC84_V3,(61410) C001|21 Ángeles A - 3,16:45:00,0,0,0,2,3,0,2,0,0,5,0,1,5,1,0,0,1,2,0,1,4,0,0,0,5,0,0,0,0,0,3,35
,Dual,(10006) M84-C84,(11474) MC84_V3,(61410) C001|21 Ángeles A - 3,17:00:00,0,0,0,0,5,4,0,0,0,1,4,0,4,3,0,0,1,2,0,1,0,0,0,0,0,4,0,4,0,0,4,37
,Dual,(10006) M84-C84,(11474) MC84_V3,(61410) C001|21 Ángeles A - 3,17:15:00,0,0,0,2,0,2,1,0,0,1,6,6,3,0,2,0,2,2,0,2,1,0,0,0,10,5,0,4,0,0,6,55
,Dual,(10006) M84-C84,(11474) MC84_V3,(61410) C001|21 Ángeles A - 3,17:30:00,0,0,2,0,4,3,6,0,0,6,6,0,2,6,0,0,2,0,0,2,1,0,0,0,2,3,2,0,0,0,2,49
,Dual,(10006) M84-C84,(11474) MC84_V3,(61410) C001|21 Ángeles A - 3,17:45:00,0,0,5,1,2,5,1,0,0,7,4,12,4,1,0,0,7,1,4,7,7,0,0,0,8,1,0,1,0,0,4,82
,Dual,(10006) M84-C84,(11474) MC84_V3,(61410) C001|21 Ángeles A - 3,18:00:00,0,0,8,6,2,5,9,0,0,2,6,0,0,2,0,0,2,3,9,0,5,0,0,0,5,1,5,1,0,0,0,71
,Dual,(10006) M84-C84,(11474) MC84_V3,(61410) C001|21 Ángeles A - 3,18:15:00,0,0,0,6,14,2,0,0,0,7,2,2,10,2,0,0,2,1,4,2,4,0,0,0,4,2,0,3,0,0,1,68
,Dual,(10006) M84-C84,(11474) MC84_V3,(61410) C001|21 Ángeles A - 3,18:30:00,0,0,3,1,2,10,1,0,0,3,9,8,7,1,0,0,2,2,0,6,0,0,0,0,10,7,0,0,0,0,6,78
,Dual,(10006) M84-C84,(11474) MC84_V3,(61410) C001|21 Ángeles A - 3,18:45:00,0,0,1,4,1,0,1,0,0,0,7,2,0,0,0,0,4,0,2,4,1,0,0,0,0,0,6,0,0,0,1,34
,Dual,(10006) M84-C84,(11474) MC84_V3,(61410) C001|21 Ángeles A - 3,19:00:00,0,0,0,0,2,0,1,0,0,0,1,1,0,0,0,0,1,0,8,2,1,0,0,0,2,5,0,0,0,0,1,25
,Dual,(10006) M84-C84,(11474) MC84_V3,(61410) C001|21 Ángeles A - 3,19:15:00,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,6,0,0,0,0,0,2,0,0,2,0,0,1,16
,Dual,(10006) M84-C84,(11474) MC84_V3,(61410) C001|21 Ángeles A - 3,19:30:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,7
,Dual,(10006) M84-C84,(11474) MC84_V3,(61410) C001|21 Ángeles A - 3,19:45:00,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5
,Dual,(10006) M84-C84,(11474) MC84_V3,(61410) C001|21 Ángeles A - 3,20:00:00,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6
,Dual,(10006) M84-C84,(11474) MC84_V3,(61410) C001|21 Ángeles A - 3,20:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
,Dual,(10006) M84-C84,(11474) MC84_V3,(61410) C001|21 Ángeles A - 3,20:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2
,Dual,(10006) M84-C84,(11474) MC84_V3,(61410) C001|21 Ángeles A - 3,21:15:00,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,Dual,(10006) M84-C84,(11474) MC84_V3,(61413) C004|21 Ángeles A - 2,05:00:00,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,1,1,1,0,0,12,25
,Dual,(10006) M84-C84,(11474) MC84_V3,(61413) C004|21 Ángeles A - 2,05:15:00,0,0,0,1,0,0,0,0,0,1,0,1,0,13,0,0,16,0,0,1,10,0,0,0,0,1,1,0,0,0,0,45
,Dual,(10006) M84-C84,(11474) MC84_V3,(61413) C004|21 Ángeles A - 2,05:30:00,0,0,15,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,2,4,0,0,0,0,0,0,2,0,0,8,37
,Dual,(10006) M84-C84,(11474) MC84_V3,(61413) C004|21 Ángeles A - 2,05:45:00,0,0,6,5,1,6,1,0,0,1,3,1,1,6,0,0,1,2,0,0,0,0,0,0,2,0,2,0,0,0,3,41
