Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
,Reporte de Validaciones Zonales por Día,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Periodo Validaciones:,01 al 31 de Enero 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fuente:,FCS Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operador,Linea_FCS,Ruta_Consolidada,2025-01-01 00:00:00,2025-01-02 00:00:00,2025-01-03 00:00:00,2025-01-04 00:00:00,2025-01-05 00:00:00,2025-01-06 00:00:00,2025-01-07 00:00:00,2025-01-08 00:00:00,2025-01-09 00:00:00,2025-01-10 00:00:00,2025-01-11 00:00:00,2025-01-12 00:00:00,2025-01-13 00:00:00,2025-01-14 00:00:00,2025-01-15 00:00:00,2025-01-16 00:00:00,2025-01-17 00:00:00,2025-01-18 00:00:00,2025-01-19 00:00:00,2025-01-20 00:00:00,2025-01-21 00:00:00,2025-01-22 00:00:00,2025-01-23 00:00:00,2025-01-24 00:00:00,2025-01-25 00:00:00,2025-01-26 00:00:00,2025-01-27 00:00:00,2025-01-28 00:00:00,2025-01-29 00:00:00,2025-01-30 00:00:00,2025-01-31 00:00:00,Total general
,(017) E-SOMOS FONTIBON,(10020) KA302,(10020) KA302,1446,4665,4785,4351,3131,2917,6981,6940,7052,7173,6270,3830,7604,8197,7972,8235,8168,6637,4083,8057,8873,8611,8257,8674,6510,4305,8881,9220,9019,8949,9060,208853
,(017) E-SOMOS FONTIBON,(10028) KL304,(10028) KL304,583,3872,4831,3331,1488,1439,6532,6771,6541,6934,4686,2109,7569,7755,7922,7708,7908,5462,2228,7590,7888,8104,7874,8013,5452,2273,8192,8109,8223,8513,8269,184169
,(017) E-SOMOS FONTIBON,(10029) KB303,(10029) KB303,1305,5556,6188,4467,2723,2744,9401,8820,9245,9156,6148,3584,10230,10870,10718,10232,10803,6851,3967,10794,10726,11418,10549,11057,6780,3935,10735,11405,10749,10573,11492,253221
,(017) E-SOMOS FONTIBON,(10030) KA305,(10030) KA305,1180,3782,3779,2972,2506,2225,5398,5372,5482,5421,4236,3318,5942,5839,6120,6420,6309,4735,3010,6356,6597,6707,6670,6334,4679,3725,6428,6666,6797,6897,6729,158631
,(017) E-SOMOS FONTIBON,(10032) KA334,(10032) KA334,605,2335,2737,2174,1295,1454,4030,4166,4223,4034,2924,1674,4509,4686,4603,4958,4831,3247,1755,4807,4893,4705,4780,4933,3357,1703,4990,5431,5326,5189,5101,115455
,(132) MUEVE FONTIBON SAS,(10084) KC315,(10084) KC315,3666,5828,6512,5726,5244,5488,7306,7581,7516,7566,6443,6270,8507,8820,8572,8664,8315,7152,6624,8900,8555,8767,8836,8633,7395,6348,9391,9042,8909,9033,9947,235556
,(132) MUEVE FONTIBON SAS,(10085) KH322,(10085) KH322,1329,3460,3998,3067,2062,1984,4914,4883,5076,4895,4009,2507,5758,5952,5805,6270,6167,4763,2577,5761,6224,6125,6132,6012,4769,2787,6345,6348,6491,6251,6407,149128
,(132) MUEVE FONTIBON SAS,(10086) KC321,(10086) KC321,2006,5607,5703,4375,2930,2915,6989,6724,7039,6743,5403,3523,8070,8200,8449,8109,8410,5412,3944,8522,8756,8580,8079,8136,6035,3898,8701,8463,8612,8633,8421,205387
,(132) MUEVE FONTIBON SAS,(10087) KC323,(10087) KC323,3096,6058,6578,5606,4041,4017,7778,7751,8214,8304,7001,4937,8822,9270,9075,8803,9473,7812,4947,8826,9390,9122,9514,9588,7822,5207,9249,9455,9354,9578,9429,238117
,(132) MUEVE FONTIBON SAS,(10088) KA319,(10088) KA319,769,3841,4326,2991,1470,1573,5996,5773,5951,5957,3933,1902,6894,7743,7797,8038,7609,4559,2122,8038,7988,8192,8237,8074,4657,2214,8553,8583,8629,8422,8300,179131
