Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
,Reporte de Validaciones Zonales por Día,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Periodo Validaciones:,01 al 28 de Febrero 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fuente:,FCS Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operador,Linea_FCS,Ruta_Consolidada,2025-02-01 00:00:00,2025-02-02 00:00:00,2025-02-03 00:00:00,2025-02-04 00:00:00,2025-02-05 00:00:00,2025-02-06 00:00:00,2025-02-07 00:00:00,2025-02-08 00:00:00,2025-02-09 00:00:00,2025-02-10 00:00:00,2025-02-11 00:00:00,2025-02-12 00:00:00,2025-02-13 00:00:00,2025-02-14 00:00:00,2025-02-15 00:00:00,2025-02-16 00:00:00,2025-02-17 00:00:00,2025-02-18 00:00:00,2025-02-19 00:00:00,2025-02-20 00:00:00,2025-02-21 00:00:00,2025-02-22 00:00:00,2025-02-23 00:00:00,2025-02-24 00:00:00,2025-02-25 00:00:00,2025-02-26 00:00:00,2025-02-27 00:00:00,2025-02-28 00:00:00,2025-03-01 00:00:00,2025-03-02 00:00:00,2025-03-03 00:00:00,Total general
,(017) E-SOMOS FONTIBON,(10020) KA302,(10020) KA302,6677,4470,9845,9932,10365,11702,10767,7007,4292,10137,9995,10588,10381,10761,6931,3857,9940,9769,10314,10157,10121,6457,3850,9577,9807,9788,9567,9863,,,,246917
,(017) E-SOMOS FONTIBON,(10028) KL304,(10028) KL304,4982,2390,8717,9066,9002,10798,8845,5413,2409,9400,9148,9078,8758,8886,5048,2324,8499,9147,9437,9206,9042,5143,2231,8854,8875,8676,8734,8508,,,,210616
,(017) E-SOMOS FONTIBON,(10029) KB303,(10029) KB303,6703,3666,12381,12744,12830,14144,12896,6841,3525,12615,12923,12247,12538,12522,7278,3477,11908,13510,13431,13289,11884,6820,3531,11415,12862,11820,12266,12157,,,,294223
,(017) E-SOMOS FONTIBON,(10030) KA305,(10030) KA305,5035,3033,6783,7612,7631,8827,7403,5455,3263,7193,7268,7574,7037,7655,4928,3416,7025,7717,7656,7592,7277,4745,3198,7291,7411,7281,6728,7486,,,,181520
,(017) E-SOMOS FONTIBON,(10032) KA334,(10032) KA334,3376,1815,5965,6500,6017,7132,6231,3479,1872,6329,6340,6151,5875,5806,3457,1821,5657,6286,6022,6068,6017,3526,1805,5711,6090,5923,5924,6025,,,,143220
,(017) E-SOMOS FONTIBON,(10643) Campin Norte,(10643) Campin Norte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,254,0,,,,539
,(017) E-SOMOS FONTIBON,(10644) Campin Centro,(10644) Campin Centro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,108,0,,,,245
,(132) MUEVE FONTIBON SAS,(10084) KC315,(10084) KC315,7382,6281,9082,9488,9144,10817,9630,7280,6131,9598,8962,9762,9224,9838,7094,5927,9365,9726,9581,9439,9101,7253,6208,8900,8866,9274,9127,9560,,,,242040
,(132) MUEVE FONTIBON SAS,(10085) KH322,(10085) KH322,5071,2941,6572,6580,7046,7527,7395,5114,2901,6572,6097,7101,7079,6830,4731,2701,6930,6731,6835,6730,7258,4929,2996,6863,6932,6945,6861,6913,,,,169181
,(132) MUEVE FONTIBON SAS,(10086) KC321,(10086) KC321,6004,4398,8766,8880,8745,11326,8649,6093,4066,8447,8400,8643,9457,9020,6072,4108,8644,9196,9071,9126,8958,6132,4215,9079,9051,8507,9234,8274,,,,220561
