Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
,Reporte de Validaciones Zonales por Día,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Periodo Validaciones:,01 al 31 de Marzo 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fuente:,FCS Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operador,Linea_FCS,Ruta_Consolidada,2025-03-01 00:00:00,2025-03-02 00:00:00,2025-03-03 00:00:00,2025-03-04 00:00:00,2025-03-05 00:00:00,2025-03-06 00:00:00,2025-03-07 00:00:00,2025-03-08 00:00:00,2025-03-09 00:00:00,2025-03-10 00:00:00,2025-03-11 00:00:00,2025-03-12 00:00:00,2025-03-13 00:00:00,2025-03-14 00:00:00,2025-03-15 00:00:00,2025-03-16 00:00:00,2025-03-17 00:00:00,2025-03-18 00:00:00,2025-03-19 00:00:00,2025-03-20 00:00:00,2025-03-21 00:00:00,2025-03-22 00:00:00,2025-03-23 00:00:00,2025-03-24 00:00:00,2025-03-25 00:00:00,2025-03-26 00:00:00,2025-03-27 00:00:00,2025-03-28 00:00:00,2025-03-29 00:00:00,2025-03-30 00:00:00,2025-03-31 00:00:00,Total general
,(017) E-SOMOS FONTIBON,(10020) KA302,(10020) KA302,6978,4005,9899,9676,10356,9646,10469,6688,4003,9446,9741,10266,9808,10271,6888,3973,9832,9232,9989,10273,9962,6986,4038,3432,9973,9660,10099,10399,6462,3667,9639,255756
,(017) E-SOMOS FONTIBON,(10028) KL304,(10028) KL304,5210,2479,8725,8769,9031,8576,8932,5478,2309,8244,8580,8595,8716,8459,5891,2467,8344,8300,9276,8920,9046,5174,2172,1825,9202,8479,8274,8243,5098,2053,8606,213473
,(017) E-SOMOS FONTIBON,(10029) KB303,(10029) KB303,6871,3822,12421,13007,12829,12343,11736,7429,4149,11826,11846,12224,11949,11862,7719,3936,11457,10956,12043,12490,12413,6939,3335,3409,12597,12662,11745,12240,7280,3562,12265,301362
,(017) E-SOMOS FONTIBON,(10030) KA305,(10030) KA305,4696,3437,7086,7445,6964,7485,7037,5356,3317,6624,7534,7450,7326,7180,5132,3257,7241,6537,7118,7461,7652,4808,3032,2669,7564,7535,7525,6778,5567,3394,6956,189163
,(017) E-SOMOS FONTIBON,(10032) KA334,(10032) KA334,3274,1978,5660,5937,6322,6289,6037,3546,1975,5999,6433,6370,6036,5905,3519,1724,6144,5483,5812,5997,5594,3205,1720,1663,6352,5870,5846,5784,3615,1785,5994,147868
,(017) E-SOMOS FONTIBON,(10644) Campin Centro,(10644) Campin Centro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,40
,(017) E-SOMOS FONTIBON,(10646) FEP Unicentro,(10646) FEP Unicentro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,794,1131,813,757,0,3495
,(017) E-SOMOS FONTIBON,(10647)  FEP Septimazo,(10647)  FEP Septimazo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,211,596,496,0,1558
,(017) E-SOMOS FONTIBON,(10648) FEP 1 de mayo,(10648) FEP 1 de mayo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469,626,613,645,0,2353
,(132) MUEVE FONTIBON SAS,(10084) KC315,(10084) KC315,7127,6342,9602,9263,9614,9438,9339,7788,6247,9597,9776,9763,9426,9935,7189,6240,9881,8899,9379,9672,9725,7484,6069,5676,9874,9138,9629,9538,7378,6041,9427,264496
