Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
,Reporte de Validaciones Zonales por Día,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Periodo Validaciones:,01 al 30 de Abril 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fuente:,FCS Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operador,Linea_FCS,Ruta_Consolidada,2025-04-01 00:00:00,2025-04-02 00:00:00,2025-04-03 00:00:00,2025-04-04 00:00:00,2025-04-05 00:00:00,2025-04-06 00:00:00,2025-04-07 00:00:00,2025-04-08 00:00:00,2025-04-09 00:00:00,2025-04-10 00:00:00,2025-04-11 00:00:00,2025-04-12 00:00:00,2025-04-13 00:00:00,2025-04-14 00:00:00,2025-04-15 00:00:00,2025-04-16 00:00:00,2025-04-17 00:00:00,2025-04-18 00:00:00,2025-04-19 00:00:00,2025-04-20 00:00:00,2025-04-21 00:00:00,2025-04-22 00:00:00,2025-04-23 00:00:00,2025-04-24 00:00:00,2025-04-25 00:00:00,2025-04-26 00:00:00,2025-04-27 00:00:00,2025-04-28 00:00:00,2025-04-29 00:00:00,2025-04-30 00:00:00,2025-05-01 00:00:00,Total general
,(017) E-SOMOS FONTIBON,(10020) KA302,(10020) KA302,10010,9618,9708,10520,6726,4146,10028,9873,10308,9712,10727,6630,4048,7985,7336,6944,2833,2356,4155,3336,8876,9767,9805,9255,10133,6684,4062,9273,9659,9601,,234114
,(017) E-SOMOS FONTIBON,(10028) KL304,(10028) KL304,8649,8596,8277,8358,5481,2392,8467,8906,8866,8438,8085,4917,2625,6987,7131,6632,1933,1383,2939,1843,8164,8727,8407,8403,8037,4509,2179,7638,7440,8584,,192993
,(017) E-SOMOS FONTIBON,(10029) KB303,(10029) KB303,12854,12144,11731,11432,6941,4013,12066,12151,12725,12619,11203,6764,3677,9093,9684,8300,3104,2182,4185,3370,11193,11952,12335,11700,11411,6494,3706,11464,11667,12557,,274717
,(017) E-SOMOS FONTIBON,(10030) KA305,(10030) KA305,7766,7571,7620,7438,5000,3433,7468,7611,7808,7107,7004,4873,3332,5767,5690,5719,2462,1709,3113,2697,6597,7278,7009,7265,6993,4909,3611,6598,7752,7928,,177128
,(017) E-SOMOS FONTIBON,(10032) KA334,(10032) KA334,6498,6212,6098,5762,3606,1910,5900,6238,6104,5831,5976,3421,1690,4392,4191,3857,1374,859,1863,1485,5623,6118,6063,5523,5898,3560,1879,5927,6123,6114,,136095
,(132) MUEVE FONTIBON SAS,(10084) KC315,(10084) KC315,9546,9659,9551,9620,7470,6775,8975,9446,9318,9281,9518,7290,6581,8380,8368,8224,5685,4571,5504,5668,8986,9357,8887,9400,9476,6993,6373,8436,9695,9800,,246833
,(132) MUEVE FONTIBON SAS,(10085) KH322,(10085) KH322,6787,6755,6929,6710,5271,3123,6778,6828,6756,6601,6712,4812,2747,5915,6097,5581,2284,1518,2879,2639,6423,7067,6269,6627,6160,4825,2621,5776,6294,6571,,162355
,(132) MUEVE FONTIBON SAS,(10086) KC321,(10086) KC321,9274,8678,8788,8487,6646,4241,8839,8532,8372,8450,8094,5761,4229,8140,7266,7637,3104,2378,4081,3440,8753,8963,8557,8559,8803,6693,4076,7644,8110,8194,,212789
,(132) MUEVE FONTIBON SAS,(10087) KC323,(10087) KC323,10516,10662,10759,10602,7955,5715,10859,11496,11242,11120,11174,8352,5195,9927,9848,9120,4366,3677,5226,4290,10779,10583,10956,10710,10251,8325,5203,11330,11045,11315,,272598
,(132) MUEVE FONTIBON SAS,(10088) KA319,(10088) KA319,8794,8635,8447,8775,4955,2501,9133,9274,9068,9030,8910,4434,2205,6838,6583,6016,1666,1278,2476,1791,8387,8873,8863,9030,8699,4952,2484,7640,7931,9352,,197020
