Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
,Reporte de Validaciones Zonales por Día,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Periodo Validaciones:,01 al 31 de Mayo 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fuente:,FCS Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operador,Linea_FCS,Ruta_Consolidada,2025-05-01 00:00:00,2025-05-02 00:00:00,2025-05-03 00:00:00,2025-05-04 00:00:00,2025-05-05 00:00:00,2025-05-06 00:00:00,2025-05-07 00:00:00,2025-05-08 00:00:00,2025-05-09 00:00:00,2025-05-10 00:00:00,2025-05-11 00:00:00,2025-05-12 00:00:00,2025-05-13 00:00:00,2025-05-14 00:00:00,2025-05-15 00:00:00,2025-05-16 00:00:00,2025-05-17 00:00:00,2025-05-18 00:00:00,2025-05-19 00:00:00,2025-05-20 00:00:00,2025-05-21 00:00:00,2025-05-22 00:00:00,2025-05-23 00:00:00,2025-05-24 00:00:00,2025-05-25 00:00:00,2025-05-26 00:00:00,2025-05-27 00:00:00,2025-05-28 00:00:00,2025-05-29 00:00:00,2025-05-30 00:00:00,2025-05-31 00:00:00,Total general
,(017) E-SOMOS FONTIBON,(10020) KA302,(10020) KA302,3593,9876,7136,4027,9450,10303,10766,10269,10814,6736,3653,10059,10400,10295,9569,9627,6792,3997,9753,10580,9902,10023,10269,6667,3574,9823,10481,8800,8430,10500,6204,262368
,(017) E-SOMOS FONTIBON,(10028) KL304,(10028) KL304,1945,7938,4898,2391,8021,8395,8249,8430,8506,5060,2009,8078,8223,7300,7977,8306,5129,2141,8177,8023,8217,7977,7411,5194,2294,7748,8355,6465,7049,8166,4738,202810
,(017) E-SOMOS FONTIBON,(10029) KB303,(10029) KB303,3547,11748,7390,3751,11560,12359,12113,12738,12444,7514,3644,11920,12039,12639,11894,11367,6272,3621,11268,12634,12658,12204,11595,6870,3730,12485,13273,10786,10433,12429,6925,305850
,(017) E-SOMOS FONTIBON,(10030) KA305,(10030) KA305,3111,7060,5148,3526,7103,7400,7848,7355,7707,5623,3576,7305,7837,7530,7110,7717,5086,3424,7186,7904,7668,7464,7774,5069,3944,7410,7372,6822,6464,7127,5316,198986
,(017) E-SOMOS FONTIBON,(10032) KA334,(10032) KA334,1916,5598,3616,1822,6132,6280,6092,5983,5783,3500,1892,5629,6193,5790,5555,5457,3266,1872,6186,6563,6039,5459,5683,3237,1641,5930,6131,5431,4995,5854,3382,148907
,(132) MUEVE FONTIBON SAS,(10084) KC315,(10084) KC315,6188,9509,7904,6518,10121,10320,9468,9652,9707,7490,6322,9030,9503,9565,9344,9517,7701,6342,9477,9788,9712,9628,9130,7495,6372,9603,9204,8616,8233,9606,7288,268353
,(132) MUEVE FONTIBON SAS,(10085) KH322,(10085) KH322,2900,6513,4837,2919,6174,6614,6817,6841,6658,4893,3191,6697,6796,6533,6466,6837,4918,2559,6321,6937,6902,6624,5955,4925,2588,6452,6601,6683,6371,6698,4592,176812
,(132) MUEVE FONTIBON SAS,(10086) KC321,(10086) KC321,4034,8522,6824,4136,8326,8510,8889,8780,8626,6790,4464,8849,8796,9241,8728,9235,6276,4012,8651,9160,8982,8792,8725,6333,4012,9083,8835,7704,7734,9015,6266,236330
,(132) MUEVE FONTIBON SAS,(10087) KC323,(10087) KC323,5380,10666,7880,5438,11113,10646,11574,10865,11285,8233,5738,10517,11086,11342,10409,10143,8395,5540,10746,11307,10922,10977,10898,8323,5372,10320,10684,9669,9562,10487,8146,293663
,(132) MUEVE FONTIBON SAS,(10088) KA319,(10088) KA319,2421,8563,4571,2321,8574,8838,9126,8825,8545,5152,2450,8666,9315,8650,8091,8676,4604,2636,8394,8897,8542,8661,9102,4949,2249,8629,8801,7055,6735,8443,4750,215231
