Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
,Reporte de Validaciones Zonales por Día,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Periodo Validaciones:,al 30 de Junio 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fuente:,FCS Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operador,Linea_FCS,Ruta_Consolidada,2025-06-01 00:00:00,2025-06-02 00:00:00,2025-06-03 00:00:00,2025-06-04 00:00:00,2025-06-05 00:00:00,2025-06-06 00:00:00,2025-06-07 00:00:00,2025-06-08 00:00:00,2025-06-09 00:00:00,2025-06-10 00:00:00,2025-06-11 00:00:00,2025-06-12 00:00:00,2025-06-13 00:00:00,2025-06-14 00:00:00,2025-06-15 00:00:00,2025-06-16 00:00:00,2025-06-17 00:00:00,2025-06-18 00:00:00,2025-06-19 00:00:00,2025-06-20 00:00:00,2025-06-21 00:00:00,2025-06-22 00:00:00,2025-06-23 00:00:00,2025-06-24 00:00:00,2025-06-25 00:00:00,2025-06-26 00:00:00,2025-06-27 00:00:00,2025-06-28 00:00:00,2025-06-29 00:00:00,2025-06-30 00:00:00,2025-07-01 00:00:00,Total general
,(004) ESTE ES MI BUS,(10301) FA405,(10301) FA405,276,262,2016,1788,1659,1691,757,301,1643,1722,1630,1601,1494,897,363,1643,1640,1688,1726,1616,725,247,225,1485,1614,1416,1335,713,323,273,,34769
,(004) ESTE ES MI BUS,(1048) 193B,(1048) 193B,595,561,2542,2691,2348,2651,1184,568,2325,2108,2365,2297,1931,1224,704,2311,2086,2321,2404,2209,1058,635,566,2192,2303,2278,1924,1037,632,563,,50613
,(004) ESTE ES MI BUS,(1059) DA203,(1059) DA203,860,675,2170,2347,2265,2151,930,735,1933,1698,1939,1822,1932,1013,719,1917,1774,1552,1548,1776,1045,690,787,1909,2009,1963,1838,950,770,738,,44455
,(004) ESTE ES MI BUS,(1135) 59B,(1135) 59B,543,364,2254,1913,2091,2191,1080,578,1959,1693,1862,1848,1815,1006,561,1960,1793,1797,1816,1570,1148,567,746,1597,1895,1612,1826,1037,672,408,,42202
,(004) ESTE ES MI BUS,(1144) 5-1,(1144) 5-1,2362,2158,5377,5094,5239,5175,3747,2446,5005,5257,5277,5191,5031,3769,2283,5065,4921,5093,5190,5026,3669,2325,2042,4800,4665,4583,4535,3379,2338,1931,,122973
,(004) ESTE ES MI BUS,(1145) 5-2,(1145) 5-2,2162,1954,4871,4880,4917,5017,3966,2066,4775,4862,4875,4898,4713,3985,2204,4686,4703,4757,4745,4802,3739,2169,2063,4748,4808,4790,4738,3399,2335,1881,,118508
,(004) ESTE ES MI BUS,(1217) 11-2,(1217) 11-2,0,0,579,583,612,605,192,0,514,540,553,570,510,180,0,521,568,565,539,505,170,0,0,428,445,430,426,149,0,0,,10184
,(004) ESTE ES MI BUS,(1219) 11-3,(1219) 11-3,407,295,915,877,850,830,610,322,867,791,848,831,821,568,301,831,838,890,900,839,570,354,314,838,838,775,744,502,356,308,,20030
,(004) ESTE ES MI BUS,(1220) 11-5,(1220) 11-5,259,219,618,643,631,610,471,295,574,591,524,595,575,519,254,538,565,564,571,533,513,287,217,467,526,519,516,438,273,251,,14156
,(004) ESTE ES MI BUS,(1221) 11-6,(1221) 11-6,443,349,1114,1174,1165,1158,712,429,1091,1135,1163,1178,1190,788,432,1194,1134,1104,1213,1125,682,372,295,1051,1098,1057,1093,792,466,365,,26562
,(004) ESTE ES MI BUS,(1222) 11-7,(1222) 11-7,344,318,959,940,1090,1004,742,350,965,1012,1004,970,1074,750,345,946,1056,1033,1084,1015,693,338,287,818,966,1019,960,644,387,295,,23408
