Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
,Reporte de Validaciones Zonales por Día,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Periodo Validaciones:,al 31 de Julio 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fuente:,FCS Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operador,Linea_FCS,Ruta_Consolidada,2025-07-01 00:00:00,2025-07-02 00:00:00,2025-07-03 00:00:00,2025-07-04 00:00:00,2025-07-05 00:00:00,2025-07-06 00:00:00,2025-07-07 00:00:00,2025-07-08 00:00:00,2025-07-09 00:00:00,2025-07-10 00:00:00,2025-07-11 00:00:00,2025-07-12 00:00:00,2025-07-13 00:00:00,2025-07-14 00:00:00,2025-07-15 00:00:00,2025-07-16 00:00:00,2025-07-17 00:00:00,2025-07-18 00:00:00,2025-07-19 00:00:00,2025-07-20 00:00:00,2025-07-21 00:00:00,2025-07-22 00:00:00,2025-07-23 00:00:00,2025-07-24 00:00:00,2025-07-25 00:00:00,2025-07-26 00:00:00,2025-07-27 00:00:00,2025-07-28 00:00:00,2025-07-29 00:00:00,2025-07-30 00:00:00,2025-07-31 00:00:00,Total general
,(004) ESTE ES MI BUS,(10301) FA405,(10301) FA405,1540,1461,1505,1549,740,327,1617,1582,1673,1674,1614,622,309,1652,1721,1768,1677,1641,738,308,1618,1707,1721,1679,1607,764,267,1603,1669,1750,1623,41726
,(004) ESTE ES MI BUS,(1048) 193B,(1048) 193B,2181,2205,2179,2111,1063,572,2104,2036,2115,2159,1993,1062,679,2336,2394,1891,2386,2283,1032,624,2586,2724,2642,2555,2366,955,730,2596,2642,2634,2916,60751
,(004) ESTE ES MI BUS,(1059) DA203,(1059) DA203,1828,1846,1949,2023,952,771,1778,1655,1671,1880,1902,999,1024,1610,1545,1730,2014,1857,1037,675,2171,1800,2222,1827,1966,987,797,1794,1988,2124,1969,50391
,(004) ESTE ES MI BUS,(1135) 59B,(1135) 59B,1665,1838,1961,1671,1055,559,1606,1428,1688,1781,1747,969,695,1850,1751,1716,1776,1764,1099,571,1848,1944,1741,1775,1873,935,615,1785,2168,2213,1963,48050
,(004) ESTE ES MI BUS,(1144) 5-1,(1144) 5-1,4684,4581,4776,4636,3439,2182,4520,4729,4538,4630,4544,3352,2277,4567,4615,4549,4559,4553,3444,2289,4620,4767,4924,4892,5003,3688,2377,4857,5099,4994,5170,131855
,(004) ESTE ES MI BUS,(1145) 5-2,(1145) 5-2,4698,4694,4677,4783,3898,2219,4716,4799,4748,4789,4726,3887,2195,4674,4570,4744,4817,4911,3860,2061,4468,4922,4818,4724,4707,3942,2115,4870,4681,4969,4895,133577
,(004) ESTE ES MI BUS,(1217) 11-2,(1217) 11-2,410,425,398,467,155,0,418,413,476,471,465,156,0,402,435,445,439,445,148,0,501,481,513,596,514,165,0,496,406,539,475,11254
,(004) ESTE ES MI BUS,(1219) 11-3,(1219) 11-3,799,847,853,829,538,285,805,813,835,811,780,545,346,761,770,844,830,867,545,361,773,817,757,831,766,508,323,790,797,780,765,21971
,(004) ESTE ES MI BUS,(1220) 11-5,(1220) 11-5,507,559,537,542,454,258,556,581,522,568,531,455,323,477,564,533,517,534,503,281,494,558,478,546,597,478,311,525,503,561,554,15407
,(004) ESTE ES MI BUS,(1221) 11-6,(1221) 11-6,949,1092,1087,1057,682,432,1103,1041,1145,1055,1131,754,448,1085,1086,1079,1176,1159,754,452,938,948,991,991,1118,675,348,875,950,944,848,28393
,(004) ESTE ES MI BUS,(1222) 11-7,(1222) 11-7,901,880,983,982,705,326,988,1116,974,1041,992,671,308,925,1013,928,1016,958,689,353,978,1034,941,997,925,673,346,988,1047,992,975,26645
