Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
,Reporte de Validaciones Zonales por Día,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Periodo Validaciones:,al 31 de Agosto 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fuente:,FCS Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operador,Linea_FCS,Ruta_Consolidada,2025-08-01 00:00:00,2025-08-02 00:00:00,2025-08-03 00:00:00,2025-08-04 00:00:00,2025-08-05 00:00:00,2025-08-06 00:00:00,2025-08-07 00:00:00,2025-08-08 00:00:00,2025-08-09 00:00:00,2025-08-10 00:00:00,2025-08-11 00:00:00,2025-08-12 00:00:00,2025-08-13 00:00:00,2025-08-14 00:00:00,2025-08-15 00:00:00,2025-08-16 00:00:00,2025-08-17 00:00:00,2025-08-18 00:00:00,2025-08-19 00:00:00,2025-08-20 00:00:00,2025-08-21 00:00:00,2025-08-22 00:00:00,2025-08-23 00:00:00,2025-08-24 00:00:00,2025-08-25 00:00:00,2025-08-26 00:00:00,2025-08-27 00:00:00,2025-08-28 00:00:00,2025-08-29 00:00:00,2025-08-30 00:00:00,2025-08-31 00:00:00,Total general
,(004) ESTE ES MI BUS,(10301) FA405,(10301) FA405,1785,697,309,2043,1972,1735,286,1568,665,327,1824,1685,1385,1922,1783,797,343,231,1733,1980,2017,1783,759,330,1662,1654,1961,1633,1580,787,289,39525
,(004) ESTE ES MI BUS,(1048) 193B,(1048) 193B,2716,1076,677,2521,2394,3095,575,2350,1149,626,2756,2998,2965,2648,2767,1010,690,683,3035,2873,2759,2782,1231,852,2678,2983,3088,3097,2741,1137,767,63719
,(004) ESTE ES MI BUS,(1059) DA203,(1059) DA203,1792,1176,806,1809,2044,2079,904,1707,1006,822,1873,1893,2072,1962,2255,855,0,0,1629,1728,1574,2151,1051,0,1762,1879,1646,2028,1952,1164,0,43619
,(004) ESTE ES MI BUS,(1135) 59B,(1135) 59B,2219,1127,758,2130,2099,2279,596,1748,991,722,2207,2313,2553,2091,2431,958,517,536,2054,1862,2086,1860,1235,639,2010,1940,1999,2150,2362,1220,625,50317
,(004) ESTE ES MI BUS,(1144) 5-1,(1144) 5-1,4950,3951,2217,5194,5794,5155,2207,5043,3720,2421,5455,5506,5496,5356,5147,3673,2309,2114,5540,5401,5527,5182,3909,1890,5365,5626,5514,5477,5929,3890,2379,137337
,(004) ESTE ES MI BUS,(1145) 5-2,(1145) 5-2,5011,3999,2193,5095,5724,5307,2224,5212,3996,2150,5242,5254,5226,5045,5134,3924,2091,1925,5424,5279,5187,4988,4264,2180,5180,5313,5235,5263,5715,4171,2130,135081
,(004) ESTE ES MI BUS,(1217) 11-2,(1217) 11-2,414,190,0,510,489,496,0,504,183,0,452,528,530,517,494,188,0,0,541,558,524,556,177,0,492,544,504,532,515,183,0,10621
,(004) ESTE ES MI BUS,(1219) 11-3,(1219) 11-3,681,567,350,810,624,812,315,774,499,295,814,793,801,707,815,507,305,292,732,759,750,722,520,280,756,760,749,755,698,503,364,19109
,(004) ESTE ES MI BUS,(1220) 11-5,(1220) 11-5,588,458,272,555,441,580,272,608,444,257,526,569,551,490,565,446,298,201,523,467,578,515,473,244,508,520,543,509,506,478,288,14273
,(004) ESTE ES MI BUS,(1221) 11-6,(1221) 11-6,955,643,433,1010,707,1081,355,987,631,333,918,1018,1010,977,1133,675,355,271,1032,893,937,1012,687,347,998,908,985,981,1042,712,390,24416
,(004) ESTE ES MI BUS,(1222) 11-7,(1222) 11-7,955,690,365,914,662,1051,396,943,630,257,883,963,920,1073,987,689,351,320,978,978,973,1020,637,328,967,919,964,870,965,712,406,23766
