Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
,Reporte de Validaciones Zonales por Día,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Periodo Validaciones:,al 30 de Septiembre 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fuente:,FCS Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operador,Linea_FCS,Ruta_Consolidada,2025-09-01 00:00:00,2025-09-02 00:00:00,2025-09-03 00:00:00,2025-09-04 00:00:00,2025-09-05 00:00:00,2025-09-06 00:00:00,2025-09-07 00:00:00,2025-09-08 00:00:00,2025-09-09 00:00:00,2025-09-10 00:00:00,2025-09-11 00:00:00,2025-09-12 00:00:00,2025-09-13 00:00:00,2025-09-14 00:00:00,2025-09-15 00:00:00,2025-09-16 00:00:00,2025-09-17 00:00:00,2025-09-18 00:00:00,2025-09-19 00:00:00,2025-09-20 00:00:00,2025-09-21 00:00:00,2025-09-22 00:00:00,2025-09-23 00:00:00,2025-09-24 00:00:00,2025-09-25 00:00:00,2025-09-26 00:00:00,2025-09-27 00:00:00,2025-09-28 00:00:00,2025-09-29 00:00:00,2025-09-30 00:00:00,2025-10-01 00:00:00,Total general
,(004) ESTE ES MI BUS,(10301) FA405,(10301) FA405,1391,1528,1492,1397,1333,684,300,1453,1519,1406,1424,1462,632,363,1468,1013,1472,1596,1515,727,297,1416,1677,1661,1528,1304,628,242,1620,1655,,36203
,(004) ESTE ES MI BUS,(1048) 193B,(1048) 193B,3007,2767,2479,3008,2598,1172,758,2920,2776,2888,2632,2347,1140,855,2164,1828,2501,2330,2749,1043,767,2363,2454,2516,2421,2657,1059,709,2015,2576,,63499
,(004) ESTE ES MI BUS,(1059) DA203,(1059) DA203,1923,1639,1929,2153,2165,1123,0,1599,2067,1920,1851,1746,1027,0,1938,1391,1892,1797,1706,1187,0,1409,1562,1663,1853,1811,885,0,1779,1838,,43853
,(004) ESTE ES MI BUS,(1135) 59B,(1135) 59B,1871,1954,1975,1970,1984,1125,736,1731,2388,1877,1932,1795,997,568,1774,1267,1803,1848,1613,1209,678,1542,1855,1769,1699,1777,1310,586,1459,1627,,46719
,(004) ESTE ES MI BUS,(1144) 5-1,(1144) 5-1,5650,5724,5439,5553,5423,3963,2373,5588,5616,5730,5649,5310,3855,2404,5277,3907,5547,5713,5584,3880,2368,5395,5797,5564,5575,5420,3821,2292,5463,5555,,145435
,(004) ESTE ES MI BUS,(1145) 5-2,(1145) 5-2,5238,5241,5156,5148,5226,4044,2209,5131,5285,5236,5494,5281,3961,2062,5047,3892,5170,5326,5435,4161,2215,5026,5189,5163,5197,5282,3994,2137,5144,5410,,138500
,(004) ESTE ES MI BUS,(1217) 11-2,(1217) 11-2,462,555,531,504,574,207,0,485,520,545,491,518,148,0,517,280,549,543,525,180,0,511,533,510,374,490,175,0,480,505,,11712
,(004) ESTE ES MI BUS,(1219) 11-3,(1219) 11-3,793,767,798,809,835,501,288,704,718,708,771,720,515,284,781,581,764,798,744,519,345,767,744,736,761,758,508,319,750,716,,19802
,(004) ESTE ES MI BUS,(1220) 11-5,(1220) 11-5,587,530,528,527,595,411,252,526,545,539,519,564,488,267,511,350,549,486,529,435,245,521,493,575,542,469,434,255,480,430,,14182
,(004) ESTE ES MI BUS,(1221) 11-6,(1221) 11-6,938,1054,980,1055,1029,690,328,978,1052,1064,995,1023,710,345,1044,683,1090,999,965,677,373,976,1045,932,1066,1049,667,343,975,913,,26038
,(004) ESTE ES MI BUS,(1222) 11-7,(1222) 11-7,1004,892,953,956,941,715,345,922,996,992,900,978,617,383,993,636,932,1060,983,671,385,880,858,910,836,940,708,372,885,839,,24482
