Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
,Reporte de Validaciones Zonales por Día,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Periodo Validaciones:,al 31 de Octubre 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fuente:,FCS Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operador,Linea_FCS,Ruta_Consolidada,2025-10-01 00:00:00,2025-10-02 00:00:00,2025-10-03 00:00:00,2025-10-04 00:00:00,2025-10-05 00:00:00,2025-10-06 00:00:00,2025-10-07 00:00:00,2025-10-08 00:00:00,2025-10-09 00:00:00,2025-10-10 00:00:00,2025-10-11 00:00:00,2025-10-12 00:00:00,2025-10-13 00:00:00,2025-10-14 00:00:00,2025-10-15 00:00:00,2025-10-16 00:00:00,2025-10-17 00:00:00,2025-10-18 00:00:00,2025-10-19 00:00:00,2025-10-20 00:00:00,2025-10-21 00:00:00,2025-10-22 00:00:00,2025-10-23 00:00:00,2025-10-24 00:00:00,2025-10-25 00:00:00,2025-10-26 00:00:00,2025-10-27 00:00:00,2025-10-28 00:00:00,2025-10-29 00:00:00,2025-10-30 00:00:00,2025-10-31 00:00:00,Total general
,(004) ESTE ES MI BUS,(10301) FA405,(10301) FA405,1529,1539,1464,562,261,1295,1282,1203,1291,1207,593,190,181,1638,1835,1627,1496,718,268,1662,1754,1599,1743,1671,615,326,1780,1835,1688,1939,1506,38297
,(004) ESTE ES MI BUS,(1048) 193B,(1048) 193B,2413,2162,2414,1107,582,1742,2010,1998,1854,1744,1114,616,580,1972,1978,2210,2100,1258,760,2098,1844,2618,2169,2128,1196,830,2091,2302,2283,2527,2332,55032
,(004) ESTE ES MI BUS,(1059) DA203,(1059) DA203,1826,1497,1860,949,0,1387,1787,1605,1339,1512,1002,0,0,1768,2050,1667,2002,1033,0,1554,1524,1627,1858,2199,1106,0,2002,1965,1608,1826,2363,42916
,(004) ESTE ES MI BUS,(1135) 59B,(1135) 59B,1915,1814,2007,1211,806,1543,2075,1693,1499,1738,918,454,394,1684,1907,1810,2001,1022,599,1689,1797,1964,1789,1867,1110,627,1954,1863,1839,1930,2079,47598
,(004) ESTE ES MI BUS,(1144) 5-1,(1144) 5-1,5510,5490,5612,4110,2410,4892,5012,4782,5041,5037,3472,2218,2042,5781,5482,5445,5748,3957,2240,5344,5770,5533,5759,5577,3936,2372,5457,5428,5275,5141,5644,145517
,(004) ESTE ES MI BUS,(1145) 5-2,(1145) 5-2,5457,5384,5406,4143,2300,4850,5032,4548,4848,4920,3950,1976,1998,5310,5230,5072,5205,4067,2100,5060,5284,5238,5240,5249,4215,2147,4987,5295,5082,4794,5241,139628
,(004) ESTE ES MI BUS,(1217) 11-2,(1217) 11-2,452,487,511,169,0,490,465,471,455,357,168,0,0,497,496,476,470,171,0,431,516,494,480,531,174,0,495,506,562,522,406,11252
,(004) ESTE ES MI BUS,(1219) 11-3,(1219) 11-3,771,858,715,458,282,776,693,732,690,693,487,299,239,698,724,739,812,479,309,731,696,668,681,667,415,272,635,687,666,660,717,18949
,(004) ESTE ES MI BUS,(1220) 11-5,(1220) 11-5,521,508,423,362,300,523,477,503,513,520,386,259,160,426,503,480,549,417,231,526,545,528,520,472,389,252,435,456,522,470,443,13619
,(004) ESTE ES MI BUS,(1221) 11-6,(1221) 11-6,957,1032,1000,632,345,943,1054,1064,1013,1011,616,359,286,942,928,956,1012,673,353,963,960,1003,993,993,669,358,932,902,903,917,889,25658
,(004) ESTE ES MI BUS,(1222) 11-7,(1222) 11-7,915,892,891,693,343,929,935,939,973,970,619,378,267,948,754,984,898,724,306,907,808,955,950,917,707,378,853,910,888,846,919,24396
