Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
,Reporte de Validaciones Zonales por Día,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Periodo Validaciones:,al 30 de Noviembre 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fuente:,FCS Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operador,Linea_FCS,Ruta_Consolidada,2025-11-01 00:00:00,2025-11-02 00:00:00,2025-11-03 00:00:00,2025-11-04 00:00:00,2025-11-05 00:00:00,2025-11-06 00:00:00,2025-11-07 00:00:00,2025-11-08 00:00:00,2025-11-09 00:00:00,2025-11-10 00:00:00,2025-11-11 00:00:00,2025-11-12 00:00:00,2025-11-13 00:00:00,2025-11-14 00:00:00,2025-11-15 00:00:00,2025-11-16 00:00:00,2025-11-17 00:00:00,2025-11-18 00:00:00,2025-11-19 00:00:00,2025-11-20 00:00:00,2025-11-21 00:00:00,2025-11-22 00:00:00,2025-11-23 00:00:00,2025-11-24 00:00:00,2025-11-25 00:00:00,2025-11-26 00:00:00,2025-11-27 00:00:00,2025-11-28 00:00:00,2025-11-29 00:00:00,2025-11-30 00:00:00,2025-12-01 00:00:00,Total general
,(004) ESTE ES MI BUS,(10175) 193B,(10175) 193B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2169,2115,2269,2425,2368,1220,821,,13387
,(004) ESTE ES MI BUS,(10287) 271,(10287) 271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5256,5928,5516,5411,6103,4750,2849,,35820
,(004) ESTE ES MI BUS,(10298) 60,(10298) 60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9668,8887,9194,9028,9350,7431,3770,,57333
,(004) ESTE ES MI BUS,(10301) FA405,(10301) FA405,583,292,257,1810,1891,1640,1804,632,258,1675,1651,1635,1653,1533,610,236,220,1640,1566,1414,1323,740,272,1221,1429,1447,1293,1142,607,312,,32786
,(004) ESTE ES MI BUS,(10312) FF407,(10312) FF407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2708,2795,2788,2856,2725,1856,1005,,16733
,(004) ESTE ES MI BUS,(10313) 688,(10313) 688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2567,2587,2448,2513,2718,2001,1201,,16035
,(004) ESTE ES MI BUS,(10314) T48,(10314) T48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3953,4034,4008,3839,3735,2469,1089,,23127
,(004) ESTE ES MI BUS,(10316) FB419,(10316) FB419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8842,9200,9172,8431,8761,6004,4237,,54658
,(004) ESTE ES MI BUS,(10317) FL422,(10317) FL422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3723,3523,3685,3539,3802,3015,1514,,22803
,(004) ESTE ES MI BUS,(10319) DK211,(10319) DK211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2880,3099,2587,2740,3296,1882,1433,,17917
,(004) ESTE ES MI BUS,(10324) DA214,(10324) DA214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1539,1481,1340,1358,1482,1153,703,,9056
,(004) ESTE ES MI BUS,(10335) DK206,(10335) DK206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1713,1777,1781,1659,1784,1039,571,,10324
