Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
,Reporte de Validaciones Zonales por Día,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Periodo Validaciones:,al 31 de Diciembre 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fuente:,FCS Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operador,Linea_FCS,Ruta_Consolidada,2025-12-01 00:00:00,2025-12-02 00:00:00,2025-12-03 00:00:00,2025-12-04 00:00:00,2025-12-05 00:00:00,2025-12-06 00:00:00,2025-12-07 00:00:00,2025-12-08 00:00:00,2025-12-09 00:00:00,2025-12-10 00:00:00,2025-12-11 00:00:00,2025-12-12 00:00:00,2025-12-13 00:00:00,2025-12-14 00:00:00,2025-12-15 00:00:00,2025-12-16 00:00:00,2025-12-17 00:00:00,2025-12-18 00:00:00,2025-12-19 00:00:00,2025-12-20 00:00:00,2025-12-21 00:00:00,2025-12-22 00:00:00,2025-12-23 00:00:00,2025-12-24 00:00:00,2025-12-25 00:00:00,2025-12-26 00:00:00,2025-12-27 00:00:00,2025-12-28 00:00:00,2025-12-29 00:00:00,2025-12-30 00:00:00,2025-12-31 00:00:00,Total general
,(004) ESTE ES MI BUS,(10175) 193B,(10175) 193B,2093,2159,2139,2443,2283,1075,715,695,2234,2482,2055,1870,1154,806,2093,2455,2178,2045,2099,1297,857,2462,2043,1227,392,1424,930,700,1552,1446,769,50172
,(004) ESTE ES MI BUS,(10287) 271,(10287) 271,5449,5610,5729,4990,5952,4618,3418,2442,5899,5589,5490,5527,4764,3378,4719,5672,5489,5464,5278,4766,3632,5761,4773,4406,2091,4823,4244,3092,4373,4249,3009,144696
,(004) ESTE ES MI BUS,(10298) 60,(10298) 60,8808,8962,8983,9073,8951,6740,3539,2661,8988,9230,8925,8768,6899,3658,8851,8309,8227,7994,8933,7291,4706,8904,9231,7198,1548,6240,6062,3358,7701,6881,4544,220163
,(004) ESTE ES MI BUS,(10301) FA405,(10301) FA405,1450,1311,1272,1330,1262,674,240,217,1199,1445,1294,1178,657,384,1203,1257,1083,1098,1055,527,310,1138,1049,571,0,623,374,252,836,714,379,26382
,(004) ESTE ES MI BUS,(10312) FF407,(10312) FF407,2707,2804,2887,2793,2675,1662,887,702,2565,2686,2725,2576,1807,883,2642,2688,2748,2478,2645,1852,1152,2632,2630,1617,431,1539,1282,754,1807,1715,1158,62129
,(004) ESTE ES MI BUS,(10313) 688,(10313) 688,2611,2517,2569,2359,2221,1493,1154,766,2543,2321,2489,2231,1943,1423,2359,2326,2440,2305,2381,1951,1582,2728,2276,1503,368,1640,1375,991,1903,1565,916,59249
,(004) ESTE ES MI BUS,(10314) T48,(10314) T48,3874,3722,3773,3610,3407,2180,1008,792,3882,3825,3702,3637,2438,1164,3657,3644,3739,3562,3642,2375,1182,3356,3312,2544,0,2287,1648,820,2631,2319,1388,83120
,(004) ESTE ES MI BUS,(10316) FB419,(10316) FB419,8723,9459,8779,9173,8273,4836,3993,3517,8998,9127,7931,8090,6093,4178,8879,9076,9051,8549,8870,5838,4365,8875,8341,6480,2083,6609,4732,3420,6972,6530,4420,214260
,(004) ESTE ES MI BUS,(10317) FL422,(10317) FL422,3491,3507,3650,3575,3646,2591,1584,1051,3707,3456,3541,3682,2977,1584,3627,3399,3577,3343,3512,3089,2157,3946,3922,2705,622,3046,2424,1540,3384,3067,2375,91777
,(004) ESTE ES MI BUS,(10319) DK211,(10319) DK211,3013,3058,3170,2969,3006,1845,1157,975,2624,2807,2585,2612,2060,1193,2796,2814,2862,2842,2869,2122,1504,2885,2722,1837,589,2038,1625,854,2013,1779,1053,68278
