Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
,Reporte de Validaciones Zonales por Día,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Periodo Validaciones:,al 31 de Enero 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fuente:,FCS Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operador,Linea_FCS,Ruta_Consolidada,2026-01-01 00:00:00,2026-01-02 00:00:00,2026-01-03 00:00:00,2026-01-04 00:00:00,2026-01-05 00:00:00,2026-01-06 00:00:00,2026-01-07 00:00:00,2026-01-08 00:00:00,2026-01-09 00:00:00,2026-01-10 00:00:00,2026-01-11 00:00:00,2026-01-12 00:00:00,2026-01-13 00:00:00,2026-01-14 00:00:00,2026-01-15 00:00:00,2026-01-16 00:00:00,2026-01-17 00:00:00,2026-01-18 00:00:00,2026-01-19 00:00:00,2026-01-20 00:00:00,2026-01-21 00:00:00,2026-01-22 00:00:00,2026-01-23 00:00:00,2026-01-24 00:00:00,2026-01-25 00:00:00,2026-01-26 00:00:00,2026-01-27 00:00:00,2026-01-28 00:00:00,2026-01-29 00:00:00,2026-01-30 00:00:00,2026-01-31 00:00:00,Total general
,(004) ESTE ES MI BUS,(10175) 193B,(10175) 193B,235,691,688,518,1454,1463,1608,1430,1532,894,604,608,1907,2118,2217,2036,1068,657,1887,2135,1866,2264,1989,1020,652,2241,2077,1821,2065,2140,1137,45022
,(004) ESTE ES MI BUS,(10287) 271,(10287) 271,1348,2640,2332,2391,3663,3888,3795,3928,3886,3288,2827,2606,4665,5401,4622,5109,3982,2909,4798,5026,5429,5219,5036,4159,2809,5045,5100,4910,5358,5151,4513,125833
,(004) ESTE ES MI BUS,(10298) 60,(10298) 60,1070,4047,3670,2409,6225,6523,6842,6663,6326,5253,2528,2176,7698,7728,8004,7762,5720,2657,7898,8177,7672,7630,8152,6082,2842,8418,8450,8066,7971,8518,5999,189176
,(004) ESTE ES MI BUS,(10301) FA405,(10301) FA405,0,336,295,183,647,683,799,853,761,457,231,177,978,1176,1092,1055,521,228,1211,1241,1363,1288,1082,466,239,1177,1330,1386,1397,1187,516,24355
,(004) ESTE ES MI BUS,(10312) FF407,(10312) FF407,341,905,821,567,1725,1787,1993,1878,1902,1128,665,594,2424,2457,2539,2458,1435,789,2482,2639,2740,2553,2595,1583,739,2597,2985,2887,2861,2697,1732,57498
,(004) ESTE ES MI BUS,(10313) 688,(10313) 688,300,863,918,704,1584,1740,1730,1759,1872,1322,870,651,2093,2279,2218,2287,1465,1022,2400,2434,2453,2390,2495,1679,991,2413,2554,2674,2504,2643,1676,54983
,(004) ESTE ES MI BUS,(10314) T48,(10314) T48,0,1253,957,490,2430,2613,2591,2590,2540,1594,545,520,3187,3134,3132,3083,1860,751,3396,3400,3400,3358,3279,1960,749,3486,3536,3460,3374,3377,2043,72088
,(004) ESTE ES MI BUS,(10316) FB419,(10316) FB419,1444,4103,3457,2666,5944,6623,6935,6903,7067,4643,2817,2899,7657,7613,8237,8085,5317,3572,8284,8158,8400,8270,8582,5340,3499,8049,8691,8564,8310,8417,5726,194272
,(004) ESTE ES MI BUS,(10317) FL422,(10317) FL422,509,1993,1779,1177,2439,2671,2833,2830,3029,2503,1507,1043,3180,3244,3314,3322,2709,1448,3080,3334,3445,3423,3444,2773,1345,3630,3850,3669,3753,3819,3242,84337
,(004) ESTE ES MI BUS,(10319) DK211,(10319) DK211,358,1106,1104,657,1653,1662,1712,1734,1835,1433,775,794,2396,2488,2807,2184,1759,874,2218,2204,2396,2462,2228,1672,963,2434,2325,2787,2677,2533,1849,56079
