Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
,Reporte de Validaciones Zonales por Día,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Periodo Validaciones:,al 28 de Febrero 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fuente:,FCS Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operador,Linea_FCS,Ruta_Consolidada,2026-02-01 00:00:00,2026-02-02 00:00:00,2026-02-03 00:00:00,2026-02-04 00:00:00,2026-02-05 00:00:00,2026-02-06 00:00:00,2026-02-07 00:00:00,2026-02-08 00:00:00,2026-02-09 00:00:00,2026-02-10 00:00:00,2026-02-11 00:00:00,2026-02-12 00:00:00,2026-02-13 00:00:00,2026-02-14 00:00:00,2026-02-15 00:00:00,2026-02-16 00:00:00,2026-02-17 00:00:00,2026-02-18 00:00:00,2026-02-19 00:00:00,2026-02-20 00:00:00,2026-02-21 00:00:00,2026-02-22 00:00:00,2026-02-23 00:00:00,2026-02-24 00:00:00,2026-02-25 00:00:00,2026-02-26 00:00:00,2026-02-27 00:00:00,2026-02-28 00:00:00,2026-03-01 00:00:00,2026-03-02 00:00:00,2026-03-03 00:00:00,Total general
,(004) ESTE ES MI BUS,(10175) 193B,(10175) 193B,726,2332,2098,2344,2608,2160,1099,815,2150,2166,2513,2262,2477,1166,695,2223,2303,2063,2171,2187,1152,769,2212,2225,2294,2331,2202,1148,,,,52891
,(004) ESTE ES MI BUS,(10287) 271,(10287) 271,3216,4824,4676,5427,6970,4362,4312,2980,4506,5232,5157,5022,5032,4101,2847,4916,5153,5148,5164,4690,4525,2912,4285,4788,4934,4590,4823,4228,,,,128820
,(004) ESTE ES MI BUS,(10298) 60,(10298) 60,2696,8896,8584,8571,11377,9617,6760,2927,8811,9352,9096,9263,8738,6429,3051,9423,9333,9941,10381,9950,6324,2583,8967,9162,8968,9183,8764,6617,,,,223764
,(004) ESTE ES MI BUS,(10301) FA405,(10301) FA405,248,1721,1629,1702,1714,1676,622,268,1648,1823,1708,1765,1605,705,296,1720,1823,1747,1729,1710,677,280,1854,1766,1661,1720,1668,582,,,,38067
,(004) ESTE ES MI BUS,(10312) FF407,(10312) FF407,898,3060,3145,3173,3477,2979,1647,817,3066,3197,3148,3152,2906,1700,817,3040,3102,3122,2848,2997,1712,795,3038,3227,3383,3159,2937,1852,,,,72394
,(004) ESTE ES MI BUS,(10313) 688,(10313) 688,1042,2448,2231,2475,3086,2320,1792,1110,2549,2438,2214,2581,2489,1990,1035,2582,2798,2706,2266,2380,1797,1069,2555,2556,2623,2623,2567,1838,,,,62160
,(004) ESTE ES MI BUS,(10314) T48,(10314) T48,798,3949,4100,4157,4322,3876,2118,735,3831,4063,3969,3929,3742,2152,799,3986,4249,4150,3721,3993,2165,762,4096,4196,4146,4178,4038,2350,,,,92570
,(004) ESTE ES MI BUS,(10316) FB419,(10316) FB419,3552,9517,9564,9623,12121,9665,6117,3910,9445,9924,9805,10217,9811,5953,3680,9687,10032,10055,9681,9895,6113,3835,9364,9764,10066,9634,9597,6220,,,,236847
,(004) ESTE ES MI BUS,(10317) FL422,(10317) FL422,1558,4203,3698,4143,4598,4509,3321,2022,4268,4376,4255,4304,3941,3517,2080,4070,4075,3844,3186,3968,3249,1942,3465,3805,3864,3895,4148,3214,,,,101518
,(004) ESTE ES MI BUS,(10319) DK211,(10319) DK211,1093,2769,2675,2847,3468,2832,1937,1017,2652,3103,2696,2637,2767,1823,1042,2557,2818,2825,2704,2666,1985,926,2669,2624,2486,2442,2733,1858,,,,66651
,(004) ESTE ES MI BUS,(10324) DA214,(10324) DA214,523,1506,1691,1517,1922,1506,1275,504,1416,1529,1188,1387,1422,1274,441,1294,1609,1305,1375,1410,1190,426,1468,1575,1402,1387,1334,1225,,,,36101
