Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
,Reporte de Validaciones Zonales por Día,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Periodo Validaciones:,al 31 de Marzo 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fuente:,FCS Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operador,Linea_FCS,Ruta_Consolidada,2026-03-01 00:00:00,2026-03-02 00:00:00,2026-03-03 00:00:00,2026-03-04 00:00:00,2026-03-05 00:00:00,2026-03-06 00:00:00,2026-03-07 00:00:00,2026-03-08 00:00:00,2026-03-09 00:00:00,2026-03-10 00:00:00,2026-03-11 00:00:00,2026-03-12 00:00:00,2026-03-13 00:00:00,2026-03-14 00:00:00,2026-03-15 00:00:00,2026-03-16 00:00:00,2026-03-17 00:00:00,2026-03-18 00:00:00,2026-03-19 00:00:00,2026-03-20 00:00:00,2026-03-21 00:00:00,2026-03-22 00:00:00,2026-03-23 00:00:00,2026-03-24 00:00:00,2026-03-25 00:00:00,2026-03-26 00:00:00,2026-03-27 00:00:00,2026-03-28 00:00:00,2026-03-29 00:00:00,2026-03-30 00:00:00,2026-03-31 00:00:00,Total general
,(004) ESTE ES MI BUS,(10175) 193B,(10175) 193B,751,2555,2471,2218,2246,2262,1216,871,2088,2046,2265,2294,2314,1221,685,2488,2198,2614,2384,2145,1125,646,714,2416,2476,2305,2323,1066,735,1712,2061,56911
,(004) ESTE ES MI BUS,(10287) 271,(10287) 271,3320,4094,4562,4971,4388,4477,4355,3161,4905,4432,4599,4138,4801,4330,3176,4653,5043,4540,5009,5064,4015,3116,2661,5148,5123,4837,5112,4194,2887,4582,4774,134467
,(004) ESTE ES MI BUS,(10298) 60,(10298) 60,3304,10317,10183,9661,9839,9464,6217,3412,8942,9737,9434,10120,9959,6801,2918,10040,10362,9819,10242,9941,6370,2923,2154,10700,10814,10576,9647,6441,2621,7602,8030,248590
,(004) ESTE ES MI BUS,(10301) FA405,(10301) FA405,270,1708,1562,1713,1666,1681,635,412,1700,1802,1909,1823,1664,786,226,1642,1894,1922,1590,1642,568,291,225,1829,1832,1541,1770,596,260,1090,1149,39398
,(004) ESTE ES MI BUS,(10312) FF407,(10312) FF407,956,3108,3252,3164,3162,2831,1716,1050,2976,3266,3134,3017,3024,1866,873,3120,3317,3166,3046,2851,1546,875,643,3158,3222,3007,3059,1709,842,2391,2307,75654
,(004) ESTE ES MI BUS,(10313) 688,(10313) 688,1041,2628,2452,2507,2284,2436,1824,1267,2465,2578,2424,2434,2279,1998,887,2334,2489,2431,2490,2445,1889,1185,676,2590,2487,2399,2674,1685,937,1886,1959,64060
,(004) ESTE ES MI BUS,(10314) T48,(10314) T48,812,4086,4201,4219,4230,3947,2278,967,4101,4052,4299,4213,4009,2354,813,4044,4200,4263,4117,3982,2203,826,605,4204,4183,4134,4127,2196,662,3208,3067,98602
,(004) ESTE ES MI BUS,(10316) FB419,(10316) FB419,3922,9743,9764,9833,9154,9755,5785,4614,9717,10094,10240,9502,9031,6419,4037,9871,10370,9923,9840,9313,5717,3831,3632,10151,10182,9341,9175,6213,3726,7844,7984,248723
,(004) ESTE ES MI BUS,(10317) FL422,(10317) FL422,2117,4176,3821,4040,3343,3706,2801,1948,3842,4113,4166,3680,4275,3299,2035,3847,4430,3995,4230,4155,3265,2109,1298,3732,3716,3609,3699,3282,1757,3363,3175,105024
,(004) ESTE ES MI BUS,(10319) DK211,(10319) DK211,1118,2384,2718,2715,2819,2531,1939,1361,2705,2965,2864,2904,3092,1999,1153,2717,2910,2767,2705,2985,1999,917,933,3157,2943,3030,3086,2026,881,2387,2154,72864
