Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
,Reporte de Validaciones Zonales por Día,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Periodo Validaciones:,al 30 de Abril 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fuente:,FCS Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operador,Linea_FCS,Ruta_Consolidada,2026-04-01 00:00:00,2026-04-02 00:00:00,2026-04-03 00:00:00,2026-04-04 00:00:00,2026-04-05 00:00:00,2026-04-06 00:00:00,2026-04-07 00:00:00,2026-04-08 00:00:00,2026-04-09 00:00:00,2026-04-10 00:00:00,2026-04-11 00:00:00,2026-04-12 00:00:00,2026-04-13 00:00:00,2026-04-14 00:00:00,2026-04-15 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-18 00:00:00,2026-04-19 00:00:00,2026-04-20 00:00:00,2026-04-21 00:00:00,2026-04-22 00:00:00,2026-04-23 00:00:00,2026-04-24 00:00:00,2026-04-25 00:00:00,2026-04-26 00:00:00,2026-04-27 00:00:00,2026-04-28 00:00:00,2026-04-29 00:00:00,2026-04-30 00:00:00,2026-05-01 00:00:00,Total general
,(004) ESTE ES MI BUS,(10175) 193B,(10175) 193B,1542,617,397,739,595,2231,2365,2439,2200,2210,1210,685,2234,2369,2497,2378,2271,1317,705,2558,2332,2716,2240,2658,1182,771,2403,2299,2541,2544,,55245
,(004) ESTE ES MI BUS,(10287) 271,(10287) 271,4336,2566,2282,2899,2671,4112,4626,4876,4836,4749,4040,2992,5054,5536,5068,5117,4896,4605,2998,4811,5056,4983,5295,5085,3911,3074,5139,5660,5244,5062,,131579
,(004) ESTE ES MI BUS,(10298) 60,(10298) 60,7351,2267,1426,4056,2391,9868,10905,10209,10771,10691,6878,2857,9772,10879,11036,10729,10303,6625,2811,11079,11129,11101,10834,10538,7507,3116,10958,10972,10177,11259,,250495
,(004) ESTE ES MI BUS,(10301) FA405,(10301) FA405,908,231,189,271,232,1608,1515,1599,1811,1534,628,256,1689,1779,1791,1786,1508,640,226,1799,1676,1744,1803,1826,796,390,1550,1667,1652,1459,,36563
,(004) ESTE ES MI BUS,(10312) FF407,(10312) FF407,2031,737,475,923,632,2901,3059,3080,2894,2910,1694,770,3057,3260,3109,3118,2946,1774,797,3055,3234,3250,2974,2859,1774,823,3036,3234,3353,3039,,70798
,(004) ESTE ES MI BUS,(10313) 688,(10313) 688,1748,748,619,963,919,2266,2349,2323,2417,2428,1737,978,2235,2436,2427,2411,2279,1790,862,2562,2405,2283,2242,2298,1969,1081,2314,2464,2124,2394,,58071
,(004) ESTE ES MI BUS,(10314) T48,(10314) T48,2740,580,383,1084,545,3874,4137,4194,4300,4107,2298,672,4095,4197,4266,4137,3940,2418,683,4135,4245,4290,4169,4053,2371,824,4098,4144,4238,3888,,93105
,(004) ESTE ES MI BUS,(10316) FB419,(10316) FB419,7758,2833,2177,3500,3113,9014,9381,9494,9564,9642,5906,3719,9351,9187,9393,9506,9084,6211,3826,9438,9402,9393,9089,9161,6069,3875,9380,9523,9572,9344,,226905
,(004) ESTE ES MI BUS,(10317) FL422,(10317) FL422,3284,1437,1274,2052,1225,3720,3718,3439,3942,4059,3050,1789,4098,3583,3975,3718,3589,3298,1520,3481,3686,4257,3365,3836,3317,1625,3718,4198,4221,3921,,96395
,(004) ESTE ES MI BUS,(10319) DK211,(10319) DK211,1946,678,560,1034,678,2689,2896,2789,2939,2644,2078,1123,2843,3008,2939,2752,2835,1911,953,2719,2905,2946,2566,2766,2136,977,2594,2937,3000,2853,,67694
