Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
,Reporte de Validaciones Zonales por Día,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Periodo Validaciones:,al 31 de Mayo 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fuente:,FCS Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operador,Linea_FCS,Ruta_Consolidada,2026-05-01 00:00:00,2026-05-02 00:00:00,2026-05-03 00:00:00,2026-05-04 00:00:00,2026-05-05 00:00:00,2026-05-06 00:00:00,2026-05-07 00:00:00,2026-05-08 00:00:00,2026-05-09 00:00:00,2026-05-10 00:00:00,2026-05-11 00:00:00,2026-05-12 00:00:00,2026-05-13 00:00:00,2026-05-14 00:00:00,2026-05-15 00:00:00,2026-05-16 00:00:00,2026-05-17 00:00:00,2026-05-18 00:00:00,2026-05-19 00:00:00,2026-05-20 00:00:00,2026-05-21 00:00:00,2026-05-22 00:00:00,2026-05-23 00:00:00,2026-05-24 00:00:00,2026-05-25 00:00:00,2026-05-26 00:00:00,2026-05-27 00:00:00,2026-05-28 00:00:00,2026-05-29 00:00:00,2026-05-30 00:00:00,2026-05-31 00:00:00,Total general
,(004) ESTE ES MI BUS,(10175) 193B,(10175) 193B,692,989,719,2211,2590,2596,2758,2740,1178,777,2466,2869,2710,2349,2290,1128,644,694,2489,2603,2646,2418,1150,673,2715,2555,2743,2529,2525,1068,895,59409
,(004) ESTE ES MI BUS,(10287) 271,(10287) 271,2746,3644,3208,4923,5449,5082,5491,5206,4747,3347,4799,5267,4904,4864,4906,4346,2987,2697,5166,5287,5024,5229,4261,2827,4685,5267,4871,5355,5102,4596,3723,140006
,(004) ESTE ES MI BUS,(10298) 60,(10298) 60,3840,6081,3383,10831,10806,11248,10417,10547,7242,3035,10537,11359,10680,10571,10005,6600,2868,2619,10715,10047,10412,11043,6695,2654,9971,9860,10324,10366,10399,6486,3273,254914
,(004) ESTE ES MI BUS,(10301) FA405,(10301) FA405,482,572,386,1804,1664,1911,1754,1571,747,279,1802,1837,1910,1878,1486,601,235,249,1839,1662,1582,1662,647,274,1553,1520,1690,1756,1660,507,435,37955
,(004) ESTE ES MI BUS,(10312) FF407,(10312) FF407,784,1367,784,2997,2798,2941,2925,2720,1698,816,3000,2827,2952,3023,2847,1475,834,603,3059,3072,3031,2833,1654,711,2838,2966,2942,2857,2760,1632,972,68718
,(004) ESTE ES MI BUS,(10313) 688,(10313) 688,1098,1691,1136,2142,2288,2369,2472,2307,1886,882,2295,2401,2314,2385,2197,1563,1064,711,2114,2294,2252,2198,1680,936,2137,2323,2400,2211,2101,1695,1212,58754
,(004) ESTE ES MI BUS,(10314) T48,(10314) T48,1005,1845,712,3914,4256,4218,3955,4002,2269,728,4025,4125,4145,4164,3834,2120,743,645,4084,4097,4089,4082,2326,744,3960,4203,4182,4203,3972,2218,851,93716
,(004) ESTE ES MI BUS,(10316) FB419,(10316) FB419,4148,5375,3980,9819,9795,9695,9270,9345,6168,4057,9484,9955,9439,9194,9069,5410,3444,3242,9954,9722,9612,9475,6121,3812,9204,9723,9482,10205,9755,6021,4560,238535
,(004) ESTE ES MI BUS,(10317) FL422,(10317) FL422,1503,2846,1745,4034,3705,4001,4223,3321,2840,1670,3453,3909,4050,3949,3994,3265,1616,1470,4058,3639,4015,3742,3052,1638,3710,3717,3874,3697,3718,2896,1966,99316
,(004) ESTE ES MI BUS,(10319) DK211,(10319) DK211,1151,1737,1059,2587,2924,2726,2891,2601,1980,868,2847,3020,2851,2589,2730,1930,969,837,2839,2706,2708,2887,1901,996,3076,3150,3431,3332,2974,1982,1424,71703
