Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
,Reporte de Validaciones Zonales por Día,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Periodo Validaciones:,al 30 de Junio 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fuente:,FCS Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operador,Linea_FCS,Ruta_Consolidada,2026-06-01 00:00:00,2026-06-02 00:00:00,2026-06-03 00:00:00,2026-06-04 00:00:00,2026-06-05 00:00:00,2026-06-06 00:00:00,2026-06-07 00:00:00,2026-06-08 00:00:00,2026-06-09 00:00:00,2026-06-10 00:00:00,2026-06-11 00:00:00,2026-06-12 00:00:00,2026-06-13 00:00:00,2026-06-14 00:00:00,2026-06-15 00:00:00,2026-06-16 00:00:00,2026-06-17 00:00:00,2026-06-18 00:00:00,2026-06-19 00:00:00,2026-06-20 00:00:00,2026-06-21 00:00:00,2026-06-22 00:00:00,2026-06-23 00:00:00,2026-06-24 00:00:00,2026-06-25 00:00:00,2026-06-26 00:00:00,2026-06-27 00:00:00,2026-06-28 00:00:00,2026-06-29 00:00:00,2026-06-30 00:00:00,2026-07-01 00:00:00,Total general
,(004) ESTE ES MI BUS,(10175) 193B,(10175) 193B,2299,2288,2463,2375,2346,1057,626,613,2284,2296,2328,2416,1027,618,618,2548,2508,2409,2484,1222,792,2190,2392,2224,2067,2109,976,581,632,2383,,53171
,(004) ESTE ES MI BUS,(10287) 271,(10287) 271,4414,4672,4772,4604,4863,4086,2893,2285,4601,4647,4889,4815,4204,2889,2651,5164,5063,4821,4654,4038,3596,4427,4788,5001,4562,4908,3517,2414,2343,4717,,125298
,(004) ESTE ES MI BUS,(10298) 60,(10298) 60,9993,10645,10388,10443,10024,6384,2714,2344,10033,9210,9407,9773,6327,2820,2501,9994,9229,9397,8879,6399,3578,7506,7849,8752,7810,7618,5454,2402,2278,7958,,218109
,(004) ESTE ES MI BUS,(10301) FA405,(10301) FA405,1587,1579,1721,1575,1537,614,206,185,1621,1704,1565,1492,530,318,199,1636,1512,1456,1379,589,462,1269,1365,1349,1264,1201,525,252,203,1137,,32032
,(004) ESTE ES MI BUS,(10312) FF407,(10312) FF407,2844,2975,2856,2774,2771,1693,813,629,2940,3037,2891,2445,1574,678,634,2686,2653,2626,2656,1494,841,2303,2608,2519,2521,2386,1379,690,582,2518,,62016
,(004) ESTE ES MI BUS,(10313) 688,(10313) 688,2099,2158,2193,2068,2286,1678,976,620,2064,2370,2265,2028,1595,1042,678,2378,2187,1962,1812,1487,1110,1730,1898,1818,1932,1853,1356,930,652,1955,,51180
,(004) ESTE ES MI BUS,(10314) T48,(10314) T48,3966,3888,4175,4120,3930,2222,730,613,3886,4062,3998,3878,2044,812,605,3968,3961,3874,3680,2046,856,3311,3608,3545,3506,3329,1886,669,598,3386,,85152
,(004) ESTE ES MI BUS,(10316) FB419,(10316) FB419,9199,9902,10183,9739,9627,6164,3843,3636,9864,9796,9905,9114,5914,3967,3608,9176,9500,8824,8721,5969,5056,7877,8752,8520,8425,8702,5390,3179,3261,8530,,224343
,(004) ESTE ES MI BUS,(10317) FL422,(10317) FL422,3683,4123,3815,3856,3973,3234,2065,1447,3932,3983,3719,4039,3008,1888,1351,3544,3490,3475,3751,3086,1997,2881,3111,3164,2951,3172,3007,1265,1239,3076,,91325
,(004) ESTE ES MI BUS,(10319) DK211,(10319) DK211,3028,3172,3187,3164,3166,1808,1008,870,3296,3028,3138,3180,1995,918,954,3188,3152,2892,2934,1943,1409,2578,2841,2789,2849,2792,1646,932,861,2740,,71458
