Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
,Reporte de Validaciones Zonales por Día,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Periodo Validaciones:,al 31 de Julio 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fuente:,FCS Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operador,Linea_FCS,Ruta_Consolidada,2026-07-01 00:00:00,2026-07-02 00:00:00,2026-07-03 00:00:00,2026-07-04 00:00:00,2026-07-05 00:00:00,2026-07-06 00:00:00,2026-07-07 00:00:00,2026-07-08 00:00:00,2026-07-09 00:00:00,2026-07-10 00:00:00,2026-07-11 00:00:00,2026-07-12 00:00:00,2026-07-13 00:00:00,2026-07-14 00:00:00,2026-07-15 00:00:00,2026-07-16 00:00:00,2026-07-17 00:00:00,2026-07-18 00:00:00,2026-07-19 00:00:00,2026-07-20 00:00:00,2026-07-21 00:00:00,2026-07-22 00:00:00,2026-07-23 00:00:00,2026-07-24 00:00:00,2026-07-25 00:00:00,2026-07-26 00:00:00,2026-07-27 00:00:00,2026-07-28 00:00:00,2026-07-29 00:00:00,2026-07-30 00:00:00,2026-07-31 00:00:00,Total general
,(004) ESTE ES MI BUS,(10175) 193B,(10175) 193B,2276,2093,2359,1120,642,2423,2238,2338,2344,2356,1063,674,607,2528,2555,2573,2509,1038,588,550,2923,2821,2743,2558,1248,650,2731,2955,2911,2890,2826,62130
,(004) ESTE ES MI BUS,(10287) 271,(10287) 271,4574,4728,5192,3818,3087,5383,5547,5096,5393,5112,3956,2988,2680,5563,5506,5671,5247,3832,2712,2379,5238,5535,5429,5390,4142,3232,5589,5559,5807,5673,5510,145568
,(004) ESTE ES MI BUS,(10298) 60,(10298) 60,8393,8734,8066,5357,3050,8490,8415,8584,9193,8553,6231,2758,2508,8808,9155,9364,8775,6099,2549,2101,9451,8973,9011,9865,6548,2841,9466,9038,8898,10078,9799,229151
,(004) ESTE ES MI BUS,(10301) FA405,(10301) FA405,1278,1277,1186,502,224,1308,1146,1414,1303,1284,558,257,199,1554,1383,1398,1261,506,242,196,1600,1715,1677,1651,582,291,1701,1716,1701,1629,1441,34180
,(004) ESTE ES MI BUS,(10312) FF407,(10312) FF407,2611,2467,2456,1570,801,2591,2632,2737,2716,2660,1601,661,648,2855,2836,2756,2615,1488,661,581,2843,2909,2783,2632,1560,784,2862,2850,2739,2812,2690,67407
,(004) ESTE ES MI BUS,(10313) 688,(10313) 688,1943,1843,1904,1358,984,1861,1967,2054,1996,2004,1432,1116,691,2062,1974,1887,1922,1390,876,634,2470,2343,2460,2467,1618,772,2213,2179,2250,2219,2180,55069
,(004) ESTE ES MI BUS,(10314) T48,(10314) T48,3504,3449,3479,1913,820,3522,3383,3679,3750,3471,2037,730,677,3849,3652,3818,3714,1931,667,541,3847,3929,3886,3645,2188,773,3799,4022,4114,4055,3750,90594
,(004) ESTE ES MI BUS,(10316) FB419,(10316) FB419,8952,8679,8904,5919,3610,8649,9014,9067,9333,9222,5715,3583,3729,9720,9689,9582,9543,5863,3587,3392,9577,9577,9775,9216,6183,3924,9771,9280,9628,9208,9333,241224
,(004) ESTE ES MI BUS,(10317) FL422,(10317) FL422,3148,3062,3394,3074,1809,3437,3385,2986,3258,3567,3062,1912,1530,4189,3887,4295,4198,3173,1801,1424,4055,3873,4164,4009,3111,1791,3916,4134,4021,3694,4016,101375
,(004) ESTE ES MI BUS,(10319) DK211,(10319) DK211,2824,2943,2818,1638,1100,2956,2829,3053,2902,3120,1934,1086,1056,3402,3386,3133,3348,1965,1083,949,3372,3140,3526,3082,2127,1116,3010,3226,3337,3179,3095,79735
