Conceptos,Naturaleza,Cantidad,%
Adultos,Privada,5611.0,"37,00%"
Atención del Parto,Privada,36.0,"0,00%"
Cuna Básico Neonatal,Privada,82.0,"1,00%"
Cuna Intensiva Neonatal,Privada,32.0,"0,00%"
Cuna Intermedia Neonatal,Privada,24.0,"0,00%"
Incubadora Básico Neonatal,Privada,56.0,"0,00%"
Incubadora Intensiva Neonatal,Privada,157.0,"1,00%"
Incubadora Intermedia Neonatal,Privada,155.0,"1,00%"
Intensiva Adultos,Privada,843.0,"6,00%"
Intensiva Pediátrica,Privada,204.0,"1,00%"
Intensiva Quemado Adulto,Privada,10.0,"0,00%"
Intensiva Quemado pediátrica,Privada,3.0,"0,00%"
Intermedia Adultos,Privada,405.0,"3,00%"
Intermedia Pediátrica,Privada,74.0,"0,00%"
Paciente crónico con ventilador,Privada,154.0,"1,00%"
Paciente crónico sin ventilador,Privada,497.0,"3,00%"
Pediátrica,Privada,1052.0,"7,00%"
Salud Mental Adulto,Privada,1243.0,"8,00%"
Salud Mental Pediátrico,Privada,292.0,"2,00%"
SPA Adultos,Privada,117.0,"1,00%"
SPA Básico Adultos,Privada,276.0,"2,00%"
SPA Básico Pediátricos,Privada,24.0,"0,00%"
SPA Pediátricas,Privada,56.0,"0,00%"
Trabajo de Parto y Recuperación,Privada,29.0,"0,00%"
Adultos,Pública,2092.0,"14,00%"
Atención del Parto,Pública,216.0,"1,00%"
Cuna Básico Neonatal,Pública,96.0,"1,00%"
Cuna Intensiva Neonatal,Pública,19.0,"0,00%"
Cuna Intermedia Neonatal,Pública,23.0,"0,00%"
Incubadora Básico Neonatal,Pública,31.0,"0,00%"
Incubadora Intensiva Neonatal,Pública,61.0,"0,00%"
Incubadora Intermedia Neonatal,Pública,93.0,"1,00%"
Intensiva Adultos,Pública,234.0,"2,00%"
Intensiva Pediátrica,Pública,44.0,"0,00%"
Intensiva Quemado Adulto,Pública,18.0,"0,00%"
Intensiva Quemado pediátrica,Pública,13.0,"0,00%"
Intermedia Adultos,Pública,103.0,"1,00%"
Intermedia Pediátrica,Pública,21.0,"0,00%"
Paciente crónico con ventilador,Pública,,"0,00%"
Paciente crónico sin ventilador,Pública,17.0,"0,00%"
Pediátrica,Pública,431.0,"3,00%"
Salud Mental Adulto,Pública,300.0,"2,00%"
Salud Mental Pediátrico,Pública,16.0,"0,00%"
SPA Adultos,Pública,,"0,00%"
SPA Básico Adultos,Pública,,"0,00%"
SPA Básico Pediátricos,Pública,,"0,00%"
SPA Pediátricas,Pública,,"0,00%"
Trabajo de Parto y Recuperación,Pública,10.0,"0,00%"
Total,,15270.0,"100,00%"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
