codigo_localidad,localidad,atenciones_totales_sdis,beneficiarios_unicos_total_sdis,beneficiarios_transferencias_monetarias_img,atenciones_transferencias_img,beneficiarios_comedores_comunitarios,atenciones_comisarias_familia,beneficiarios_vejez_sdis,beneficiarios_infancia_sdis,atenciones_habitante_calle_sdis,beneficiarios_discapacidad_sdis,beneficiarios_victimas_sdis,beneficiarios_migrantes_sdis
01,USAQUEN,36587,1,1,21684,1,4138,1,1,110,1,1,1
02,CHAPINERO,10161,1,1,3821,1,1549,1,1,244,1,1,1
03,SANTA FE,26081,1,1,12758,1,1652,1,1,469,1,1,1
04,SAN CRISTOBAL,78989,1,1,51583,1,5144,1,1,698,1,1,1
05,USME,93579,1,1,64331,1,4900,1,1,89,1,1,1
06,TUNJUELITO,29278,1,1,18434,1,2474,1,1,113,1,1,1
07,BOSA,133673,1,1,95656,1,8107,1,1,143,1,1,1
08,KENNEDY,121075,1,1,79030,1,11872,1,1,225,1,1,1
09,FONTIBON,28504,1,1,14808,1,3825,1,1,173,1,1,1
10,ENGATIVA,72162,1,1,48721,1,7953,1,1,256,1,1,1
11,SUBA,100911,1,1,70747,1,9166,1,1,133,1,1,1
12,BARRIOS UNIDOS,10572,1,1,3966,1,1422,1,1,114,1,1,1
13,TEUSAQUILLO,3980,1,1,706,1,725,1,1,166,1,1,1
14,LOS MARTIRES,24810,1,1,5686,1,4566,1,1,5464,1,1,1
15,ANTONIO NARIÑO,10314,1,1,4253,1,1582,1,1,518,1,1,1
16,PUENTE ARANDA,19086,1,1,7633,1,2172,1,1,2664,1,1,1
17,LA CANDELARIA,15064,1,1,1315,1,699,1,1,349,1,1,1
18,RAFAEL URIBE URIBE,70030,1,1,48347,1,4006,1,1,201,1,1,1
19,CIUDAD BOLIVAR,152623,1,1,110521,1,8708,1,1,131,1,1,1
20,SUMAPAZ,2024,1,1,579,1,144,1,1,0,1,1,1
