codigo_upz,nombre_upz,codigo_localidad,atenciones_totales,beneficiarios_totales,atenciones_img,atenciones_comedores,atenciones_comisarias,atenciones_discapacidad,atenciones_victimas,atenciones_migrantes
001,PASEO DE LOS LIBERTADORES,01,237,1,237,0,0,15,6,19
009,VERBENAL,01,11074,1,9849,674,0,598,695,776
010,LA URIBE,01,9178,1,670,117,0,798,576,403
011,SAN CRISTOBAL NORTE,01,7930,1,7629,218,0,388,390,718
012,TOBERIN,01,1946,1,1467,0,0,111,109,234
013,LOS CEDROS,01,276,1,163,0,0,12,15,12
014,USAQUEN,01,475,1,475,0,0,35,10,15
015,COUNTRY CLUB,01,11,1,11,0,0,2,1,0
016,SANTA BARBARA,01,5,1,5,0,0,1,0,3
089,SAN ISIDRO PATIOS,01,2,1,2,0,0,1,0,0
088,EL REFUGIO,02,50,1,50,0,0,6,0,1
089,SAN ISIDRO PATIOS,02,1456,1,1067,270,0,80,80,107
090,PARDO RUBIO,02,3764,1,1871,117,0,191,220,370
097,CHICO LAGO,02,276,1,50,0,0,20,3,1
099,CHAPINERO,02,2215,1,123,269,0,233,257,196
998,NO APLICA,02,40,1,0,0,0,0,2,2
091,SAGRADO CORAZON,03,2661,1,93,0,0,93,388,31
092,LA MACARENA,03,1165,1,892,273,0,97,74,47
093,LAS NIEVES,03,1243,1,716,249,0,77,136,160
095,LAS CRUCES,03,8833,1,2545,779,0,910,609,546
096,LOURDES,03,9969,1,8399,520,0,574,400,441
032,SAN BLAS,04,13156,1,12637,192,0,847,740,405
033,SOSIEGO,04,6610,1,2656,287,0,558,412,218
034,DE JULIO,04,10566,1,8607,653,0,753,683,449
050,LA GLORIA,04,29566,1,14633,3396,0,2996,2781,617
051,LOS LIBERTADORES,04,13004,1,12107,514,0,809,817,296
095,LAS CRUCES,04,18,1,18,0,0,0,0,5
052,LA FLORA,05,5870,1,4933,574,0,326,469,152
056,DANUBIO,05,7226,1,6725,240,0,317,602,326
057,GRAN YOMASA,05,24091,1,20365,933,0,1271,2306,728
058,COMUNEROS,05,32041,1,16373,1132,0,2355,3517,659
059,ALFONSO LOPEZ,05,10833,1,10047,587,0,512,1286,333
060,PARQUE ENTRENUBES,05,406,1,305,0,0,19,80,24
061,CIUDAD USME,05,5065,1,4711,265,0,278,825,155
120,RIO TUNJUELO,05,93,1,0,0,0,0,4,4
042,VENECIA,06,19152,1,12340,1327,0,1741,1494,706
062,TUNJUELITO,06,7579,1,6094,582,0,417,517,426
049,APOGEO,07,3672,1,3294,212,0,205,291,190
084,BOSA OCCIDENTAL,07,30176,1,27995,1105,0,1567,2931,1338
085,BOSA CENTRAL,07,55261,1,33845,1776,0,4890,5358,1481
086,EL PORVENIR,07,21965,1,18344,928,0,1186,2972,797
087,TINTAL SUR,07,14094,1,12175,0,0,757,1247,506
044,AMERICAS,08,2537,1,2465,0,0,148,177,157
045,CARVAJAL,08,7222,1,6729,221,0,485,506,507
046,CASTILLA,08,4089,1,3761,148,0,245,235,346
047,KENNEDY CENTRAL,08,9721,1,4952,181,0,500,703,408
048,TIMIZA,08,13392,1,9094,152,0,683,755,500
051,LOS LIBERTADORES,08,175,1,0,175,0,19,16,6
078,TINTAL NORTE,08,169,1,169,0,0,8,8,19
079,CALANDAIMA,08,8577,1,7959,176,0,585,565,370
080,CORABASTOS,08,11220,1,10322,898,0,581,1443,1144
081,GRAN BRITALIA,08,12994,1,8287,197,0,542,819,3165
082,PATIO BONITO,08,36464,1,23103,1178,0,3455,4339,1897
083,LAS MARGARITAS,08,2127,1,2022,0,0,142,735,31
113,BAVARIA,08,404,1,167,0,0,36,14,11
075,FONTIBON,09,13954,1,7742,697,0,1365,791,827
076,FONTIBON SAN PABLO,09,5464,1,3533,379,0,216,351,316
077,ZONA FRANCA,09,3533,1,2983,139,0,227,192,193
110,CIUDAD SALITRE OCCIDENTAL,09,1153,1,24,0,0,9,59,986
112,GRANJAS DE TECHO,09,111,1,111,0,0,7,2,3
114,MODELIA,09,87,1,87,0,0,11,4,16
115,CAPELLANIA,09,327,1,327,0,0,15,23,40
117,AEROPUERTO EL DORADO,09,50,1,1,0,0,14,7,0
026,LAS FERIAS,10,6527,1,5976,197,0,414,385,452
