codigo_localidad,nombre_localidad,codigo_divipola,area_km2,poblacion,poblacion_hombres,poblacion_mujeres,poblacion_0_5,poblacion_6_11,poblacion_12_17,poblacion_5_17_anos,poblacion_18_59,poblacion_60_mas_anos,total_estaciones_troncales,total_paraderos_sitp,total_parques_idrd,total_camas_hospitalarias,camas_por_10000_habitantes,camas_uci_adultos,medicos_generales_por_1000_hab,vigencia,fuente,puntaje_promedio_saber_11,tasa_desercion_escolar_pct,relacion_estudiantes_por_docente,colegios_jornada_unica_pct,presupuesto_aprobado_millones,presupuesto_ejecutado_millones,porcentaje_ejecucion_fdl,proyectos_inversion_activos,presupuesto_social_sdis_millones,beneficiarios_transferencias_monetarias,comedores_comunitarios_activos,centros_cuidado_primera_infancia,total_votantes_pp,propuestas_ciudadanas_radicadas,propuestas_priorizadas_aprobadas,inversion_presupuesto_participativo_millones,eje_tematico_principal,localidad,atenciones_totales_sdis,beneficiarios_unicos_total_sdis,beneficiarios_transferencias_monetarias_img,atenciones_transferencias_img,beneficiarios_comedores_comunitarios,atenciones_comisarias_familia,beneficiarios_vejez_sdis,beneficiarios_infancia_sdis,atenciones_habitante_calle_sdis,beneficiarios_discapacidad_sdis,beneficiarios_victimas_sdis,beneficiarios_migrantes_sdis,cobertura_acueducto_pct,cobertura_alcantarillado_pct,consumo_promedio_m3_suscriptor,horas_interrupcion_promedio_mes,prestador_principal,irca_promedio,clasificacion_riesgo_irca,muestras_analizadas,total_luminarias,tecnologia_led_pct,fallas_reportadas_mes,tiempo_medio_reparacion_horas,penetracion_internet_fijo_pct,velocidad_promedio_bajada_mbps,zonas_wifi_publicas,total_pqr_recibidas,pqr_resueltas_a_tiempo_pct,tema_frecuente_1,tema_frecuente_2,tema_frecuente_3,homicidios_anual,hurto_a_personas_anual,hurto_a_comercio_anual,tasa_delitos_alto_impacto_por_100k_hab,tiempo_medio_respuesta_cuadrante_min,ocupados_trabajan_en_su_localidad_pct,ocupados_conmutan_a_otras_localidades_pct,conmutacion_hacia_centro_ampliado_pct,tiempo_promedio_desplazamiento_laboral_min,modo_transporte_principal_trabajo,ingreso_laboral_promedio_ocupados_cop,tasa_informalidad_laboral_pct,tasa_desempleo_pct,poblacion_en_edad_trabajar_estimada,inversion_educacion_asignada_cop,inversion_educacion_ejecutada_cop,inversion_educacion_girada_cop,densidad_poblacional,camas_por_10k_hab_calc,paraderos_por_10k_hab,parques_por_10k_hab,luminarias_por_km2,luminarias_por_10k_hab,tasa_beneficiarios_transferencias_pct,tasa_transferencias_img_por_10k_hab,comedores_por_10k_hab,tasa_atenciones_sdis_por_10k_hab,tasa_comisarias_por_10k_hab,tasa_votantes_pp_por_10k_hab,propuestas_ciudadanas_por_10k_hab,inversion_pp_per_capita_cop,inversion_fdl_per_capita_millones,inversion_fdl_per_capita_cop,inversion_social_sdis_per_capita_cop,inversion_educacion_per_capita_cop,inversion_educacion_ejecutada_millones,inversion_total_consolidada_per_capita_cop,tasa_homicidios_por_100k_hab_calc,pqr_por_10k_hab
1,USAQUEN,1100101,65.31,602412,276385,326027,36624,36580,35582,78129,366470,127156,10,698,5,1850,42.5,333,6.38,2024-2025,Secretaría Distrital de Salud (SaluData) / REPS,298.5,1.8,18.2,65.0,85400,81200,95.08,26,12025.0,1,3,6,7500,79,19,7989.5,Seguridad y cultura,USAQUEN,36587,1,1,21684,1,4138,1,1,110,1,1,1,99.9,99.7,14.2,0.2,EAAB - ESP,0.45,Sin Riesgo (Apta),120,32450,98.8,389,36.5,89.5,120.5,8,8420,88.5,Ruido y espacio público,Aseo y basuras,Seguridad y convivencia,18,5420,310,48.5,8.5,38.5,61.5,25.4,42.0,A pie / Auto / SITP,3650000,24.5,7.8,657000,163103163894.33,156192285339.33,129410855984.33,9223.886081763894,30.7098796172719,11.586754579922047,0.0829996746412754,496.86,538.67,0.0,359.95,0.02,607.34,68.69,124.5,1.31,13263.0,0.13479147161743127,134791.0,19961.0,259278.0,156192.29,427293.0,2.9879882870859147,139.7714520959078
2,CHAPINERO,1100102,38.0,184757,88782,95975,13094,9935,8152,20087,119895,33681,9,333,3,2120,68.4,381,10.26,2024-2025,Secretaría Distrital de Salud (SaluData) / REPS,308.2,1.4,18.2,65.0,62300,59800,95.99,19,12025.0,1,3,6,3200,33,8,3364.0,Seguridad y cultura,CHAPINERO,10161,1,1,3821,1,1549,1,1,244,1,1,1,99.9,99.8,13.8,0.1,EAAB - ESP,0.45,Sin Riesgo (Apta),120,21200,99.1,254,36.5,92.4,120.5,8,6950,91.2,Ruido y espacio público,Aseo y basuras,Seguridad y convivencia,12,6890,480,72.1,8.5,52.1,47.9,12.0,32.0,A pie / Auto / SITP,4200000,18.2,6.9,756000,27528720049.0,25674170927.0,23426202600.0,4862.026315789473,114.74531411529739,18.023674339808505,0.16237544450277933,557.89,1147.45,0.0,206.81,0.05,549.97,83.84,173.2,1.79,18208.0,0.32366838604220677,323668.0,65085.0,138962.0,25674.17,545923.0,6.495017780111173,376.1697797647721
3,SANTA FE,1100103,37.92,107851,52530,55321,11507,8045,7098,17173,66839,14362,14,194,8,1420,58.2,255,8.73,2024-2025,Secretaría Distrital de Salud (SaluData) / REPS,262.4,3.8,18.2,65.0,54200,51600,95.2,16,12025.0,1,3,6,3200,33,8,3364.0,Seguridad y cultura,SANTA FE,26081,1,1,12758,1,1652,1,1,469,1,1,1,99.8,99.6,12.5,0.3,EAAB - ESP,0.85,Sin Riesgo (Apta),120,14500,97.9,174,36.5,68.2,65.0,14,4820,84.1,Ruido y espacio público,Aseo y basuras,Seguridad y convivencia,38,4950,390,88.4,22.0,48.0,52.0,15.0,34.0,A pie / Auto / SITP,1950000,48.2,11.4,351000,67928258674.0,62962890763.0,57665466719.0,2844.17194092827,131.66312783377066,17.987779436444725,0.7417641004719474,382.38,1344.45,0.0,1182.93,0.09,2418.24,153.17,296.71,3.06,31191.0,0.4784378448044061,478438.0,111496.0,583795.0,62962.89,1204920.0,35.2337947724175,446.9128705343483
4,SAN CRISTOBAL,1100104,49.09,411570,197892,213678,39700,31760,32111,69823,245961,62038,3,408,7,420,12.1,75,1.81,2024-2025,Secretaría Distrital de Salud (SaluData) / REPS,248.5,4.2,24.5,42.5,98400,92100,93.6,30,27750.0,1,8,6,7500,79,19,7989.5,Malla vial y espacio público,SAN CRISTOBAL,78989,1,1,51583,1,5144,1,1,698,1,1,1,99.4,98.9,11.2,0.8,EAAB - ESP,0.85,Sin Riesgo (Apta),120,26800,96.5,321,36.5,52.4,65.0,14,7150,79.5,Malla vial y huecos,Aseo y basuras,Seguridad y convivencia,64,4120,240,58.2,22.0,18.5,81.5,56.2,68.0,SITP / TransMilenio,1520000,54.8,13.2,273600,314495684173.0,292819514698.0,270410060358.0,8383.98859238134,10.20482542459363,9.913258983890955,0.17008042374322715,545.94,651.17,0.0,1253.32,0.02,1919.21,124.98,182.23,1.92,19412.0,0.22377724323930315,223777.0,67425.0,711470.0,292819.51,1022084.0,15.55021017080934,173.72500425201062
5,USME,1100105,69.13,422489,209923,212566,46190,36134,36601,79421,249709,53855,2,327,7,280,8.4,50,1.26,2024-2025,Secretaría Distrital de Salud (SaluData) / REPS,242.1,4.9,24.5,42.5,112500,104200,92.62,35,27750.0,1,8,6,7500,79,19,7989.5,Malla vial y espacio público,USME,93579,1,1,64331,1,4900,1,1,89,1,1,1,97.5,94.2,10.5,2.1,EAAB - ESP,2.1,Sin Riesgo (Apta),120,22100,94.2,265,58.0,41.5,25.0,14,8920,76.2,Malla vial y huecos,Aseo y basuras,Seguridad y convivencia,58,3210,180,52.4,22.0,14.2,85.8,62.4,82.0,SITP / TransMilenio,1380000,59.2,14.5,248400,439111388537.0,411372868865.0,379902031054.0,6111.514537827283,6.62739148238179,7.7398464812101615,0.16568478705954476,319.69,523.09,0.0,1522.67,0.02,2214.95,115.98,177.52,1.87,18911.0,0.24663364016577946,246634.0,65682.0,973689.0,411372.87,1304916.0,13.728168070647992,211.12975722444847
6,TUNJUELITO,1100106,23.6,186127,92882,93245,19578,13330,12998,29068,111348,28873,4,192,3,380,14.5,68,2.17,2024-2025,Secretaría Distrital de Salud (SaluData) / REPS,256.4,3.4,24.5,65.0,71300,68500,96.07,22,12025.0,1,3,6,3200,33,8,3364.0,Seguridad y cultura,TUNJUELITO,29278,1,1,18434,1,2474,1,1,113,1,1,1,99.8,99.5,12.0,0.4,EAAB - ESP,0.85,Sin Riesgo (Apta),120,18900,98.4,226,36.5,64.2,65.0,14,5640,82.4,Ruido y espacio público,Aseo y basuras,Seguridad y convivencia,34,3850,260,56.8,22.0,22.1,77.9,48.5,58.0,A pie / Auto / SITP,1680000,49.5,11.8,302400,184687407861.0,177153009696.0,168040786057.0,7886.737288135593,20.416167455554543,10.315537240701241,0.1611802693859569,800.85,1015.44,0.0,990.4,0.05,1573.01,132.92,171.93,1.77,18074.0,0.3680282817646016,368028.0,64606.0,951786.0,177153.01,1402494.0,18.267097197075117,303.018906445599
7,BOSA,1100107,23.93,737647,355056,382591,56160,61274,62559,133655,467015,90639,5,485,11,310,6.8,55,1.02,2024-2025,Secretaría Distrital de Salud (SaluData) / REPS,251.2,3.9,24.5,65.0,138900,131200,94.46,43,46250.0,1,8,14,12500,134,32,13456.0,Malla vial y espacio público,BOSA,133673,1,1,95656,1,8107,1,1,143,1,1,1,99.6,99.1,11.8,0.6,EAAB - ESP,0.85,Sin Riesgo (Apta),120,34100,96.8,409,36.5,56.8,65.0,14,14200,78.9,Malla vial y huecos,Aseo y basuras,Seguridad y convivencia,92,8450,520,64.2,14.2,16.8,83.2,58.4,76.0,SITP / TransMilenio,1540000,52.4,12.8,277200,656400101161.67,636534232652.67,610200517768.67,30825.198495612203,4.202552169262534,6.574960651910739,0.1491228189093157,1424.99,462.28,0.0,1296.77,0.01,1812.15,109.9,169.46,1.82,18242.0,0.1778628530991111,177863.0,62699.0,862925.0,636534.23,1121729.0,12.472090308779133,192.50400259202573
8,KENNEDY,1100108,38.59,1041286,506349,534937,48145,76413,79664,166375,671129,165935,10,926,13,1450,19.8,261,2.97,2024-2025,Secretaría Distrital de Salud (SaluData) / REPS,258.4,3.5,24.5,65.0,175400,166800,95.1,54,46250.0,1,8,14,12500,134,32,13456.0,Seguridad y cultura,KENNEDY,121075,1,1,79030,1,11872,1,1,225,1,1,1,99.7,99.4,12.4,0.5,EAAB - ESP,0.85,Sin Riesgo (Apta),120,45600,97.5,547,36.5,65.4,65.0,14,18900,80.2,Malla vial y huecos,Aseo y basuras,Seguridad y convivencia,145,12800,890,78.5,14.2,24.5,75.5,49.2,64.0,SITP / TransMilenio,1720000,47.8,11.9,309600,423314241757.14,395817312502.14,362686607974.14,26983.311738792432,13.925088784445387,8.89284980303202,0.12484562358468279,1181.65,437.92,0.0,758.97,0.01,1162.74,114.01,120.04,1.29,12922.0,0.16018653856865453,160187.0,44416.0,380124.0,395817.31,597649.0,13.925088784445387,181.50632967311574
9,FONTIBON,1100109,35.88,411638,191220,220418,25327,25300,26682,55875,262247,72082,2,388,5,890,24.5,160,3.67,2024-2025,Secretaría Distrital de Salud (SaluData) / REPS,282.5,2.4,18.2,65.0,88200,84600,95.92,27,12025.0,1,3,6,3200,33,8,3364.0,Seguridad y cultura,FONTIBON,28504,1,1,14808,1,3825,1,1,173,1,1,1,99.9,99.7,13.5,0.2,EAAB - ESP,0.45,Sin Riesgo (Apta),120,28900,98.9,346,36.5,82.1,120.5,8,8210,89.4,Ruido y espacio público,Aseo y basuras,Seguridad y convivencia,24,4980,340,51.2,22.0,44.2,55.8,28.5,40.0,A pie / Auto / SITP,2450000,32.4,8.8,441000,148337770077.0,140720275609.0,132252998603.0,11472.63099219621,21.620938786020726,9.425757583119148,0.1214659482360715,805.46,702.07,0.0,359.73,0.02,692.45,92.92,77.74,0.8,8172.0,0.20552038441543297,205520.0,29213.0,341854.0,140720.28,584759.0,5.830365515331432,199.4470870036294
10,ENGATIVA,1100110,35.88,822369,390495,431874,35593,51372,54431,112734,525703,155270,12,784,13,1120,18.2,201,2.73,2024-2025,Secretaría Distrital de Salud (SaluData) / REPS,274.1,2.6,18.2,65.0,124500,119800,96.22,38,27750.0,1,3,6,7500,79,19,7989.5,Seguridad y cultura,ENGATIVA,72162,1,1,48721,1,7953,1,1,256,1,1,1,99.9,99.7,13.1,0.3,EAAB - ESP,0.85,Sin Riesgo (Apta),120,43200,98.7,518,36.5,78.4,65.0,8,14500,86.8,Malla vial y huecos,Aseo y basuras,Seguridad y convivencia,68,9210,580,61.4,14.2,31.2,68.8,42.1,54.0,A pie / Auto / SITP,2150000,36.8,9.4,387000,390116370396.33,368681770344.33,333030440393.33,22919.98327759197,13.619190412089951,9.533433288462964,0.15807988871175835,1204.01,525.31,0.0,592.45,0.01,877.49,96.71,91.2,0.96,9715.0,0.145676697443605,145677.0,33744.0,448317.0,368681.77,637453.0,8.268794178768898,176.3198758708074
