codigo_localidad,nombre_localidad,codigo_divipola,cobertura_acueducto_pct,cobertura_alcantarillado_pct,horas_interrupcion_promedio_mes,presupuesto_ejecutado_millones,porcentaje_ejecucion_fdl,ocupados_trabajan_en_su_localidad_pct,tiempo_promedio_desplazamiento_laboral_min,ingreso_laboral_promedio_ocupados_cop,tasa_informalidad_laboral_pct,tasa_desempleo_pct,tasa_delitos_alto_impacto_por_100k_hab,homicidios_anual,total_pqr_recibidas,pqr_resueltas_a_tiempo_pct,camas_por_10000_habitantes,puntaje_promedio_saber_11,tasa_desercion_escolar_pct,IPT_MULTIDIMENSIONAL,RANKING_PRIORIDAD,NIVEL_PRIORIDAD
1,Usaquén,1100101,99.9,99.7,0.2,81200,95.08,38.5,42.0,3650000,24.5,7.8,48.5,18,8420,88.5,42.5,298.5,1.8,21.97,18,Baja Prioridad
2,Chapinero,1100102,99.9,99.8,0.1,59800,95.99,52.1,32.0,4200000,18.2,6.9,72.1,12,6950,91.2,68.4,308.2,1.4,14.97,19,Baja Prioridad
3,Santa Fe,1100103,99.8,99.6,0.3,51600,95.2,48.0,34.0,1950000,48.2,11.4,88.4,38,4820,84.1,58.2,262.4,3.8,38.84,12,Prioridad Moderada
4,San Cristóbal,1100104,99.4,98.9,0.8,92100,93.6,18.5,68.0,1520000,54.8,13.2,58.2,64,7150,79.5,12.1,248.5,4.2,54.87,7,Alta Prioridad
5,Usme,1100105,97.5,94.2,2.1,104200,92.62,14.2,82.0,1380000,59.2,14.5,52.4,58,8920,76.2,8.4,242.1,4.9,65.71,3,Alta Prioridad
6,Tunjuelito,1100106,99.8,99.5,0.4,68500,96.07,22.1,58.0,1680000,49.5,11.8,56.8,34,5640,82.4,14.5,256.4,3.4,46.32,8,Prioridad Moderada
7,Bosa,1100107,99.6,99.1,0.6,131200,94.46,16.8,76.0,1540000,52.4,12.8,64.2,92,14200,78.9,6.8,251.2,3.9,59.65,4,Alta Prioridad
8,Kennedy,1100108,99.7,99.4,0.5,166800,95.1,24.5,64.0,1720000,47.8,11.9,78.5,145,18900,80.2,19.8,258.4,3.5,56.78,6,Alta Prioridad
9,Fontibón,1100109,99.9,99.7,0.2,84600,95.92,44.2,40.0,2450000,32.4,8.8,51.2,24,8210,89.4,24.5,282.5,2.4,30.18,16,Prioridad Moderada
10,Engativá,1100110,99.9,99.7,0.3,119800,96.22,31.2,54.0,2150000,36.8,9.4,61.4,68,14500,86.8,18.2,274.1,2.6,41.91,10,Prioridad Moderada
11,Suba,1100111,99.8,99.6,0.4,161400,95.67,36.4,58.0,2850000,31.2,8.9,59.8,74,19800,87.5,15.4,289.4,2.2,41.75,11,Prioridad Moderada
12,Barrios Unidos,1100112,99.9,99.8,0.2,62100,96.28,46.2,36.0,2650000,28.5,8.2,49.5,16,6420,92.1,48.5,284.2,2.3,22.53,17,Baja Prioridad
13,Teusaquillo,1100113,99.9,99.8,0.1,59100,96.57,54.8,30.0,3850000,20.4,7.1,44.1,9,6120,94.2,62.4,304.5,1.5,11.78,20,Baja Prioridad
14,Los Mártires,1100114,99.8,99.5,0.3,53900,94.89,42.1,38.0,1780000,51.2,12.1,94.2,48,4950,81.5,52.1,255.4,3.6,43.45,9,Prioridad Moderada
15,Antonio Nariño,1100115,99.9,99.7,0.2,56400,95.76,28.4,45.0,2050000,41.5,9.8,54.2,22,5120,85.4,28.5,268.2,2.9,35.06,14,Prioridad Moderada
16,Puente Aranda,1100116,99.9,99.8,0.2,79200,96.12,45.6,38.0,2350000,33.8,8.9,52.8,28,7450,88.9,18.4,272.5,2.7,32.41,15,Prioridad Moderada
17,La Candelaria,1100117,99.9,99.7,0.2,36800,95.58,49.1,32.0,2100000,44.2,10.5,76.4,8,2150,89.5,25.0,269.4,2.8,36.41,13,Prioridad Moderada
18,Rafael Uribe Uribe,1100118,99.3,98.7,0.9,102400,94.29,19.4,65.0,1490000,56.4,13.8,66.5,78,9850,77.8,9.8,246.8,4.5,59.04,5,Alta Prioridad
19,Ciudad Bolívar,1100119,97.8,95.1,1.8,154800,94.28,15.1,85.0,1340000,62.1,15.2,82.1,182,16400,74.5,7.2,239.5,5.2,76.31,1,Prioridad Crítica
20,Sumapaz,1100120,82.4,68.5,4.5,63200,92.26,68.5,110.0,1280000,65.4,9.2,4.2,2,680,82.0,3.5,244.2,4.1,72.49,2,Prioridad Crítica
