ANO;CODIGO_LOCALIDAD;NOMBRE_LOCALIDAD;SEXO;EDAD;CURSODEVIDA;GRUPOEDAD;POBLACION
2005;0;Bogotá;Hombres;6;Infancia;00 a 11;67184
2005;0;Bogotá;Hombres;7;Infancia;00 a 11;68940
2005;0;Bogotá;Hombres;8;Infancia;00 a 11;70568
2005;0;Bogotá;Hombres;9;Infancia;00 a 11;71189
2005;0;Bogotá;Hombres;10;Infancia;00 a 11;70398
2005;0;Bogotá;Hombres;11;Infancia;00 a 11;68703
2005;1;Usaquén;Hombres;6;Infancia;00 a 11;3309
2005;1;Usaquén;Hombres;7;Infancia;00 a 11;3493
2005;1;Usaquén;Hombres;8;Infancia;00 a 11;3619
2005;1;Usaquén;Hombres;9;Infancia;00 a 11;3503
2005;1;Usaquén;Hombres;10;Infancia;00 a 11;3617
2005;1;Usaquén;Hombres;11;Infancia;00 a 11;3392
2005;2;Chapinero;Hombres;6;Infancia;00 a 11;616
2005;2;Chapinero;Hombres;7;Infancia;00 a 11;732
2005;2;Chapinero;Hombres;8;Infancia;00 a 11;750
2005;2;Chapinero;Hombres;9;Infancia;00 a 11;725
2005;2;Chapinero;Hombres;10;Infancia;00 a 11;710
2005;2;Chapinero;Hombres;11;Infancia;00 a 11;705
2005;3;Santa Fe;Hombres;6;Infancia;00 a 11;936
2005;3;Santa Fe;Hombres;7;Infancia;00 a 11;1006
2005;3;Santa Fe;Hombres;8;Infancia;00 a 11;1001
2005;3;Santa Fe;Hombres;9;Infancia;00 a 11;963
2005;3;Santa Fe;Hombres;10;Infancia;00 a 11;1013
2005;3;Santa Fe;Hombres;11;Infancia;00 a 11;985
2005;4;San Cristóbal;Hombres;6;Infancia;00 a 11;4450
2005;4;San Cristóbal;Hombres;7;Infancia;00 a 11;4641
2005;4;San Cristóbal;Hombres;8;Infancia;00 a 11;4695
2005;4;San Cristóbal;Hombres;9;Infancia;00 a 11;4752
2005;4;San Cristóbal;Hombres;10;Infancia;00 a 11;4939
2005;4;San Cristóbal;Hombres;11;Infancia;00 a 11;4573
2005;5;Usme;Hombres;6;Infancia;00 a 11;3698
2005;5;Usme;Hombres;7;Infancia;00 a 11;3825
2005;5;Usme;Hombres;8;Infancia;00 a 11;3826
2005;5;Usme;Hombres;9;Infancia;00 a 11;3972
2005;5;Usme;Hombres;10;Infancia;00 a 11;3990
2005;5;Usme;Hombres;11;Infancia;00 a 11;3770
2005;6;Tunjuelito;Hombres;6;Infancia;00 a 11;1891
2005;6;Tunjuelito;Hombres;7;Infancia;00 a 11;1856
2005;6;Tunjuelito;Hombres;8;Infancia;00 a 11;1971
2005;6;Tunjuelito;Hombres;9;Infancia;00 a 11;2046
2005;6;Tunjuelito;Hombres;10;Infancia;00 a 11;1944
2005;6;Tunjuelito;Hombres;11;Infancia;00 a 11;1920
2005;7;Bosa;Hombres;6;Infancia;00 a 11;6124
2005;7;Bosa;Hombres;7;Infancia;00 a 11;6027
2005;7;Bosa;Hombres;8;Infancia;00 a 11;6320
2005;7;Bosa;Hombres;9;Infancia;00 a 11;6429
2005;7;Bosa;Hombres;10;Infancia;00 a 11;6018
2005;7;Bosa;Hombres;11;Infancia;00 a 11;6033
2005;8;Kennedy;Hombres;6;Infancia;00 a 11;9466
2005;8;Kennedy;Hombres;7;Infancia;00 a 11;9852
2005;8;Kennedy;Hombres;8;Infancia;00 a 11;10292
2005;8;Kennedy;Hombres;9;Infancia;00 a 11;10165
2005;8;Kennedy;Hombres;10;Infancia;00 a 11;9909
2005;8;Kennedy;Hombres;11;Infancia;00 a 11;9895
2005;9;Fontibón;Hombres;6;Infancia;00 a 11;2721
2005;9;Fontibón;Hombres;7;Infancia;00 a 11;2859
2005;9;Fontibón;Hombres;8;Infancia;00 a 11;2953
2005;9;Fontibón;Hombres;9;Infancia;00 a 11;3040
2005;9;Fontibón;Hombres;10;Infancia;00 a 11;2930
2005;9;Fontibón;Hombres;11;Infancia;00 a 11;2872
2005;10;Engativá;Hombres;6;Infancia;00 a 11;7354
2005;10;Engativá;Hombres;7;Infancia;00 a 11;7303
2005;10;Engativá;Hombres;8;Infancia;00 a 11;7646
2005;10;Engativá;Hombres;9;Infancia;00 a 11;7667
2005;10;Engativá;Hombres;10;Infancia;00 a 11;7535
2005;10;Engativá;Hombres;11;Infancia;00 a 11;7453
2005;11;Suba;Hombres;6;Infancia;00 a 11;8841
2005;11;Suba;Hombres;7;Infancia;00 a 11;9207
2005;11;Suba;Hombres;8;Infancia;00 a 11;9184
2005;11;Suba;Hombres;9;Infancia;00 a 11;9294
2005;11;Suba;Hombres;10;Infancia;00 a 11;9337
2005;11;Suba;Hombres;11;Infancia;00 a 11;9017
2005;12;Barrios Unidos;Hombres;6;Infancia;00 a 11;1963
2005;12;Barrios Unidos;Hombres;7;Infancia;00 a 11;1750
2005;12;Barrios Unidos;Hombres;8;Infancia;00 a 11;1648
2005;12;Barrios Unidos;Hombres;9;Infancia;00 a 11;1718
2005;12;Barrios Unidos;Hombres;10;Infancia;00 a 11;1819
2005;12;Barrios Unidos;Hombres;11;Infancia;00 a 11;1682
2005;13;Teusaquillo;Hombres;6;Infancia;00 a 11;783
2005;13;Teusaquillo;Hombres;7;Infancia;00 a 11;807
2005;13;Teusaquillo;Hombres;8;Infancia;00 a 11;818
2005;13;Teusaquillo;Hombres;9;Infancia;00 a 11;881
2005;13;Teusaquillo;Hombres;10;Infancia;00 a 11;835
2005;13;Teusaquillo;Hombres;11;Infancia;00 a 11;856
2005;14;Los Mártires;Hombres;6;Infancia;00 a 11;774
2005;14;Los Mártires;Hombres;7;Infancia;00 a 11;778
2005;14;Los Mártires;Hombres;8;Infancia;00 a 11;802
2005;14;Los Mártires;Hombres;9;Infancia;00 a 11;781
2005;14;Los Mártires;Hombres;10;Infancia;00 a 11;841
2005;14;Los Mártires;Hombres;11;Infancia;00 a 11;896
2005;15;Antonio Nariño;Hombres;6;Infancia;00 a 11;1041
2005;15;Antonio Nariño;Hombres;7;Infancia;00 a 11;1083
