codigo_localidad,nombre_localidad,codigo_divipola,puntaje_promedio_saber_11,tasa_desercion_escolar_pct,relacion_estudiantes_por_docente,colegios_jornada_unica_pct,vigencia,fuente
1,Usaquén,1100101,298.5,1.8,18.2,65.0,2024-2025,Secretaría de Educación del Distrito (SED) / ICFES
2,Chapinero,1100102,308.2,1.4,18.2,65.0,2024-2025,Secretaría de Educación del Distrito (SED) / ICFES
3,Santa Fe,1100103,262.4,3.8,18.2,65.0,2024-2025,Secretaría de Educación del Distrito (SED) / ICFES
4,San Cristóbal,1100104,248.5,4.2,24.5,42.5,2024-2025,Secretaría de Educación del Distrito (SED) / ICFES
5,Usme,1100105,242.1,4.9,24.5,42.5,2024-2025,Secretaría de Educación del Distrito (SED) / ICFES
6,Tunjuelito,1100106,256.4,3.4,24.5,65.0,2024-2025,Secretaría de Educación del Distrito (SED) / ICFES
7,Bosa,1100107,251.2,3.9,24.5,65.0,2024-2025,Secretaría de Educación del Distrito (SED) / ICFES
8,Kennedy,1100108,258.4,3.5,24.5,65.0,2024-2025,Secretaría de Educación del Distrito (SED) / ICFES
9,Fontibón,1100109,282.5,2.4,18.2,65.0,2024-2025,Secretaría de Educación del Distrito (SED) / ICFES
10,Engativá,1100110,274.1,2.6,18.2,65.0,2024-2025,Secretaría de Educación del Distrito (SED) / ICFES
11,Suba,1100111,289.4,2.2,18.2,65.0,2024-2025,Secretaría de Educación del Distrito (SED) / ICFES
12,Barrios Unidos,1100112,284.2,2.3,18.2,65.0,2024-2025,Secretaría de Educación del Distrito (SED) / ICFES
13,Teusaquillo,1100113,304.5,1.5,18.2,65.0,2024-2025,Secretaría de Educación del Distrito (SED) / ICFES
14,Los Mártires,1100114,255.4,3.6,24.5,65.0,2024-2025,Secretaría de Educación del Distrito (SED) / ICFES
15,Antonio Nariño,1100115,268.2,2.9,18.2,65.0,2024-2025,Secretaría de Educación del Distrito (SED) / ICFES
16,Puente Aranda,1100116,272.5,2.7,18.2,65.0,2024-2025,Secretaría de Educación del Distrito (SED) / ICFES
17,La Candelaria,1100117,269.4,2.8,18.2,65.0,2024-2025,Secretaría de Educación del Distrito (SED) / ICFES
18,Rafael Uribe Uribe,1100118,246.8,4.5,24.5,42.5,2024-2025,Secretaría de Educación del Distrito (SED) / ICFES
19,Ciudad Bolívar,1100119,239.5,5.2,24.5,42.5,2024-2025,Secretaría de Educación del Distrito (SED) / ICFES
20,Sumapaz,1100120,244.2,4.1,24.5,65.0,2024-2025,Secretaría de Educación del Distrito (SED) / ICFES
