codigo_localidad,nombre_localidad,codigo_divipola,presupuesto_social_sdis_millones,beneficiarios_transferencias_monetarias,comedores_comunitarios_activos,centros_cuidado_primera_infancia,vigencia,fuente
1,Usaquén,1100101,12025.0,4225,3,6,2024-2025,Secretaría Distrital de Integración Social (SDIS)
2,Chapinero,1100102,12025.0,4225,3,6,2024-2025,Secretaría Distrital de Integración Social (SDIS)
3,Santa Fe,1100103,12025.0,4225,3,6,2024-2025,Secretaría Distrital de Integración Social (SDIS)
4,San Cristóbal,1100104,27750.0,9750,8,6,2024-2025,Secretaría Distrital de Integración Social (SDIS)
5,Usme,1100105,27750.0,9750,8,6,2024-2025,Secretaría Distrital de Integración Social (SDIS)
6,Tunjuelito,1100106,12025.0,4225,3,6,2024-2025,Secretaría Distrital de Integración Social (SDIS)
7,Bosa,1100107,46250.0,16250,8,14,2024-2025,Secretaría Distrital de Integración Social (SDIS)
8,Kennedy,1100108,46250.0,16250,8,14,2024-2025,Secretaría Distrital de Integración Social (SDIS)
9,Fontibón,1100109,12025.0,4225,3,6,2024-2025,Secretaría Distrital de Integración Social (SDIS)
10,Engativá,1100110,27750.0,9750,3,6,2024-2025,Secretaría Distrital de Integración Social (SDIS)
11,Suba,1100111,46250.0,16250,3,14,2024-2025,Secretaría Distrital de Integración Social (SDIS)
12,Barrios Unidos,1100112,12025.0,4225,3,6,2024-2025,Secretaría Distrital de Integración Social (SDIS)
13,Teusaquillo,1100113,12025.0,4225,3,6,2024-2025,Secretaría Distrital de Integración Social (SDIS)
14,Los Mártires,1100114,12025.0,4225,3,6,2024-2025,Secretaría Distrital de Integración Social (SDIS)
15,Antonio Nariño,1100115,12025.0,4225,3,6,2024-2025,Secretaría Distrital de Integración Social (SDIS)
16,Puente Aranda,1100116,12025.0,4225,3,6,2024-2025,Secretaría Distrital de Integración Social (SDIS)
17,La Candelaria,1100117,12025.0,4225,3,6,2024-2025,Secretaría Distrital de Integración Social (SDIS)
18,Rafael Uribe Uribe,1100118,27750.0,9750,8,6,2024-2025,Secretaría Distrital de Integración Social (SDIS)
19,Ciudad Bolívar,1100119,46250.0,16250,8,14,2024-2025,Secretaría Distrital de Integración Social (SDIS)
20,Sumapaz,1100120,12025.0,4225,3,6,2024-2025,Secretaría Distrital de Integración Social (SDIS)
