codigo_localidad,nombre_localidad,numero_vendedores,porcentaje,fecha_corte,archivo_origen
1,Usaquén,605,0.01197,2017-06-30,rivi-numero-vendedores-informales-localidad-2017-06-30.txt
2,Chapinero,2499,0.049445,2017-06-30,rivi-numero-vendedores-informales-localidad-2017-06-30.txt
3,Santa fé,9867,0.195228,2017-06-30,rivi-numero-vendedores-informales-localidad-2017-06-30.txt
4,San Cristóbal,3500,0.069251,2017-06-30,rivi-numero-vendedores-informales-localidad-2017-06-30.txt
5,Usme,1947,0.038523,2017-06-30,rivi-numero-vendedores-informales-localidad-2017-06-30.txt
6,Tunjuelito,1058,0.020933,2017-06-30,rivi-numero-vendedores-informales-localidad-2017-06-30.txt
7,Bosa,1935,0.038286,2017-06-30,rivi-numero-vendedores-informales-localidad-2017-06-30.txt
8,Kennedy,4325,0.085574,2017-06-30,rivi-numero-vendedores-informales-localidad-2017-06-30.txt
9,Fontibón,1203,0.023802,2017-06-30,rivi-numero-vendedores-informales-localidad-2017-06-30.txt
10,Engativá,2546,0.050375,2017-06-30,rivi-numero-vendedores-informales-localidad-2017-06-30.txt
11,Suba,2552,0.050494,2017-06-30,rivi-numero-vendedores-informales-localidad-2017-06-30.txt
12,Barrios Unidos,747,0.01478,2017-06-30,rivi-numero-vendedores-informales-localidad-2017-06-30.txt
13,Teusaquillo,1765,0.034922,2017-06-30,rivi-numero-vendedores-informales-localidad-2017-06-30.txt
14,Los Mártires,3435,0.067965,2017-06-30,rivi-numero-vendedores-informales-localidad-2017-06-30.txt
15,Antonio Nariño,1305,0.025821,2017-06-30,rivi-numero-vendedores-informales-localidad-2017-06-30.txt
16,Puente Aranda,2739,0.054194,2017-06-30,rivi-numero-vendedores-informales-localidad-2017-06-30.txt
17,Candelaria,1619,0.032033,2017-06-30,rivi-numero-vendedores-informales-localidad-2017-06-30.txt
18,Rafael Uribe,1076,0.02129,2017-06-30,rivi-numero-vendedores-informales-localidad-2017-06-30.txt
19,Ciudad Bolívar,2494,0.049346,2017-06-30,rivi-numero-vendedores-informales-localidad-2017-06-30.txt
20,Sumapáz,19,0.000376,2017-06-30,rivi-numero-vendedores-informales-localidad-2017-06-30.txt
