OBJECTID,ESTADO_SUPERFICIAL,FECHA_ESTADO,CalCodigo
"1","2",2025/12/31 00:00:00,"160491"
"2","2",2025/12/31 00:00:00,"415491"
"3","3",2025/12/31 00:00:00,"137816"
"4","3",2025/12/31 00:00:00,"91065136"
"5","1",2025/12/31 00:00:00,"213341"
"6","5",2025/12/31 00:00:00,"141087"
"7","3",2025/12/31 00:00:00,"152497"
"8","2",2025/12/31 00:00:00,"354540"
"9","1",2025/12/31 00:00:00,"166420"
"10","6",2025/12/31 00:00:00,"478998"
"11","1",2025/12/31 00:00:00,"302738"
"12","2",2025/12/31 00:00:00,"158232"
"13","1",2025/12/31 00:00:00,"417750"
"14","2",2025/12/31 00:00:00,"24123140"
"15","1",2025/12/31 00:00:00,"204450"
"16","1",2025/12/31 00:00:00,"297534"
"17","6",2025/12/31 00:00:00,"368348"
"18","1",2025/12/31 00:00:00,"91011016"
"19","1",2025/12/31 00:00:00,"301133"
"20","1",2025/12/31 00:00:00,"137547"
"21","2",2025/12/31 00:00:00,"600334"
"22","4",2025/12/31 00:00:00,"91017841"
"23","1",2025/12/31 00:00:00,"357477"
"24","8",2025/12/31 00:00:00,"91028157"
"25","6",2025/12/31 00:00:00,"91027604"
"26","2",2025/12/31 00:00:00,"164381"
"27","1",2025/12/31 00:00:00,"701305"
"28","1",2025/12/31 00:00:00,"24120577"
"29","1",2025/12/31 00:00:00,"91015183"
"30","2",2025/12/31 00:00:00,"153709"
"31","1",2025/12/31 00:00:00,"150201"
"32","1",2025/12/31 00:00:00,"440974"
"33","4",2025/12/31 00:00:00,"202889"
"34","1",2025/12/31 00:00:00,"291287"
"35","1",2025/12/31 00:00:00,"451952"
"36","1",2025/12/31 00:00:00,"24120008"
"37","1",2025/12/31 00:00:00,"531578"
"38","2",2025/12/31 00:00:00,"91060021"
"39","2",2025/12/31 00:00:00,"473549"
"40","1",2025/12/31 00:00:00,"804319"
"41","6",2025/12/31 00:00:00,"174660"
"42","2",2025/12/31 00:00:00,"160464"
"43","1",2025/12/31 00:00:00,"366161"
"44","6",2025/12/31 00:00:00,"91022995"
"45","4",2025/12/31 00:00:00,"461025"
"46","2",2025/12/31 00:00:00,"364094"
"47","1",2025/12/31 00:00:00,"531581"
"48","1",2025/12/31 00:00:00,"183936"
"49","6",2025/12/31 00:00:00,"815178"
"50","1",2025/12/31 00:00:00,"299366"
"51","1",2025/12/31 00:00:00,"292526"
"52","1",2025/12/31 00:00:00,"292637"
"53","6",2025/12/31 00:00:00,"292330"
"54","2",2025/12/31 00:00:00,"91023039"
"55","1",2025/12/31 00:00:00,"369511"
"56","1",2025/12/31 00:00:00,"209205"
"57","6",2025/12/31 00:00:00,"91020827"
"58","6",2025/12/31 00:00:00,"153063"
"59","2",2025/12/31 00:00:00,"91010120"
"60","2",2025/12/31 00:00:00,"91064557"
"61","1",2025/12/31 00:00:00,"167256"
"62","1",2025/12/31 00:00:00,"324432"
"63","6",2025/12/31 00:00:00,"490247"
"64","2",2025/12/31 00:00:00,"446168"
"65","2",2025/12/31 00:00:00,"452345"
"66","2",2025/12/31 00:00:00,"355677"
"67","2",2025/12/31 00:00:00,"516768"
"68","2",2025/12/31 00:00:00,"179943"
"69","1",2025/12/31 00:00:00,"147609"
