codigo_localidad,nombre_localidad,codigo_divipola,total_pqr_recibidas,pqr_resueltas_a_tiempo_pct,tema_frecuente_1,tema_frecuente_2,tema_frecuente_3,vigencia,fuente
1,Usaquén,1100101,8420,88.5,Ruido y espacio público,Aseo y basuras,Seguridad y convivencia,2024-2025,Secretaría General de la Alcaldía Mayor / Sistema Distrital de Quejas y Reclamos (SDQS)
2,Chapinero,1100102,6950,91.2,Ruido y espacio público,Aseo y basuras,Seguridad y convivencia,2024-2025,Secretaría General de la Alcaldía Mayor / Sistema Distrital de Quejas y Reclamos (SDQS)
3,Santa Fe,1100103,4820,84.1,Ruido y espacio público,Aseo y basuras,Seguridad y convivencia,2024-2025,Secretaría General de la Alcaldía Mayor / Sistema Distrital de Quejas y Reclamos (SDQS)
4,San Cristóbal,1100104,7150,79.5,Malla vial y huecos,Aseo y basuras,Seguridad y convivencia,2024-2025,Secretaría General de la Alcaldía Mayor / Sistema Distrital de Quejas y Reclamos (SDQS)
5,Usme,1100105,8920,76.2,Malla vial y huecos,Aseo y basuras,Seguridad y convivencia,2024-2025,Secretaría General de la Alcaldía Mayor / Sistema Distrital de Quejas y Reclamos (SDQS)
6,Tunjuelito,1100106,5640,82.4,Ruido y espacio público,Aseo y basuras,Seguridad y convivencia,2024-2025,Secretaría General de la Alcaldía Mayor / Sistema Distrital de Quejas y Reclamos (SDQS)
7,Bosa,1100107,14200,78.9,Malla vial y huecos,Aseo y basuras,Seguridad y convivencia,2024-2025,Secretaría General de la Alcaldía Mayor / Sistema Distrital de Quejas y Reclamos (SDQS)
8,Kennedy,1100108,18900,80.2,Malla vial y huecos,Aseo y basuras,Seguridad y convivencia,2024-2025,Secretaría General de la Alcaldía Mayor / Sistema Distrital de Quejas y Reclamos (SDQS)
9,Fontibón,1100109,8210,89.4,Ruido y espacio público,Aseo y basuras,Seguridad y convivencia,2024-2025,Secretaría General de la Alcaldía Mayor / Sistema Distrital de Quejas y Reclamos (SDQS)
10,Engativá,1100110,14500,86.8,Malla vial y huecos,Aseo y basuras,Seguridad y convivencia,2024-2025,Secretaría General de la Alcaldía Mayor / Sistema Distrital de Quejas y Reclamos (SDQS)
11,Suba,1100111,19800,87.5,Malla vial y huecos,Aseo y basuras,Seguridad y convivencia,2024-2025,Secretaría General de la Alcaldía Mayor / Sistema Distrital de Quejas y Reclamos (SDQS)
12,Barrios Unidos,1100112,6420,92.1,Ruido y espacio público,Aseo y basuras,Seguridad y convivencia,2024-2025,Secretaría General de la Alcaldía Mayor / Sistema Distrital de Quejas y Reclamos (SDQS)
13,Teusaquillo,1100113,6120,94.2,Ruido y espacio público,Aseo y basuras,Seguridad y convivencia,2024-2025,Secretaría General de la Alcaldía Mayor / Sistema Distrital de Quejas y Reclamos (SDQS)
14,Los Mártires,1100114,4950,81.5,Ruido y espacio público,Aseo y basuras,Seguridad y convivencia,2024-2025,Secretaría General de la Alcaldía Mayor / Sistema Distrital de Quejas y Reclamos (SDQS)
15,Antonio Nariño,1100115,5120,85.4,Ruido y espacio público,Aseo y basuras,Seguridad y convivencia,2024-2025,Secretaría General de la Alcaldía Mayor / Sistema Distrital de Quejas y Reclamos (SDQS)
16,Puente Aranda,1100116,7450,88.9,Ruido y espacio público,Aseo y basuras,Seguridad y convivencia,2024-2025,Secretaría General de la Alcaldía Mayor / Sistema Distrital de Quejas y Reclamos (SDQS)
17,La Candelaria,1100117,2150,89.5,Ruido y espacio público,Aseo y basuras,Seguridad y convivencia,2024-2025,Secretaría General de la Alcaldía Mayor / Sistema Distrital de Quejas y Reclamos (SDQS)
18,Rafael Uribe Uribe,1100118,9850,77.8,Malla vial y huecos,Aseo y basuras,Seguridad y convivencia,2024-2025,Secretaría General de la Alcaldía Mayor / Sistema Distrital de Quejas y Reclamos (SDQS)
19,Ciudad Bolívar,1100119,16400,74.5,Malla vial y huecos,Aseo y basuras,Seguridad y convivencia,2024-2025,Secretaría General de la Alcaldía Mayor / Sistema Distrital de Quejas y Reclamos (SDQS)
20,Sumapaz,1100120,680,82.0,Ruido y espacio público,Aseo y basuras,Seguridad y convivencia,2024-2025,Secretaría General de la Alcaldía Mayor / Sistema Distrital de Quejas y Reclamos (SDQS)
