OBJECTID;Código IPS;Nombre IPS;Nombre sede;Número sede;Dirección;Telefono contacto;Correco electrónico;Tipo de naturaleza;Latitud;Longitud
1;1100105322;Clínica La Inmaculada;Clínica la Inmaculada;1;KR 7 68 70;5870366;inmaculada@clinicalainmaculada.org;Privada;4,65319721;-74,05726314
2;1100105597;Centro De Atención En Salud Cafam Floresta;Centro de Atención en Salud Cafam Floresta;4;AK 68 90 88;5550700 ext 12017-12015;calidadsalud@cafam.com.co;Privada;4,685731816;-74,07440845
3;1100105597;Centro De Atención En Salud Cafam Suba;Centro de Atención en Salud Cafam Suba;11;KR 113 C 142 A 98;5550700 ext 12017-12015;calidadsalud@cafam.com.co;Privada;4,74833602;-74,10322024
4;1100105618;Fundación Santa Fe De Bogotá;Fundación Santa Fe de Bogotá;1;CL 119 7 75;6030303 ext. 5105;adriana.urrego@fsfb.org.co;Privada;4,695541649;-74,03319001
5;1100105668;Hospital Universitario Clínica San Rafael;Hospital Universitario Clínica San Rafael;1;KR 8 17 45 SUR;7464714 EXT. 2740;direcciongeneral1@stewardcolombia.org;Privada;4,576655061;-74,09131428
6;1100105681;Fundación Hospital De La Misericordia;Fundación Hospital de la Misericordia;1;AK 14 1 65;3811970 EXT 227;lidercalidad@homifundacion.org.co;Privada;4,59257988;-74,08833221
7;1100105725;Clínica De Nuestra Señora De La Paz;Clínica de Nuestra Señora de La Paz;1;KR 69 12 75;2921277;gestorcalidad@cllapaz.com.co;Privada;4,63603052;-74,12187522
8;1100106065;Instituto Nacional De Cancerología;Instituto Nacional de Cancerología;1;Cl 1 9 85;0913905012 Ext. 2000 - 2001;direccion@cancer.gov.co;Pública;4,588330854;-74,0845416
9;1100106447;Fundación Abood Shaio;Fundación Abood Shaio;1;DG 115 A 70 C 75;2261025;direcciongeneral@shaio.org;Privada;4,698099376;-74,07306244
10;1100106453;Cruz Roja Colombiana Seccional Cundinamarca Y Bogotá;Cruz Roja Colombiana Seccional Cundinamarca Y Bogotá;1;AK 68 68 B 31;7460909;dsalud@cruzrojabogota.org.co;Privada;4,673248112;-74,08933083
11;1100106453;Cruz Roja Colombiana Seccional Cundinamarca Y Bogotá Sede Norte;Cruz Roja Colombiana Seccional Cundinamarca Y Bogotá Sede Norte;18;AC 134 7 B 41;7460909;dsalud@cruzrojabogota.org.co;Privada;4,71289293;-74,03261904
12;1100106453;Cruz Roja Colombiana Seccional Cundinamarca Y Bogotá Sede Alquería;Cruz Roja Colombiana Seccional Cundinamarca Y Bogotá Sede Alquería;19;AK 68 31 41 SUR;7460909;dsalud@cruzrojabogota.org.co;Privada;4,607137562;-74,13094422
