LOCALIDAD,R_ASIGNADOS,R_EJECUTADOS,R_GIRADOS,PCT_EJEC,PCT_GIRADO
Bosa,656400101161.67,636534232652.67,610200517768.67,0.9697351227188384,0.9296167332831944
Ciudad Bolívar,586943975585.0,561512176926.0,528765349730.0,0.9566708242747488,0.900878740944544
Suba,472630343888.0,453423488761.0,430001091867.0,0.9593617816219784,0.9098042422111139
Usme,439111388537.0,411372868865.0,379902031054.0,0.9368303341791767,0.8651609613672979
Kennedy,423314241757.14,395817312502.14,362686607974.14,0.9350436943938795,0.8567786580216624
Engativá,390116370396.33,368681770344.33,333030440393.33,0.9450558815816317,0.8536694834287399
Rafael Uribe Uribe,344337462405.71,327172557632.71,308136951319.71,0.9501509227225015,0.8948690890817237
San Cristóbal,314495684173.0,292819514698.0,270410060358.0,0.9310764167336674,0.8598212120750469
Tunjuelito,184687407861.0,177153009696.0,168040786057.0,0.9592045919520915,0.9098659621855291
Usaquén,163103163894.33,156192285339.33,129410855984.33,0.9576287891050516,0.7934294644840348
Fontibón,148337770077.0,140720275609.0,132252998603.0,0.9486476406916062,0.8915665816895412
Puente Aranda,141089530958.0,131778457284.0,121701488837.0,0.9340059208448871,0.8625834107651014
Barrios Unidos,84784335428.33,79086186962.33,72953636358.33,0.932792438164279,0.8604612631539615
Los Mártires,72218696371.0,67206913688.0,61750027674.0,0.9306026979876014,0.8550421258891101
Santa Fe,67928258674.0,62962890763.0,57665466719.0,0.9269027646530776,0.8489171935901817
Antonio Nariño,59786774960.0,56608962217.0,53154394729.0,0.9468475637776733,0.8890660980553415
Chapinero,27528720049.0,25674170927.0,23426202600.0,0.9326322067027099,0.8509731857602647
Teusaquillo,21488226342.0,20586754911.0,18867474771.0,0.9580481228812254,0.8780377901233483
La Candelaria,18057308307.57,16795739772.57,15483352078.57,0.9301352940586873,0.8574562617441192
Sumapaz,15336193785.0,17719625905.0,14998153437.0,1.1554122328795287,0.9779580023088499
