archivo,sector,formato,tam_mb
.gitkeep,.gitkeep,SIN EXT,0.0
AMBIENTE\estacion_calidad_aire.geojson,AMBIENTE,GEOJSON,0.01
AMBIENTE\estacion_calidad_aire_20260731.csv,AMBIENTE,CSV,0.0
AMBIENTE\situacion_ambiental_conflictiva.csv,AMBIENTE,CSV,0.29
AMBIENTE\situacion_ambiental_conflictiva.geojson,AMBIENTE,GEOJSON,0.63
AMBIENTE\situacion_ambiental_conflictiva_20260731.csv,AMBIENTE,CSV,0.3
DEMOGRAFIA\osb_demografia-poblacion-localidad.csv,DEMOGRAFIA,CSV,6.82
DEMOGRAFIA\osb_demografia-poblacion-upl.csv,DEMOGRAFIA,CSV,9.8
DEMOGRAFIA_POBLACION\osb_demografia-poblacion-localidad.csv,DEMOGRAFIA_POBLACION,CSV,6.82
DEMOGRAFIA_POBLACION\osb_demografia-poblacion-upl.csv,DEMOGRAFIA_POBLACION,CSV,9.8
EDUCACION\calidad_educativa_saber11_retencion_localidad.csv,EDUCACION,CSV,0.0
EDUCACION\colegios122025.gpkg,EDUCACION,GPKG,1.12
EDUCACION\matricula_total_colegios_oficiales.gpkg,EDUCACION,GPKG,0.47
EDUCACION\ofertacupos_032025.geojson,EDUCACION,GEOJSON,0.31
EMPLEO_ECONOMIA\conmutacion_laboral_residencia_trabajo_localidad.csv,EMPLEO_ECONOMIA,CSV,0.0
EMPLEO_ECONOMIA\ingreso_promedio_salario_ocupados_localidad.csv,EMPLEO_ECONOMIA,CSV,0.0
FINANZAS_INVERSION_PUBLICA\inversion_educacion_por_localidad_12_2025.gpkg,FINANZAS_INVERSION_PUBLICA,GPKG,1.08
FINANZAS_INVERSION_PUBLICA\inversion_fondos_desarrollo_local_fdl.csv,FINANZAS_INVERSION_PUBLICA,CSV,0.0
FINANZAS_INVERSION_PUBLICA\metas_inversion_social_sdis_localidad.csv,FINANZAS_INVERSION_PUBLICA,CSV,0.0
FINANZAS_INVERSION_PUBLICA\presupuestos_participativos_propuestas_priorizadas.csv,FINANZAS_INVERSION_PUBLICA,CSV,0.0
FINANZAS_INVERSION_PUBLICA\Punto de encuentro vendedores. Bogotá D.C..geojson,FINANZAS_INVERSION_PUBLICA,GEOJSON,0.0
FINANZAS_INVERSION_PUBLICA\Punto de encuentro vendedores. Bogotá D.C..xlsx,FINANZAS_INVERSION_PUBLICA,XLSX,0.01
FINANZAS_INVERSION_PUBLICA\puntos_encuentro_vendedores.csv,FINANZAS_INVERSION_PUBLICA,CSV,0.0
FINANZAS_INVERSION_PUBLICA\rivi-numero-vendedores-informales-localidad-2017-06-30.txt,FINANZAS_INVERSION_PUBLICA,TXT,0.0
FINANZAS_INVERSION_PUBLICA\rivi-numero-vendedores-informales-localidad-2017-12-31.txt,FINANZAS_INVERSION_PUBLICA,TXT,0.0
FINANZAS_INVERSION_PUBLICA\rivi-numero-vendedores-informales-localidad-2018-06-30.txt,FINANZAS_INVERSION_PUBLICA,TXT,0.0
FINANZAS_INVERSION_PUBLICA\rivi-numero-vendedores-informales-localidad-2018-12-31.txt,FINANZAS_INVERSION_PUBLICA,TXT,0.0
FINANZAS_INVERSION_PUBLICA\rivi-numero-vendedores-informales-localidad-2019-06-30.txt,FINANZAS_INVERSION_PUBLICA,TXT,0.0
FINANZAS_INVERSION_PUBLICA\rivi-numero-vendedores-informales-localidad-2019-12-30.txt,FINANZAS_INVERSION_PUBLICA,TXT,0.0
FINANZAS_INVERSION_PUBLICA\vendedores_informales_consolidado.csv,FINANZAS_INVERSION_PUBLICA,CSV,0.01
INFRAESTRUCTURA_ESPACIO_PUBLICO\5.-parques-idrd.csv,INFRAESTRUCTURA_ESPACIO_PUBLICO,CSV,0.01
INFRAESTRUCTURA_ESPACIO_PUBLICO\estado\Estado.csv,INFRAESTRUCTURA_ESPACIO_PUBLICO,CSV,4.43
INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,INFRAESTRUCTURA_ESPACIO_PUBLICO,GPKG,4585.48
INFRAESTRUCTURA_ESPACIO_PUBLICO\ips.gpkg,INFRAESTRUCTURA_ESPACIO_PUBLICO,GPKG,1.38
MODELO_TERRITORIAL\poligonos_localidades.geojson,MODELO_TERRITORIAL,GEOJSON,2.36
MOVILIDAD\conexion_operacional.geojson,MOVILIDAD,GEOJSON,0.01
MOVILIDAD\estaciones_linea1.geojson,MOVILIDAD,GEOJSON,0.01
MOVILIDAD\estaciones_linea2.gpkg,MOVILIDAD,GPKG,0.11
MOVILIDAD\estaciones_troncales.geojson,MOVILIDAD,GEOJSON,0.14
MOVILIDAD\flota_vinculada_sitp_2024-12.csv,MOVILIDAD,CSV,1.27
MOVILIDAD\gtfs_sitp_2026-04-29.zip,MOVILIDAD,ZIP,120.35
MOVILIDAD\paraderos_zonales_sitp.gpkg,MOVILIDAD,GPKG,2.51
MOVILIDAD\retorno_operacional.geojson,MOVILIDAD,GEOJSON,0.02
MOVILIDAD\servicios_rutas_troncales_zonales.csv,MOVILIDAD,CSV,0.23
MOVILIDAD\trazado_linea2.gpkg,MOVILIDAD,GPKG,0.12
MOVILIDAD\trazados_troncales.geojson,MOVILIDAD,GEOJSON,0.12
MOVILIDAD\Validaciones\2024-Troncal-01 TM Resumen de Validaciones Troncales al 31 Ene 2024 Intervalo 15 Mint.xlsx,MOVILIDAD,XLSX,13.09
MOVILIDAD\Validaciones\2024-Troncal-02 TM Resumen de Validaciones Troncales al 29 Feb 2024 Intervalo 15 Mint.xlsx,MOVILIDAD,XLSX,12.72
MOVILIDAD\Validaciones\2024-Troncal-03 TM Resumen de Validaciones Troncales al 31 Mar 2024 Intervalo 15 Mint.xlsx,MOVILIDAD,XLSX,12.72
MOVILIDAD\Validaciones\2024-Troncal-04 TM Resumen de Validaciones Troncales al 30 Abr 2024 Intervalo 15 Mint.xlsx,MOVILIDAD,XLSX,13.02
MOVILIDAD\Validaciones\2024-Troncal-05 TM Resumen de Validaciones Troncales al 31 May 2024 Intervalo 15 Mint.xlsx,MOVILIDAD,XLSX,13.0
MOVILIDAD\Validaciones\2024-Troncal-06 TM Resumen de Validaciones Troncales al 30 Jun 2024 Intervalo 15 Mint.xlsx,MOVILIDAD,XLSX,13.6
MOVILIDAD\Validaciones\2024-Troncal-07 TM Resumen de Validaciones Troncales al 31 Jul 2024 Intervalo 15 Mint.xlsx,MOVILIDAD,XLSX,13.51
